,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,67,33,7,8.0,2.0,105,1,0,0,0,1,-4,-2,0,0
2,5,74,37,2,14.0,2.0,105,2,7,4,7,5,3,2,1,1
3,10,69,34,9,20.0,4.0,105,3,2,1,2,2,-2,-1,-1,0
4,12,66,32,6,26.0,2.0,105,4,-1,-1,11,7,-6,-4,-1,-1
5,14,62,30,2,32.0,2.0,105,5,-5,-3,7,5,-7,-4,-1,-2
6,16,72,36,0,38.0,2.0,105,6,5,3,5,4,3,2,1,-1
7,21,67,33,7,44.0,4.0,105,7,0,0,0,1,-2,-1,-1,-2
8,23,67,33,7,50.0,2.0,105,8,0,0,0,1,-4,-2,0,-2
9,25,67,33,7,56.0,2.0,105,9,0,0,0,1,-4,-2,0,-2
10,27,74,37,2,62.0,2.0,105,10,7,4,7,5,3,2,1,-1
11,32,69,34,9,68.0,4.0,105,11,2,1,2,2,-2,-1,-1,-2
12,34,66,32,6,74.0,2.0,105,12,-1,-1,11,7,-6,-4,-1,-3
13,36,62,30,2,80.0,2.0,105,13,-5,-3,7,5,-7,-4,-1,-4
14,38,72,36,0,86.0,2.0,105,14,5,3,5,4,3,2,1,-3
15,43,67,33,7,92.0,6.0,105,15,0,0,0,1,-2,-1,-1,-4
16,44,71,35,11,98.0,14.0,105,16,4,2,4,3,4,2,1,-3
17,47,72,36,0,116.0,2.0,105,17,5,3,5,4,1,1,1,-2
18,50,74,37,2,122.0,12.0,105,18,7,4,7,5,-2,-1,1,-1
19,51,71,35,11,134.0,12.0,105,19,4,2,4,3,-3,-2,-1,-2
20,52,69,34,9,146.0,14.0,105,20,2,1,2,2,-2,-1,-1,-3
21,55,74,37,2,164.0,2.0,105,21,7,4,7,5,5,3,1,-2
22,58,71,35,11,170.0,12.0,105,22,4,2,4,3,2,1,-1,-3
23,59,67,33,7,182.0,12.0,105,23,0,0,0,1,-4,-2,-1,-4
24,60,71,35,11,194.0,14.0,105,24,4,2,4,3,4,2,1,-3
25,63,72,36,0,212.0,2.0,105,25,5,3,5,4,1,1,1,-2
26,66,74,37,2,218.0,12.0,105,26,7,4,7,5,-2,-1,1,-1
27,67,71,35,11,230.0,12.0,105,27,4,2,4,3,-3,-2,-1,-2
28,68,69,34,9,242.0,14.0,105,28,2,1,2,2,-2,-1,-1,-3
29,71,74,37,2,260.0,2.0,105,29,7,4,7,5,5,3,1,-2
30,74,67,33,7,266.0,16.0,105,30,0,0,0,1,-2,-1,-1,-3
31,76,67,33,7,290.0,2.0,105,31,0,0,0,1,-4,-2,0,-3
32,78,67,33,7,296.0,2.0,105,32,0,0,0,1,-4,-2,0,-3
33,80,74,37,2,302.0,2.0,105,33,7,4,7,5,3,2,1,-2
34,85,69,34,9,308.0,4.0,105,34,2,1,2,2,-2,-1,-1,-3
35,87,66,32,6,314.0,2.0,105,35,-1,-1,11,7,-6,-4,-1,-4
36,89,62,30,2,320.0,2.0,105,36,-5,-3,7,5,-7,-4,-1,-5
37,91,72,36,0,326.0,2.0,105,37,5,3,5,4,3,2,1,-4
38,96,67,33,7,332.0,4.0,105,38,0,0,0,1,-2,-1,-1,-5
39,98,67,33,7,338.0,2.0,105,39,0,0,0,1,-4,-2,0,-5
40,100,67,33,7,344.0,2.0,105,40,0,0,0,1,-4,-2,0,-5
41,102,74,37,2,350.0,2.0,105,41,7,4,7,5,3,2,1,-4
42,107,69,34,9,356.0,4.0,105,42,2,1,2,2,-2,-1,-1,-5
43,109,66,32,6,362.0,2.0,105,43,-1,-1,11,7,-6,-4,-1,-6
44,111,62,30,2,368.0,2.0,105,44,-5,-3,7,5,-7,-4,-1,-7
45,113,72,36,0,374.0,2.0,105,45,5,3,5,4,3,2,1,-6
46,118,67,33,7,380.0,2.0,105,46,0,0,0,1,-2,-1,-1,-7
47,120,67,33,7,386.0,2.0,105,47,0,0,0,1,-4,-2,0,-7
48,122,67,33,7,392.0,2.0,105,48,0,0,0,1,-4,-2,0,-7
49,124,67,33,7,398.0,2.0,105,49,0,0,0,1,-4,-2,0,-7
50,126,67,33,7,404.0,2.0,105,50,0,0,0,1,-7,-4,0,-7
