,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,4,66,32,6,4.0,1.0,95,0,4,2,4,3,-1,-1,0,0
2,9,67,33,7,8.0,0.5,95,0,5,3,5,4,-2,-1,1,1
3,11,64,31,4,9.0,1.0,105,1,2,1,2,2,-5,-3,-1,0
4,15,64,31,4,13.0,1.0,95,1,2,1,2,2,-2,-1,0,0
5,20,66,32,6,17.0,0.5,95,1,4,2,4,3,-1,-1,1,1
6,22,66,32,6,18.0,1.0,105,2,4,2,4,3,-1,-1,0,1
7,26,66,32,6,22.0,1.0,95,2,4,2,4,3,-1,-1,0,1
8,30,73,36,1,26.0,1.0,105,3,11,6,11,7,-1,-1,1,2
9,34,64,31,4,30.0,1.0,95,3,2,1,2,2,0,0,-1,1
10,37,66,32,6,34.0,1.0,105,4,4,2,4,3,4,2,1,2
11,41,66,32,6,38.0,1.0,95,4,4,2,4,3,-1,-1,0,2
12,45,64,31,4,42.0,1.0,105,5,2,1,2,2,-2,-1,-1,1
13,49,57,27,9,46.0,1.0,95,5,-5,-3,7,5,0,0,-1,0
14,53,66,32,6,50.0,1.0,105,6,4,2,4,3,-1,-1,1,1
15,58,69,34,9,54.0,1.0,95,6,7,4,7,5,2,1,1,2
16,62,73,36,1,58.0,1.0,105,7,11,6,11,7,-1,-1,1,3
17,66,64,31,4,62.0,1.0,95,7,2,1,2,2,0,0,-1,2
18,69,66,32,6,66.0,1.0,105,8,4,2,4,3,4,2,1,3
19,73,66,32,6,70.0,1.0,95,8,4,2,4,3,-1,-1,0,3
20,78,67,33,7,74.0,0.5,95,8,5,3,5,4,-2,-1,1,4
21,80,64,31,4,75.0,1.0,105,9,2,1,2,2,-5,-3,-1,3
22,84,64,31,4,79.0,1.0,95,9,2,1,2,2,-2,-1,0,3
23,89,66,32,6,83.0,0.5,95,9,4,2,4,3,-1,-1,1,4
24,91,66,32,6,84.0,1.0,105,10,4,2,4,3,-1,-1,0,4
25,95,66,32,6,88.0,1.0,95,10,4,2,4,3,-1,-1,0,4
26,99,73,36,1,92.0,1.0,105,11,11,6,11,7,-1,-1,1,5
27,103,64,31,4,96.0,1.0,95,11,2,1,2,2,0,0,-1,4
28,106,66,32,6,100.0,1.0,105,12,4,2,4,3,4,2,1,5
29,110,66,32,6,104.0,1.0,95,12,4,2,4,3,-1,-1,0,5
30,114,64,31,4,108.0,1.0,105,13,2,1,2,2,-2,-1,-1,4
31,118,57,27,9,112.0,1.0,95,13,-5,-3,7,5,0,0,-1,3
32,122,66,32,6,116.0,1.0,105,14,4,2,4,3,-1,-1,1,4
33,127,69,34,9,120.0,1.0,95,14,7,4,7,5,2,1,1,5
34,131,73,36,1,124.0,1.0,105,15,11,6,11,7,-1,-1,1,6
35,135,64,31,4,128.0,1.0,95,15,2,1,2,2,0,0,-1,5
36,138,78,39,6,132.0,1.0,105,16,16,9,4,3,16,9,1,6
37,142,81,41,9,136.0,3.0,95,16,19,11,7,5,3,2,1,7
38,144,76,38,4,140.0,1.0,105,17,14,8,2,2,-2,-1,-1,6
39,149,79,40,7,144.0,1.0,95,17,17,10,5,4,10,6,1,7
40,153,74,37,2,148.0,1.0,105,18,12,7,0,1,-4,-2,-1,6
41,157,78,39,6,152.0,2.0,95,18,16,9,4,3,2,1,1,7
42,160,79,40,7,156.0,1.0,105,19,17,10,5,4,1,1,1,8
43,164,78,39,6,160.0,1.0,95,19,16,9,4,3,-1,-1,-1,7
44,167,78,39,6,164.0,1.0,105,20,16,9,4,3,4,2,0,7
45,171,78,39,6,168.0,1.0,95,20,16,9,4,3,-1,-1,0,7
46,175,76,38,4,172.0,1.0,105,21,14,8,2,2,-2,-1,-1,6
47,180,69,34,9,176.0,1.0,95,21,7,4,7,5,0,0,-1,5
48,184,78,39,6,180.0,1.0,105,22,16,9,4,3,-1,-1,1,6
49,189,73,36,1,184.0,0.5,95,22,11,6,11,7,-1,-1,-1,5
50,194,78,39,6,188.0,1.0,95,22,16,9,4,3,-3,-2,1,6
51,195,83,42,11,189.0,1.0,105,23,21,12,9,6,5,3,1,7
52,199,78,39,6,193.0,1.0,95,23,16,9,4,3,-1,-1,-1,6
53,202,78,39,6,197.0,1.0,105,24,16,9,4,3,4,2,0,6
54,206,81,41,9,201.0,3.0,95,24,19,11,7,5,3,2,1,7
55,208,76,38,4,205.0,1.0,105,25,14,8,2,2,-2,-1,-1,6
56,213,79,40,7,209.0,1.0,95,25,17,10,5,4,10,6,1,7
57,217,74,37,2,213.0,1.0,105,26,12,7,0,1,-4,-2,-1,6
58,221,78,39,6,217.0,2.0,95,26,16,9,4,3,2,1,1,7
59,224,79,40,7,221.0,1.0,105,27,17,10,5,4,1,1,1,8
60,228,78,39,6,225.0,1.0,95,27,16,9,4,3,-1,-1,-1,7
61,231,78,39,6,229.0,1.0,105,28,16,9,4,3,4,2,0,7
62,235,78,39,6,233.0,1.0,95,28,16,9,4,3,-1,-1,0,7
63,239,76,38,4,237.0,1.0,105,29,14,8,2,2,-2,-1,-1,6
64,244,69,34,9,241.0,1.0,95,29,7,4,7,5,0,0,-1,5
65,248,78,39,6,245.0,1.0,105,30,16,9,4,3,-1,-1,1,6
66,253,73,36,1,249.0,0.5,95,30,11,6,11,7,-1,-1,-1,5
67,258,78,39,6,253.0,1.0,95,30,16,9,4,3,-3,-2,1,6
68,259,83,42,11,254.0,1.0,105,31,21,12,9,6,5,3,1,7
69,263,78,39,6,258.0,1.0,95,31,16,9,4,3,-1,-1,-1,6
