,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,3.0,105,0,0,0,0,1,0,0,0,0
1,2,71,35,11,4.0,1.0,95,0,4,2,4,3,4,2,1,1
2,5,69,34,9,7.0,1.0,105,1,2,1,2,2,2,1,-1,0
3,8,62,30,2,10.0,2.0,95,1,-5,-3,7,5,-4,-2,-1,-1
4,10,67,33,7,13.0,3.0,105,2,0,0,0,1,5,3,1,0
5,11,74,37,2,16.0,1.0,95,2,7,4,7,5,7,4,1,1
6,14,69,34,9,19.0,1.0,105,3,2,1,2,2,-2,-1,-1,0
7,17,64,31,4,22.0,1.0,95,3,-3,-2,9,6,-2,-1,-1,-1
8,20,67,33,7,25.0,1.0,105,4,0,0,0,1,5,3,1,0
9,23,64,31,4,28.0,1.0,95,4,-3,-2,9,6,-7,-4,-1,-1
10,26,71,35,11,31.0,1.0,105,5,4,2,4,3,4,2,1,0
11,29,74,37,2,34.0,1.0,95,5,7,4,7,5,0,0,1,1
12,32,69,34,9,37.0,1.0,105,6,2,1,2,2,-2,-1,-1,0
13,35,69,34,9,40.0,1.0,95,6,2,1,2,2,2,1,0,0
14,38,67,33,7,43.0,1.0,105,7,0,0,0,1,5,3,-1,-1
15,41,67,33,7,46.0,2.0,95,7,0,0,0,1,1,1,0,-1
16,43,67,33,7,49.0,3.0,105,8,0,0,0,1,-7,-4,0,-1
17,44,71,35,11,52.0,1.0,95,8,4,2,4,3,4,2,1,0
18,47,69,34,9,55.0,1.0,105,9,2,1,2,2,2,1,-1,-1
19,50,62,30,2,58.0,2.0,95,9,-5,-3,7,5,-4,-2,-1,-2
20,52,67,33,7,61.0,3.0,105,10,0,0,0,1,5,3,1,-1
21,53,74,37,2,64.0,1.0,95,10,7,4,7,5,7,4,1,0
22,56,69,34,9,67.0,1.0,105,11,2,1,2,2,-2,-1,-1,-1
23,59,64,31,4,70.0,1.0,95,11,-3,-2,9,6,-2,-1,-1,-2
24,62,67,33,7,73.0,1.0,105,12,0,0,0,1,5,3,1,-1
25,65,64,31,4,76.0,1.0,95,12,-3,-2,9,6,-7,-4,-1,-2
26,68,71,35,11,79.0,1.0,105,13,4,2,4,3,4,2,1,-1
27,71,74,37,2,82.0,1.0,95,13,7,4,7,5,0,0,1,0
28,74,69,34,9,85.0,1.0,105,14,2,1,2,2,-2,-1,-1,-1
29,77,69,34,9,88.0,1.0,95,14,2,1,2,2,2,1,0,-1
30,80,67,33,7,91.0,1.0,105,15,0,0,0,1,5,3,-1,-2
31,83,67,33,7,94.0,2.0,95,15,0,0,0,1,1,1,0,-2
32,85,79,40,7,97.0,1.0,105,16,12,7,0,1,5,3,1,-1
33,90,76,38,4,100.0,1.0,95,16,9,5,9,6,-3,-2,-1,-2
34,93,71,35,11,103.0,1.0,105,17,4,2,4,3,-1,-1,-1,-3
35,96,69,34,9,106.0,1.0,95,17,2,1,2,2,2,1,-1,-4
36,99,62,30,2,109.0,1.0,105,18,-5,-3,7,5,-2,-1,-1,-5
37,102,67,33,7,112.0,1.0,95,18,0,0,0,1,0,0,1,-4
38,105,76,38,4,115.0,1.0,105,19,9,5,9,6,5,3,1,-3
39,108,74,37,2,118.0,2.0,95,19,7,4,7,5,0,0,-1,-4
40,110,79,40,7,121.0,1.0,105,20,12,7,0,1,5,3,1,-3
41,115,76,38,4,124.0,1.0,95,20,9,5,9,6,-3,-2,-1,-4
42,118,74,37,2,127.0,1.0,105,21,7,4,7,5,0,0,-1,-5
43,121,71,35,11,130.0,1.0,95,21,4,2,4,3,0,0,-1,-6
44,124,72,36,0,133.0,1.0,105,22,5,3,5,4,5,3,1,-5
45,127,76,38,4,136.0,1.0,95,22,9,5,9,6,0,0,1,-4
46,130,69,34,9,139.0,1.0,105,23,2,1,2,2,-5,-3,-1,-5
47,133,69,34,9,142.0,1.0,95,23,2,1,2,2,3,2,0,-5
48,136,79,40,7,145.0,1.0,105,24,12,7,0,1,5,3,1,-4
49,141,76,38,4,148.0,1.0,95,24,9,5,9,6,-3,-2,-1,-5
50,144,71,35,11,151.0,1.0,105,25,4,2,4,3,-1,-1,-1,-6
51,147,69,34,9,154.0,1.0,95,25,2,1,2,2,2,1,-1,-7
52,150,62,30,2,157.0,1.0,105,26,-5,-3,7,5,-2,-1,-1,-8
53,153,67,33,7,160.0,1.0,95,26,0,0,0,1,0,0,1,-7
54,156,76,38,4,163.0,1.0,105,27,9,5,9,6,5,3,1,-6
55,159,74,37,2,166.0,2.0,95,27,7,4,7,5,0,0,-1,-7
56,161,79,40,7,169.0,1.0,105,28,12,7,0,1,5,3,1,-6
57,166,76,38,4,172.0,1.0,95,28,9,5,9,6,-3,-2,-1,-7
58,169,83,42,11,175.0,1.0,105,29,16,9,4,3,2,1,1,-6
59,172,81,41,9,178.0,1.0,95,29,14,8,2,2,-2,-1,-1,-7
60,175,79,40,7,181.0,1.0,105,30,12,7,0,1,3,2,-1,-8
61,178,76,38,4,184.0,1.0,95,30,9,5,9,6,0,0,-1,-9
62,181,69,34,9,187.0,1.0,105,31,2,1,2,2,-5,-3,-1,-10
63,184,67,33,7,190.0,3.0,95,31,0,0,0,1,1,1,-1,-11
