,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,62,30,2,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,69,34,9,8.0,2.0,105,1,7,4,7,5,0,0,1,1
2,8,71,35,11,14.0,2.0,105,2,9,5,9,6,2,1,1,2
3,11,69,34,9,20.0,2.0,105,3,7,4,7,5,-2,-1,-1,1
4,14,62,30,2,26.0,2.0,105,4,0,0,0,1,-2,-1,-1,0
5,17,74,37,2,32.0,2.0,105,5,12,7,0,1,5,3,1,1
6,20,64,31,4,38.0,10.0,105,6,2,1,2,2,-2,-1,-1,0
7,23,62,30,2,50.0,2.0,105,7,0,0,0,1,-2,-1,-1,-1
8,26,69,34,9,56.0,2.0,105,8,7,4,7,5,0,0,1,0
9,29,71,35,11,62.0,2.0,105,9,9,5,9,6,2,1,1,1
10,32,69,34,9,68.0,2.0,105,10,7,4,7,5,-2,-1,-1,0
11,35,71,35,11,74.0,2.0,105,11,9,5,9,6,2,1,1,1
12,38,76,38,4,80.0,2.0,105,12,14,8,2,2,2,1,1,2
13,41,74,37,2,86.0,10.0,105,13,12,7,0,1,5,3,-1,1
14,44,78,39,6,98.0,2.0,105,14,16,9,4,3,2,1,1,2
15,47,69,34,9,104.0,2.0,105,15,7,4,7,5,-5,-3,-1,1
16,50,78,39,6,110.0,2.0,105,16,16,9,4,3,4,2,1,2
17,53,69,34,9,116.0,2.0,105,17,7,4,7,5,-5,-3,-1,1
18,56,71,35,11,122.0,2.0,105,18,9,5,9,6,2,1,1,2
19,59,69,34,9,128.0,2.0,105,19,7,4,7,5,-5,-3,-1,1
20,62,64,31,4,134.0,10.0,105,20,2,1,2,2,2,1,-1,0
21,65,62,30,2,146.0,2.0,105,21,0,0,0,1,-2,-1,-1,-1
22,68,69,34,9,152.0,2.0,105,22,7,4,7,5,0,0,1,0
23,71,71,35,11,158.0,2.0,105,23,9,5,9,6,2,1,1,1
24,74,69,34,9,164.0,2.0,105,24,7,4,7,5,-2,-1,-1,0
25,77,71,35,11,170.0,2.0,105,25,9,5,9,6,2,1,1,1
26,80,76,38,4,176.0,2.0,105,26,14,8,2,2,2,1,1,2
27,83,74,37,2,182.0,10.0,105,27,12,7,0,1,5,3,-1,1
