,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,2.0,1.0,105,0,12,7,0,1,0,0,0,0
1,5,69,34,9,6.0,2.0,95,0,7,4,7,5,-2,-1,-1,-1
2,8,74,37,2,10.0,1.0,105,1,12,7,0,1,5,3,1,0
3,12,69,34,9,14.0,1.0,95,1,7,4,7,5,-2,-1,-1,-1
4,16,71,35,11,18.0,2.0,105,2,9,5,9,6,9,5,1,0
5,19,66,32,6,22.0,2.0,95,2,4,2,4,3,-3,-2,-1,-1
6,22,66,32,6,26.0,1.0,105,3,4,2,4,3,4,2,0,-1
7,26,64,31,4,30.0,2.0,95,3,2,1,2,2,-2,-1,-1,-2
8,28,74,37,2,34.0,1.0,105,4,12,7,0,1,5,3,1,-1
9,32,69,34,9,38.0,2.0,95,4,7,4,7,5,-2,-1,-1,-2
10,35,74,37,2,42.0,1.0,105,5,12,7,0,1,5,3,1,-1
11,39,69,34,9,46.0,1.0,95,5,7,4,7,5,-2,-1,-1,-2
12,43,67,33,7,50.0,2.0,105,6,5,3,5,4,5,3,-1,-3
13,46,66,32,6,54.0,2.0,95,6,4,2,4,3,-3,-2,-1,-4
14,49,66,32,6,58.0,1.0,105,7,4,2,4,3,4,2,0,-4
15,52,62,30,2,62.0,2.0,95,7,0,0,0,1,-2,-1,-1,-5
16,54,74,37,2,66.0,1.0,105,8,12,7,0,1,5,3,1,-4
17,58,69,34,9,70.0,2.0,95,8,7,4,7,5,-2,-1,-1,-5
18,61,74,37,2,74.0,1.0,105,9,12,7,0,1,5,3,1,-4
19,65,69,34,9,78.0,1.0,95,9,7,4,7,5,-2,-1,-1,-5
20,69,71,35,11,82.0,2.0,105,10,9,5,9,6,9,5,1,-4
21,72,66,32,6,86.0,2.0,95,10,4,2,4,3,-3,-2,-1,-5
22,75,66,32,6,90.0,1.0,105,11,4,2,4,3,4,2,0,-5
23,79,64,31,4,94.0,2.0,95,11,2,1,2,2,-2,-1,-1,-6
24,81,74,37,2,98.0,1.0,105,12,12,7,0,1,5,3,1,-5
25,85,69,34,9,102.0,2.0,95,12,7,4,7,5,-2,-1,-1,-6
26,88,74,37,2,106.0,1.0,105,13,12,7,0,1,5,3,1,-5
27,92,69,34,9,110.0,1.0,95,13,7,4,7,5,-2,-1,-1,-6
28,96,67,33,7,114.0,2.0,105,14,5,3,5,4,5,3,-1,-7
29,99,66,32,6,118.0,2.0,95,14,4,2,4,3,-3,-2,-1,-8
30,102,66,32,6,122.0,1.0,105,15,4,2,4,3,4,2,0,-8
31,105,62,30,2,126.0,2.0,95,15,0,0,0,1,-2,-1,-1,-9
32,107,76,38,4,130.0,1.0,105,16,14,8,2,2,-2,-1,1,-8
33,111,76,38,4,134.0,1.0,95,16,14,8,2,2,7,4,0,-8
34,115,76,38,4,138.0,1.0,105,17,14,8,2,2,7,4,0,-8
35,119,74,37,2,142.0,1.0,95,17,12,7,0,1,1,1,-1,-9
36,123,76,38,4,146.0,1.0,105,18,14,8,2,2,-2,-1,1,-8
37,127,76,38,4,150.0,1.0,95,18,14,8,2,2,7,4,0,-8
38,131,76,38,4,154.0,1.0,105,19,14,8,2,2,7,4,0,-8
39,135,74,37,2,158.0,1.0,95,19,12,7,0,1,1,1,-1,-9
40,138,76,38,4,162.0,1.0,105,20,14,8,2,2,5,3,1,-8
41,142,76,38,4,166.0,1.0,95,20,14,8,2,2,7,4,0,-8
42,146,76,38,4,170.0,1.0,105,21,14,8,2,2,7,4,0,-8
43,150,74,37,2,174.0,1.0,95,21,12,7,0,1,1,1,-1,-9
44,153,71,35,11,178.0,2.0,105,22,9,5,9,6,0,0,-1,-10
45,156,66,32,6,182.0,2.0,95,22,4,2,4,3,-3,-2,-1,-11
46,159,66,32,6,186.0,1.0,105,23,4,2,4,3,4,2,0,-11
47,162,62,30,2,190.0,2.0,95,23,0,0,0,1,-2,-1,-1,-12
48,164,76,38,4,194.0,1.0,105,24,14,8,2,2,-2,-1,1,-11
49,168,76,38,4,198.0,1.0,95,24,14,8,2,2,7,4,0,-11
50,172,76,38,4,202.0,1.0,105,25,14,8,2,2,7,4,0,-11
51,176,74,37,2,206.0,1.0,95,25,12,7,0,1,1,1,-1,-12
52,180,76,38,4,210.0,1.0,105,26,14,8,2,2,-2,-1,1,-11
53,184,76,38,4,214.0,1.0,95,26,14,8,2,2,7,4,0,-11
54,188,76,38,4,218.0,1.0,105,27,14,8,2,2,7,4,0,-11
55,192,74,37,2,222.0,1.0,95,27,12,7,0,1,1,1,-1,-12
56,195,76,38,4,226.0,1.0,105,28,14,8,2,2,5,3,1,-11
57,199,76,38,4,230.0,1.0,95,28,14,8,2,2,7,4,0,-11
58,203,76,38,4,234.0,1.0,105,29,14,8,2,2,7,4,0,-11
59,207,74,37,2,238.0,1.0,95,29,12,7,0,1,1,1,-1,-12
60,210,67,33,7,242.0,2.0,105,30,5,3,5,4,-4,-2,-1,-13
61,213,66,32,6,246.0,2.0,95,30,4,2,4,3,-3,-2,-1,-14
62,216,66,32,6,250.0,1.0,105,31,4,2,4,3,4,2,0,-14
63,219,62,30,2,254.0,2.0,95,31,0,0,0,1,-2,-1,-1,-15
