,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,2.0,105,0,0,0,0,1,0,0,0,0
1,4,68,33,8,5.0,1.0,95,0,-1,-1,11,7,-1,-1,-1,-1
2,8,74,37,2,9.0,1.0,105,1,5,3,5,4,1,1,1,0
3,12,68,33,8,13.0,1.0,95,1,-1,-1,11,7,-1,-1,-1,-1
4,16,69,34,9,17.0,0.67,105,2,0,0,0,1,-2,-1,1,0
5,21,71,35,11,21.0,1.0,95,2,2,1,2,2,2,1,1,1
6,25,76,38,4,25.0,1.0,105,3,7,4,7,5,-2,-1,1,2
7,29,73,36,1,29.0,1.0,95,3,4,2,4,3,2,1,-1,1
8,33,69,34,9,33.0,0.67,105,4,0,0,0,1,-12,-7,-1,0
9,38,68,33,8,37.0,1.0,95,4,-1,-1,11,7,-1,-1,-1,-1
10,42,74,37,2,41.0,1.0,105,5,5,3,5,4,1,1,1,0
11,46,68,33,8,45.0,1.0,95,5,-1,-1,11,7,-1,-1,-1,-1
12,50,69,34,9,49.0,1.0,105,6,0,0,0,1,1,1,1,0
13,54,69,34,9,53.0,1.0,95,6,0,0,0,1,-4,-2,0,0
14,58,76,38,4,57.0,1.0,105,7,7,4,7,5,2,1,1,1
15,62,73,36,1,61.0,1.0,95,7,4,2,4,3,2,1,-1,0
16,65,64,31,4,64.0,1.0,105,8,-5,-3,7,5,-5,-3,-1,-1
17,66,69,34,9,65.0,2.0,105,9,0,0,0,1,5,3,1,0
18,69,68,33,8,69.0,1.0,95,9,-1,-1,11,7,-1,-1,-1,-1
19,73,74,37,2,73.0,1.0,105,10,5,3,5,4,1,1,1,0
20,77,68,33,8,77.0,1.0,95,10,-1,-1,11,7,-1,-1,-1,-1
21,81,69,34,9,81.0,0.67,105,11,0,0,0,1,-2,-1,1,0
22,86,71,35,11,85.0,1.0,95,11,2,1,2,2,2,1,1,1
23,90,76,38,4,89.0,1.0,105,12,7,4,7,5,-2,-1,1,2
24,94,73,36,1,93.0,1.0,95,12,4,2,4,3,2,1,-1,1
25,98,69,34,9,97.0,0.67,105,13,0,0,0,1,-12,-7,-1,0
26,103,68,33,8,101.0,1.0,95,13,-1,-1,11,7,-1,-1,-1,-1
27,107,74,37,2,105.0,1.0,105,14,5,3,5,4,1,1,1,0
28,111,68,33,8,109.0,1.0,95,14,-1,-1,11,7,-1,-1,-1,-1
29,115,69,34,9,113.0,1.0,105,15,0,0,0,1,1,1,1,0
30,119,69,34,9,117.0,1.0,95,15,0,0,0,1,-4,-2,0,0
31,123,76,38,4,121.0,1.0,105,16,7,4,7,5,2,1,1,1
32,127,73,36,1,125.0,1.0,95,16,4,2,4,3,2,1,-1,0
33,131,81,41,9,129.0,0.67,105,17,12,7,0,1,0,0,1,1
34,136,78,39,6,133.0,1.0,95,17,9,5,9,6,-3,-2,-1,0
35,140,83,42,11,137.0,0.67,105,18,14,8,2,2,5,3,1,1
36,145,80,40,8,141.0,1.0,95,18,11,6,11,7,-3,-2,-1,0
37,149,81,41,9,145.0,0.67,105,19,12,7,0,1,1,1,1,1
38,154,78,39,6,149.0,1.0,95,19,9,5,9,6,-3,-2,-1,0
39,158,76,38,4,153.0,1.0,105,20,7,4,7,5,-5,-3,-1,-1
40,162,73,36,1,157.0,1.0,95,20,4,2,4,3,2,1,-1,-2
41,166,81,41,9,161.0,0.67,105,21,12,7,0,1,0,0,1,-1
42,171,78,39,6,165.0,1.0,95,21,9,5,9,6,-3,-2,-1,-2
43,175,83,42,11,169.0,0.67,105,22,14,8,2,2,5,3,1,-1
44,180,80,40,8,173.0,1.0,95,22,11,6,11,7,-3,-2,-1,-2
45,184,81,41,9,177.0,1.0,105,23,12,7,0,1,1,1,1,-1
46,188,78,39,6,181.0,1.0,95,23,9,5,9,6,2,1,-1,-2
47,192,76,38,4,185.0,1.0,105,24,7,4,7,5,-5,-3,-1,-3
48,196,73,36,1,189.0,1.0,95,24,4,2,4,3,2,1,-1,-4
