,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.5,105,0,4,2,4,3,0,0,0,0
1,3,71,35,11,3.0,1.0,95,0,4,2,4,3,0,0,0,0
2,6,69,34,9,6.0,1.5,105,1,2,1,2,2,2,1,-1,-1
3,9,69,34,9,9.0,1.0,95,1,2,1,2,2,0,0,0,-1
4,12,62,30,2,12.0,1.0,105,2,-5,-3,7,5,-2,-1,-1,-2
5,15,62,30,2,15.0,1.0,95,2,-5,-3,7,5,-5,-3,0,-2
6,18,71,35,11,18.0,1.0,105,3,4,2,4,3,2,1,1,-1
7,21,69,34,9,21.0,1.0,95,3,2,1,2,2,-2,-1,-1,-2
8,24,71,35,11,24.0,1.5,105,4,4,2,4,3,2,1,1,-1
9,27,71,35,11,27.0,1.0,95,4,4,2,4,3,0,0,0,-1
10,30,69,34,9,30.0,1.5,105,5,2,1,2,2,2,1,-1,-2
11,33,69,34,9,33.0,1.0,95,5,2,1,2,2,0,0,0,-2
12,36,62,30,2,36.0,1.0,105,6,-5,-3,7,5,-2,-1,-1,-3
13,39,62,30,2,39.0,1.0,95,6,-5,-3,7,5,-5,-3,0,-3
14,42,62,30,2,42.0,1.0,105,7,-5,-3,7,5,-7,-4,0,-3
15,45,67,33,7,45.0,3.0,95,7,0,0,0,1,-2,-1,1,-2
16,46,71,35,11,48.0,1.5,105,8,4,2,4,3,4,2,1,-1
17,49,71,35,11,51.0,1.0,95,8,4,2,4,3,0,0,0,-1
18,52,69,34,9,54.0,1.5,105,9,2,1,2,2,2,1,-1,-2
19,55,69,34,9,57.0,1.0,95,9,2,1,2,2,0,0,0,-2
20,58,62,30,2,60.0,1.0,105,10,-5,-3,7,5,-2,-1,-1,-3
21,61,62,30,2,63.0,1.0,95,10,-5,-3,7,5,-5,-3,0,-3
22,64,71,35,11,66.0,1.0,105,11,4,2,4,3,2,1,1,-2
23,67,69,34,9,69.0,1.0,95,11,2,1,2,2,-2,-1,-1,-3
24,70,71,35,11,72.0,1.5,105,12,4,2,4,3,2,1,1,-2
25,73,71,35,11,75.0,1.0,95,12,4,2,4,3,0,0,0,-2
26,76,69,34,9,78.0,1.5,105,13,2,1,2,2,2,1,-1,-3
27,79,69,34,9,81.0,1.0,95,13,2,1,2,2,0,0,0,-3
28,82,62,30,2,84.0,1.0,105,14,-5,-3,7,5,-2,-1,-1,-4
29,85,62,30,2,87.0,1.0,95,14,-5,-3,7,5,-5,-3,0,-4
30,88,62,30,2,90.0,1.0,105,15,-5,-3,7,5,-7,-4,0,-4
31,91,67,33,7,93.0,3.0,95,15,0,0,0,1,-2,-1,1,-3
32,92,79,40,7,96.0,1.5,105,16,12,7,0,1,12,7,1,-2
33,95,79,40,7,99.0,1.0,95,16,12,7,0,1,0,0,0,-2
34,98,79,40,7,102.0,1.0,105,17,12,7,0,1,3,2,0,-2
35,101,74,37,2,105.0,1.0,95,17,7,4,7,5,3,2,-1,-3
36,104,81,41,9,108.0,1.5,105,18,14,8,2,2,2,1,1,-2
37,107,81,41,9,111.0,1.0,95,18,14,8,2,2,0,0,0,-2
38,110,81,41,9,114.0,1.0,105,19,14,8,2,2,5,3,0,-2
39,113,84,43,0,117.0,1.0,95,19,17,10,5,4,8,5,1,-1
40,116,79,40,7,120.0,1.5,105,20,12,7,0,1,-2,-1,-1,-2
41,119,79,40,7,123.0,1.0,95,20,12,7,0,1,0,0,0,-2
42,122,72,36,0,126.0,1.5,105,21,5,3,5,4,1,1,-1,-3
43,125,69,34,9,129.0,1.0,95,21,2,1,2,2,-3,-2,-1,-4
44,128,74,37,2,132.0,1.5,105,22,7,4,7,5,2,1,1,-3
45,131,74,37,2,135.0,1.5,95,22,7,4,7,5,0,0,0,-3
46,134,72,36,0,138.0,1.0,105,23,5,3,5,4,-2,-1,-1,-4
47,137,67,33,7,141.0,1.0,95,23,0,0,0,1,-2,-1,-1,-5
48,140,79,40,7,144.0,1.5,105,24,12,7,0,1,5,3,1,-4
49,143,79,40,7,147.0,1.0,95,24,12,7,0,1,0,0,0,-4
50,146,79,40,7,150.0,1.0,105,25,12,7,0,1,3,2,0,-4
51,149,74,37,2,153.0,1.0,95,25,7,4,7,5,3,2,-1,-5
52,152,81,41,9,156.0,1.5,105,26,14,8,2,2,2,1,1,-4
53,155,81,41,9,159.0,1.0,95,26,14,8,2,2,0,0,0,-4
54,158,81,41,9,162.0,1.0,105,27,14,8,2,2,5,3,0,-4
55,161,84,43,0,165.0,1.0,95,27,17,10,5,4,8,5,1,-3
56,164,79,40,7,168.0,1.5,105,28,12,7,0,1,-2,-1,-1,-4
57,167,79,40,7,171.0,1.0,95,28,12,7,0,1,0,0,0,-4
58,170,72,36,0,174.0,1.5,105,29,5,3,5,4,1,1,-1,-5
59,173,69,34,9,177.0,1.0,95,29,2,1,2,2,-3,-2,-1,-6
60,176,74,37,2,180.0,1.5,105,30,7,4,7,5,2,1,1,-5
61,179,74,37,2,183.0,1.5,95,30,7,4,7,5,0,0,0,-5
62,182,72,36,0,186.0,1.0,105,31,5,3,5,4,-2,-1,-1,-6
63,185,67,33,7,189.0,2.0,95,31,0,0,0,1,-2,-1,-1,-7
