,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,73,36,1,1.0,1.0,105,0,4,2,4,3,0,0,0,0
1,6,64,31,4,5.0,1.0,95,0,-5,-3,7,5,-5,-3,-1,-1
2,10,81,41,9,9.0,2.0,105,1,12,7,0,1,5,3,1,0
3,13,78,39,6,13.0,1.0,95,1,9,5,9,6,2,1,-1,-1
4,17,73,36,1,17.0,2.0,105,2,4,2,4,3,2,1,-1,-2
5,21,69,34,9,21.0,1.0,95,2,0,0,0,1,-4,-2,-1,-3
6,25,71,35,11,25.0,2.0,105,3,2,1,2,2,-2,-1,1,-2
7,28,64,31,4,29.0,1.0,95,3,-5,-3,7,5,-7,-4,-1,-3
8,32,73,36,1,33.0,1.0,105,4,4,2,4,3,2,1,1,-2
9,37,64,31,4,37.0,1.0,95,4,-5,-3,7,5,-5,-3,-1,-3
10,41,81,41,9,41.0,2.0,105,5,12,7,0,1,5,3,1,-2
11,44,78,39,6,45.0,1.0,95,5,9,5,9,6,2,1,-1,-3
12,48,81,41,9,49.0,1.0,105,6,12,7,0,1,10,6,1,-2
13,52,81,41,9,53.0,1.0,95,6,12,7,0,1,5,3,0,-2
14,56,74,37,2,57.0,1.0,105,7,5,3,5,4,-2,-1,-1,-3
15,60,69,34,9,61.0,3.0,95,7,0,0,0,1,-2,-1,-1,-4
16,62,73,36,1,65.0,1.0,105,8,4,2,4,3,2,1,1,-3
17,67,64,31,4,69.0,1.0,95,8,-5,-3,7,5,-5,-3,-1,-4
18,71,81,41,9,73.0,2.0,105,9,12,7,0,1,5,3,1,-3
19,74,78,39,6,77.0,1.0,95,9,9,5,9,6,2,1,-1,-4
20,78,73,36,1,81.0,2.0,105,10,4,2,4,3,2,1,-1,-5
21,82,69,34,9,85.0,1.0,95,10,0,0,0,1,-4,-2,-1,-6
22,86,71,35,11,89.0,2.0,105,11,2,1,2,2,-2,-1,1,-5
23,89,64,31,4,93.0,1.0,95,11,-5,-3,7,5,-7,-4,-1,-6
24,93,73,36,1,97.0,1.0,105,12,4,2,4,3,2,1,1,-5
25,98,64,31,4,101.0,1.0,95,12,-5,-3,7,5,-5,-3,-1,-6
26,102,81,41,9,105.0,2.0,105,13,12,7,0,1,5,3,1,-5
27,105,78,39,6,109.0,1.0,95,13,9,5,9,6,2,1,-1,-6
28,109,81,41,9,113.0,1.0,105,14,12,7,0,1,10,6,1,-5
29,113,81,41,9,117.0,1.0,95,14,12,7,0,1,5,3,0,-5
30,117,74,37,2,121.0,1.0,105,15,5,3,5,4,-2,-1,-1,-6
31,121,69,34,9,125.0,3.0,95,15,0,0,0,1,-2,-1,-1,-7
32,122,81,41,9,129.0,1.0,105,16,12,7,0,1,12,7,1,-6
33,126,81,41,9,133.0,1.0,95,16,12,7,0,1,1,1,0,-6
34,130,81,41,9,137.0,1.0,105,17,12,7,0,1,5,3,0,-6
35,135,83,42,11,141.0,1.0,95,17,14,8,2,2,-2,-1,1,-5
36,139,73,36,1,145.0,2.0,105,18,4,2,4,3,-3,-2,-1,-6
37,142,73,36,1,149.0,3.0,95,18,4,2,4,3,4,2,0,-6
38,144,74,37,2,153.0,2.0,105,19,5,3,5,4,5,3,1,-5
39,147,78,39,6,157.0,1.0,95,19,9,5,9,6,2,1,1,-4
40,151,81,41,9,161.0,1.0,105,20,12,7,0,1,5,3,1,-3
41,155,81,41,9,165.0,1.0,95,20,12,7,0,1,1,1,0,-3
42,159,81,41,9,169.0,1.0,105,21,12,7,0,1,5,3,0,-3
43,164,83,42,11,173.0,1.0,95,21,14,8,2,2,-2,-1,1,-2
44,168,85,43,1,177.0,3.0,105,22,16,9,4,3,9,5,1,-1
45,170,85,43,1,181.0,0.67,95,22,16,9,4,3,4,2,0,-1
46,175,73,36,1,185.0,1.0,105,23,4,2,4,3,0,0,-1,-2
47,179,69,34,9,189.0,3.0,95,23,0,0,0,1,-2,-1,-1,-3
48,180,81,41,9,193.0,1.0,105,24,12,7,0,1,12,7,1,-2
49,184,81,41,9,197.0,1.0,95,24,12,7,0,1,1,1,0,-2
50,188,81,41,9,201.0,1.0,105,25,12,7,0,1,5,3,0,-2
51,193,83,42,11,205.0,1.0,95,25,14,8,2,2,-2,-1,1,-1
52,197,73,36,1,209.0,2.0,105,26,4,2,4,3,-3,-2,-1,-2
53,200,73,36,1,213.0,3.0,95,26,4,2,4,3,4,2,0,-2
54,202,74,37,2,217.0,2.0,105,27,5,3,5,4,5,3,1,-1
55,205,78,39,6,221.0,1.0,95,27,9,5,9,6,2,1,1,0
56,209,81,41,9,225.0,1.0,105,28,12,7,0,1,5,3,1,1
57,213,81,41,9,229.0,1.0,95,28,12,7,0,1,1,1,0,1
58,217,81,41,9,233.0,1.0,105,29,12,7,0,1,5,3,0,1
59,222,83,42,11,237.0,1.0,95,29,14,8,2,2,-2,-1,1,2
60,226,85,43,1,241.0,3.0,105,30,16,9,4,3,9,5,1,3
61,228,85,43,1,245.0,0.67,95,30,16,9,4,3,4,2,0,3
62,233,73,36,1,249.0,1.0,105,31,4,2,4,3,0,0,-1,2
63,237,69,34,9,253.0,3.0,95,31,0,0,0,1,-2,-1,-1,1
