,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,72,36,0,0.0,2.0,105,0,12,7,0,1,0,0,0,0
1,3,64,31,4,4.0,1.0,95,0,4,2,4,3,-8,-5,-1,-1
2,7,72,36,0,8.0,2.0,105,1,12,7,0,1,0,0,1,0
3,10,74,37,2,12.0,1.0,95,1,14,8,2,2,2,1,1,1
4,14,72,36,0,16.0,2.0,105,2,12,7,0,1,1,1,-1,0
5,17,64,31,4,20.0,1.0,95,2,4,2,4,3,-8,-5,-1,-1
6,21,65,32,5,24.0,1.0,105,3,5,3,5,4,1,1,1,0
7,25,64,31,4,28.0,1.0,95,3,4,2,4,3,-1,-1,-1,-1
8,29,72,36,0,32.0,2.0,105,4,12,7,0,1,5,3,1,0
9,32,64,31,4,36.0,1.0,95,4,4,2,4,3,-8,-5,-1,-1
10,36,72,36,0,40.0,2.0,105,5,12,7,0,1,0,0,1,0
11,39,74,37,2,44.0,1.0,95,5,14,8,2,2,2,1,1,1
12,43,77,39,5,48.0,1.0,105,6,17,10,5,4,-2,-1,1,2
13,47,72,36,0,52.0,1.0,95,6,12,7,0,1,1,1,-1,1
14,51,69,34,9,56.0,1.0,105,7,9,5,9,6,2,1,-1,0
15,55,76,38,4,60.0,1.0,95,7,16,9,4,3,2,1,1,1
16,59,79,40,7,64.0,2.0,105,8,19,11,7,5,-2,-1,1,2
17,62,72,36,0,68.0,1.0,95,8,12,7,0,1,-7,-4,-1,1
18,66,72,36,0,72.0,1.0,105,9,12,7,0,1,-7,-4,0,1
19,70,79,40,7,76.0,1.0,95,9,19,11,7,5,2,1,1,2
20,74,79,40,7,80.0,0.67,105,10,19,11,7,5,5,3,0,2
21,79,72,36,0,84.0,1.0,95,10,12,7,0,1,-7,-4,-1,1
22,83,77,39,5,88.0,1.0,105,11,17,10,5,4,-2,-1,1,2
23,87,76,38,4,92.0,1.0,95,11,16,9,4,3,-1,-1,-1,1
24,91,79,40,7,96.0,2.0,105,12,19,11,7,5,3,2,1,2
25,94,72,36,0,100.0,1.0,95,12,12,7,0,1,-7,-4,-1,1
26,98,72,36,0,104.0,1.0,105,13,12,7,0,1,-7,-4,0,1
27,102,79,40,7,108.0,1.0,95,13,19,11,7,5,0,0,1,2
28,106,81,41,9,112.0,1.0,105,14,21,12,9,6,7,4,1,3
29,110,77,39,5,116.0,2.0,95,14,17,10,5,4,1,1,-1,2
30,113,77,39,5,120.0,1.0,105,15,17,10,5,4,1,1,0,2
31,117,76,38,4,124.0,1.0,95,15,16,9,4,3,-1,-1,-1,1
32,121,76,38,4,128.0,1.0,105,16,16,9,4,3,2,1,0,1
33,125,81,41,9,132.0,1.0,95,16,21,12,9,6,9,5,1,2
34,129,76,38,4,136.0,1.0,105,17,16,9,4,3,4,2,-1,1
35,133,69,34,9,140.0,1.0,95,17,9,5,9,6,-3,-2,-1,0
36,137,76,38,4,144.0,1.0,105,18,16,9,4,3,4,2,1,1
37,143,81,41,9,148.0,1.0,95,18,21,12,9,6,9,5,1,2
38,147,77,39,5,152.0,1.0,105,19,17,10,5,4,5,3,-1,1
39,151,76,38,4,156.0,1.0,95,19,16,9,4,3,-1,-1,-1,0
40,155,76,38,4,160.0,1.0,105,20,16,9,4,3,2,1,0,0
41,159,81,41,9,164.0,1.0,95,20,21,12,9,6,9,5,1,1
42,163,76,38,4,168.0,1.0,105,21,16,9,4,3,4,2,-1,0
43,167,69,34,9,172.0,1.0,95,21,9,5,9,6,-3,-2,-1,-1
44,171,81,41,9,176.0,1.0,105,22,21,12,9,6,2,1,1,0
45,175,79,40,7,180.0,0.5,95,22,19,11,7,5,3,2,-1,-1
46,179,77,39,5,184.0,1.0,105,23,17,10,5,4,1,1,-1,-2
47,183,76,38,4,188.0,1.0,95,23,16,9,4,3,-1,-1,-1,-3
