,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,81,41,9,1.0,1.0,105,0,19,11,7,5,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,9,5,9,6,-10,-6,-1,-1
2,7,69,34,9,7.0,2.0,105,1,7,4,7,5,1,1,-1,-2
3,9,74,37,2,10.0,2.0,95,1,12,7,0,1,-4,-2,1,-1
4,11,69,34,9,13.0,1.0,105,2,7,4,7,5,-2,-1,-1,-2
5,14,74,37,2,16.0,2.0,95,2,12,7,0,1,5,3,1,-1
6,16,73,36,1,19.0,3.0,105,3,11,6,11,7,2,1,-1,-2
7,17,73,36,1,22.0,2.0,95,3,11,6,11,7,0,0,0,-2
8,19,69,34,9,25.0,2.0,105,4,7,4,7,5,0,0,-1,-3
9,21,73,36,1,28.0,2.0,95,4,11,6,11,7,2,1,1,-2
10,23,76,38,4,31.0,2.0,105,5,14,8,2,2,2,1,1,-1
11,25,79,40,7,34.0,2.0,95,5,17,10,5,4,1,1,1,0
12,27,81,41,9,37.0,1.0,105,6,19,11,7,5,1,1,1,1
13,30,76,38,4,40.0,2.0,95,6,14,8,2,2,-5,-3,-1,0
14,32,78,39,6,43.0,3.0,105,7,16,9,4,3,1,0,1,1
15,33,78,39,6,46.0,2.0,95,7,16,9,4,3,0,0,0,1
16,35,81,41,9,49.0,1.0,105,8,19,11,7,5,2,1,1,2
17,38,83,42,11,52.0,1.0,95,8,21,12,9,6,2,1,1,3
18,41,81,41,9,55.0,2.0,105,9,19,11,7,5,1,1,-1,2
19,43,74,37,2,58.0,2.0,95,9,12,7,0,1,-4,-2,-1,1
20,45,69,34,9,61.0,1.0,105,10,7,4,7,5,-2,-1,-1,0
21,48,74,37,2,64.0,2.0,95,10,12,7,0,1,5,3,1,1
22,50,71,35,11,67.0,3.0,105,11,9,5,9,6,-2,-1,-1,0
23,51,71,35,11,70.0,2.0,95,11,9,5,9,6,0,0,0,0
24,53,71,35,11,73.0,1.0,105,12,9,5,9,6,0,0,0,0
25,56,74,37,2,76.0,1.0,95,12,12,7,0,1,3,2,1,1
26,59,69,34,9,79.0,2.0,105,13,7,4,7,5,-2,-1,-1,0
27,61,78,39,6,82.0,2.0,95,13,16,9,4,3,4,2,1,1
28,63,81,41,9,85.0,1.0,105,14,19,11,7,5,0,0,1,2
29,66,79,40,7,88.0,2.0,95,14,17,10,5,4,-2,-1,-1,1
30,68,74,37,2,91.0,3.0,105,15,12,7,0,1,-2,-1,-1,0
31,69,74,37,2,94.0,2.0,95,15,12,7,0,1,0,0,0,0
32,71,81,41,9,97.0,1.0,105,16,19,11,7,5,1,1,1,1
33,74,71,35,11,100.0,1.0,95,16,9,5,9,6,2,1,-1,0
34,77,81,41,9,103.0,1.0,105,17,19,11,7,5,12,7,1,1
35,80,71,35,11,106.0,2.0,95,17,9,5,9,6,2,1,-1,0
36,82,81,41,9,109.0,1.0,105,18,19,11,7,5,12,7,1,1
37,85,83,42,11,112.0,2.0,95,18,21,12,9,6,2,1,1,2
38,87,79,40,7,115.0,3.0,105,19,17,10,5,4,1,1,-1,1
39,88,79,40,7,118.0,2.0,95,19,17,10,5,4,0,0,0,1
40,90,79,40,7,121.0,1.0,105,20,17,10,5,4,0,0,0,1
41,93,71,35,11,124.0,1.0,95,20,9,5,9,6,2,1,-1,0
42,96,79,40,7,127.0,1.0,105,21,17,10,5,4,10,6,1,1
43,99,71,35,11,130.0,2.0,95,21,9,5,9,6,2,1,-1,0
44,101,69,34,9,133.0,1.0,105,22,7,4,7,5,0,0,-1,-1
45,104,74,37,2,136.0,1.0,95,22,12,7,0,1,1,1,1,0
46,107,78,39,6,139.0,3.0,105,23,16,9,4,3,1,0,1,1
47,108,78,39,6,142.0,2.0,95,23,16,9,4,3,0,0,0,1
48,110,81,41,9,145.0,1.0,105,24,19,11,7,5,-2,-1,1,2
49,113,71,35,11,148.0,1.0,95,24,9,5,9,6,2,1,-1,1
50,116,79,40,7,151.0,1.0,105,25,17,10,5,4,10,6,1,2
51,119,71,35,11,154.0,2.0,95,25,9,5,9,6,2,1,-1,1
52,121,81,41,9,157.0,1.0,105,26,19,11,7,5,12,7,1,2
53,124,79,40,7,160.0,2.0,95,26,17,10,5,4,-2,-1,-1,1
54,126,71,35,11,163.0,3.0,105,27,9,5,9,6,-7,-4,-1,0
55,127,71,35,11,166.0,2.0,95,27,9,5,9,6,0,0,0,0
56,129,71,35,11,169.0,1.0,105,28,9,5,9,6,0,0,0,0
57,132,74,37,2,172.0,1.0,95,28,12,7,0,1,2,1,1,1
58,135,69,34,9,175.0,2.0,105,29,7,4,7,5,-3,-2,-1,0
59,137,78,39,6,178.0,2.0,95,29,16,9,4,3,4,2,1,1
60,139,81,41,9,181.0,1.0,105,30,19,11,7,5,0,0,1,2
61,142,79,40,7,184.0,2.0,95,30,17,10,5,4,-2,-1,-1,1
62,144,74,37,2,187.0,3.0,105,31,12,7,0,1,-2,-1,-1,0
63,145,74,37,2,190.0,2.0,95,31,12,7,0,1,0,0,0,0
