,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,2.0,1.33,105,0,2,1,2,2,0,0,0,0
1,5,76,38,4,6.0,1.33,95,0,9,5,9,6,2,1,1,1
2,9,76,38,4,10.0,1.33,105,1,9,5,9,6,0,0,0,1
3,13,76,38,4,14.0,2.0,95,1,9,5,9,6,2,1,0,1
4,15,67,33,7,18.0,1.33,105,2,0,0,0,1,-12,-7,-1,0
5,19,74,37,2,22.0,1.33,95,2,7,4,7,5,3,2,1,1
6,23,76,38,4,26.0,1.33,105,3,9,5,9,6,2,1,1,2
7,27,71,35,11,30.0,0.67,95,3,4,2,4,3,-8,-5,-1,1
8,32,69,34,9,34.0,1.33,105,4,2,1,2,2,-2,-1,-1,0
9,37,76,38,4,38.0,1.33,95,4,9,5,9,6,0,0,1,1
10,41,76,38,4,42.0,1.33,105,5,9,5,9,6,2,1,0,1
11,46,76,38,4,46.0,2.0,95,5,9,5,9,6,2,1,0,1
12,48,76,38,4,50.0,1.33,105,6,9,5,9,6,-3,-2,0,1
13,52,76,38,4,54.0,1.33,95,6,9,5,9,6,-3,-2,0,1
14,56,76,38,4,58.0,1.33,105,7,9,5,9,6,2,1,0,1
15,60,69,34,9,62.0,2.0,95,7,2,1,2,2,-2,-1,-1,0
16,62,69,34,9,66.0,1.33,105,8,2,1,2,2,-7,-4,0,0
17,66,76,38,4,70.0,1.33,95,8,9,5,9,6,2,1,1,1
18,70,76,38,4,74.0,1.33,105,9,9,5,9,6,0,0,0,1
19,74,76,38,4,78.0,2.0,95,9,9,5,9,6,2,1,0,1
20,76,67,33,7,82.0,1.33,105,10,0,0,0,1,-12,-7,-1,0
21,80,74,37,2,86.0,1.33,95,10,7,4,7,5,3,2,1,1
22,84,76,38,4,90.0,1.33,105,11,9,5,9,6,2,1,1,2
