,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,4,76,38,4,4.0,1.0,95,0,9,5,9,6,4,2,1,1
2,8,76,38,4,8.0,1.0,105,1,9,5,9,6,-3,-2,0,1
3,12,78,39,6,12.0,1.0,95,1,11,6,11,7,-1,-1,1,2
4,15,71,35,11,16.0,1.0,105,2,4,2,4,3,-10,-6,-1,1
5,19,76,38,4,20.0,1.0,95,2,9,5,9,6,4,2,1,2
6,23,72,36,0,24.0,1.0,105,3,5,3,5,4,-7,-4,-1,1
7,27,71,35,11,28.0,1.0,95,3,4,2,4,3,-1,-1,-1,0
8,30,71,35,11,32.0,1.0,105,4,4,2,4,3,4,2,0,0
9,34,76,38,4,36.0,1.0,95,4,9,5,9,6,4,2,1,1
10,38,76,38,4,40.0,1.0,105,5,9,5,9,6,-3,-2,0,1
11,42,78,39,6,44.0,1.0,95,5,11,6,11,7,-1,-1,1,2
12,45,71,35,11,48.0,1.0,105,6,4,2,4,3,-10,-6,-1,1
13,49,76,38,4,52.0,1.0,95,6,9,5,9,6,4,2,1,2
14,53,72,36,0,56.0,1.0,105,7,5,3,5,4,-7,-4,-1,1
15,57,71,35,11,60.0,1.0,95,7,4,2,4,3,-1,-1,-1,0
16,60,71,35,11,64.0,1.0,105,8,4,2,4,3,4,2,0,0
17,64,76,38,4,68.0,1.0,95,8,9,5,9,6,4,2,1,1
18,68,76,38,4,72.0,1.0,105,9,9,5,9,6,-3,-2,0,1
19,72,78,39,6,76.0,1.0,95,9,11,6,11,7,-1,-1,1,2
20,75,71,35,11,80.0,1.0,105,10,4,2,4,3,-10,-6,-1,1
21,79,76,38,4,84.0,1.0,95,10,9,5,9,6,4,2,1,2
22,83,72,36,0,88.0,1.0,105,11,5,3,5,4,-7,-4,-1,1
23,87,71,35,11,92.0,1.0,95,11,4,2,4,3,-1,-1,-1,0
24,90,71,35,11,96.0,1.0,105,12,4,2,4,3,4,2,0,0
25,94,76,38,4,100.0,1.0,95,12,9,5,9,6,4,2,1,1
26,98,76,38,4,104.0,1.0,105,13,9,5,9,6,-3,-2,0,1
27,102,78,39,6,108.0,1.0,95,13,11,6,11,7,-1,-1,1,2
28,105,71,35,11,112.0,1.0,105,14,4,2,4,3,-10,-6,-1,1
29,109,76,38,4,116.0,1.0,95,14,9,5,9,6,4,2,1,2
30,113,72,36,0,120.0,1.0,105,15,5,3,5,4,-7,-4,-1,1
31,117,71,35,11,124.0,1.0,95,15,4,2,4,3,-1,-1,-1,0
32,120,83,42,11,128.0,1.0,105,16,16,9,4,3,16,9,1,1
33,124,76,38,4,132.0,1.0,95,16,9,5,9,6,-3,-2,-1,0
34,128,83,42,11,136.0,1.0,105,17,16,9,4,3,4,2,1,1
35,132,78,39,6,140.0,1.0,95,17,11,6,11,7,-1,-1,-1,0
36,135,83,42,11,144.0,1.0,105,18,16,9,4,3,2,1,1,1
37,139,76,38,4,148.0,1.0,95,18,9,5,9,6,-3,-2,-1,0
38,143,72,36,0,152.0,1.0,105,19,5,3,5,4,-7,-4,-1,-1
39,147,71,35,11,156.0,1.0,95,19,4,2,4,3,-1,-1,-1,-2
40,150,83,42,11,160.0,1.0,105,20,16,9,4,3,16,9,1,-1
41,154,76,38,4,164.0,1.0,95,20,9,5,9,6,-3,-2,-1,-2
42,158,83,42,11,168.0,1.0,105,21,16,9,4,3,4,2,1,-1
43,162,78,39,6,172.0,1.0,95,21,11,6,11,7,-1,-1,-1,-2
44,165,83,42,11,176.0,0.67,105,22,16,9,4,3,2,1,1,-1
45,171,79,40,7,180.0,0.67,95,22,12,7,0,1,1,1,-1,-2
46,177,72,36,0,184.0,0.67,105,23,5,3,5,4,-2,-1,-1,-3
47,182,71,35,11,188.0,1.0,95,23,4,2,4,3,-1,-1,-1,-4
48,185,83,42,11,192.0,1.0,105,24,16,9,4,3,16,9,1,-3
49,189,76,38,4,196.0,1.0,95,24,9,5,9,6,-3,-2,-1,-4
50,193,83,42,11,200.0,1.0,105,25,16,9,4,3,4,2,1,-3
51,197,78,39,6,204.0,1.0,95,25,11,6,11,7,-1,-1,-1,-4
52,200,83,42,11,208.0,1.0,105,26,16,9,4,3,2,1,1,-3
53,204,76,38,4,212.0,1.0,95,26,9,5,9,6,-3,-2,-1,-4
54,208,72,36,0,216.0,1.0,105,27,5,3,5,4,-7,-4,-1,-5
55,212,71,35,11,220.0,1.0,95,27,4,2,4,3,-1,-1,-1,-6
56,215,83,42,11,224.0,1.0,105,28,16,9,4,3,16,9,1,-5
57,219,76,38,4,228.0,1.0,95,28,9,5,9,6,-3,-2,-1,-6
58,223,83,42,11,232.0,1.0,105,29,16,9,4,3,4,2,1,-5
59,227,78,39,6,236.0,1.0,95,29,11,6,11,7,-1,-1,-1,-6
60,230,83,42,11,240.0,0.67,105,30,16,9,4,3,2,1,1,-5
61,236,79,40,7,244.0,0.67,95,30,12,7,0,1,1,1,-1,-6
62,242,72,36,0,248.0,0.67,105,31,5,3,5,4,-2,-1,-1,-7
63,247,71,35,11,252.0,1.0,95,31,4,2,4,3,-1,-1,-1,-8
