,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,4,67,33,7,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,9,62,30,2,8.0,4.0,105,1,-5,-3,7,5,-4,-2,-1,-1
2,12,64,31,4,14.0,2.0,105,2,-3,-2,9,6,9,5,1,0
3,15,69,34,9,20.0,3.0,105,3,2,1,2,2,7,4,1,1
4,19,74,37,2,26.0,2.0,105,4,7,4,7,5,2,1,1,2
5,23,62,30,2,32.0,3.0,105,5,-5,-3,7,5,-4,-2,-1,1
6,27,64,31,4,38.0,3.0,105,6,-3,-2,9,6,-3,-2,1,2
7,31,69,34,9,44.0,3.0,105,7,2,1,2,2,-5,-3,1,3
8,35,78,39,6,50.0,2.0,105,8,11,6,11,7,-3,-2,1,4
9,41,76,38,4,56.0,2.0,105,9,9,5,9,6,-3,-2,-1,3
10,46,74,37,2,62.0,2.0,105,10,7,4,7,5,2,1,-1,2
11,49,74,37,2,68.0,1.0,105,11,7,4,7,5,0,0,0,2
12,56,67,33,7,74.0,2.0,105,12,0,0,0,1,-2,-1,-1,1
13,61,60,29,0,80.0,2.0,105,13,-7,-4,5,4,5,3,-1,0
14,64,69,34,9,86.0,0.5,105,14,2,1,2,2,-2,-1,1,1
15,69,67,33,7,92.0,2.0,105,15,0,0,0,1,1,1,-1,0
16,76,67,33,7,98.0,2.0,105,16,0,0,0,1,-2,-1,0,0
17,81,62,30,2,104.0,4.0,105,17,-5,-3,7,5,-4,-2,-1,-1
18,84,64,31,4,110.0,2.0,105,18,-3,-2,9,6,9,5,1,0
19,87,69,34,9,116.0,3.0,105,19,2,1,2,2,7,4,1,1
20,91,74,37,2,122.0,2.0,105,20,7,4,7,5,2,1,1,2
21,95,62,30,2,128.0,3.0,105,21,-5,-3,7,5,-4,-2,-1,1
22,99,64,31,4,134.0,3.0,105,22,-3,-2,9,6,-3,-2,1,2
23,103,69,34,9,140.0,3.0,105,23,2,1,2,2,-5,-3,1,3
24,107,78,39,6,146.0,2.0,105,24,11,6,11,7,-3,-2,1,4
25,113,76,38,4,152.0,2.0,105,25,9,5,9,6,-3,-2,-1,3
26,118,74,37,2,158.0,2.0,105,26,7,4,7,5,2,1,-1,2
27,121,74,37,2,164.0,1.0,105,27,7,4,7,5,0,0,0,2
28,128,67,33,7,170.0,2.0,105,28,0,0,0,1,-2,-1,-1,1
29,133,60,29,0,176.0,2.0,105,29,-7,-4,5,4,5,3,-1,0
30,136,69,34,9,182.0,0.5,105,30,2,1,2,2,-2,-1,1,1
31,141,67,33,7,188.0,6.0,105,31,0,0,0,1,1,1,-1,0
32,142,65,32,5,194.0,2.0,105,32,-2,-1,10,7,-2,-1,-1,-1
33,147,72,36,0,200.0,2.0,105,33,5,3,5,4,2,1,1,0
34,152,74,37,2,206.0,1.0,105,34,7,4,7,5,2,1,1,1
35,158,70,35,10,212.0,1.0,105,35,3,2,3,3,0,0,-1,0
36,164,66,32,6,218.0,1.0,105,36,-1,-1,11,7,0,0,-1,-1
37,170,72,36,0,224.0,2.0,105,37,5,3,5,4,2,1,1,0
38,175,74,37,2,230.0,1.0,105,38,7,4,7,5,-1,-1,1,1
39,181,67,33,7,236.0,6.0,105,39,0,0,0,1,1,1,-1,0
40,182,65,32,5,242.0,2.0,105,40,-2,-1,10,7,-2,-1,-1,-1
41,187,72,36,0,248.0,2.0,105,41,5,3,5,4,2,1,1,0
42,192,74,37,2,254.0,1.0,105,42,7,4,7,5,2,1,1,1
43,198,70,35,10,260.0,1.0,105,43,3,2,3,3,0,0,-1,0
44,204,66,32,6,266.0,1.0,105,44,-1,-1,11,7,0,0,-1,-1
45,210,71,35,11,272.0,1.0,105,45,4,2,4,3,1,0,1,0
46,216,74,37,2,278.0,1.0,105,46,7,4,7,5,-1,-1,1,1
47,222,67,33,7,284.0,2.0,105,47,0,0,0,1,1,1,-1,0
48,229,67,33,7,290.0,2.0,105,48,0,0,0,1,-2,-1,0,0
49,234,62,30,2,296.0,3.0,105,49,-5,-3,7,5,-4,-2,-1,-1
50,237,64,31,4,302.0,2.0,105,50,-3,-2,9,6,9,5,1,0
51,240,69,34,9,308.0,2.0,105,51,2,1,2,2,7,4,1,1
52,245,74,37,2,314.0,2.0,105,52,7,4,7,5,2,1,1,2
53,249,62,30,2,320.0,3.0,105,53,-5,-3,7,5,-4,-2,-1,1
54,253,64,31,4,326.0,2.0,105,54,-3,-2,9,6,-3,-2,1,2
55,258,69,34,9,332.0,2.0,105,55,2,1,2,2,-5,-3,1,3
56,263,78,39,6,338.0,1.0,105,56,11,6,11,7,-3,-2,1,4
57,269,76,38,4,344.0,2.0,105,57,9,5,9,6,-3,-2,-1,3
58,274,74,37,2,350.0,2.0,105,58,7,4,7,5,2,1,-1,2
59,277,74,37,2,356.0,1.0,105,59,7,4,7,5,0,0,0,2
60,284,67,33,7,362.0,2.0,105,60,0,0,0,1,-2,-1,-1,1
61,289,60,29,0,368.0,2.0,105,61,-7,-4,5,4,5,3,-1,0
62,292,69,34,9,374.0,0.5,105,62,2,1,2,2,-2,-1,1,1
63,297,67,33,7,380.0,6.0,105,63,0,0,0,1,1,1,-1,0
