,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,2.0,105,0,9,5,9,6,0,0,0,0
1,2,76,38,4,4.0,3.0,95,0,14,8,2,2,2,1,1,1
2,3,79,40,7,7.0,2.0,105,1,17,10,5,4,3,2,1,2
3,5,83,42,11,11.0,1.33,95,1,21,12,9,6,2,1,1,3
4,8,78,39,6,15.0,2.0,95,1,16,9,4,3,-1,-1,-1,2
5,10,71,35,11,20.0,2.0,105,2,9,5,9,6,-5,-3,-1,1
6,12,78,39,6,24.0,1.0,95,2,16,9,4,3,2,1,1,2
7,16,79,40,7,32.0,1.33,95,2,17,10,5,4,-2,-1,1,3
8,19,71,35,11,37.0,2.0,105,3,9,5,9,6,-5,-3,-1,2
9,22,76,38,4,41.0,2.0,95,3,14,8,2,2,2,1,1,3
10,24,79,40,7,45.0,2.0,95,3,17,10,5,4,3,2,1,4
11,26,79,40,7,49.0,2.0,95,3,17,10,5,4,-2,-1,0,4
12,28,76,38,4,53.0,0.5,95,3,14,8,2,2,-2,-1,-1,3
13,31,71,35,11,57.0,2.0,105,4,9,5,9,6,-5,-3,-1,2
14,33,78,39,6,61.0,1.33,95,4,16,9,4,3,2,1,1,3
15,42,76,38,4,73.0,2.0,95,4,14,8,2,2,2,1,-1,2
16,44,67,33,7,78.0,2.0,105,5,5,3,5,4,-11,-6,-1,1
17,46,66,32,6,82.0,2.0,95,5,4,2,4,3,-3,-2,-1,0
18,52,71,35,11,96.0,2.0,105,6,9,5,9,6,5,3,1,1
19,54,78,39,6,100.0,2.0,95,6,16,9,4,3,4,2,1,2
20,59,76,38,4,108.0,3.0,95,6,14,8,2,2,2,1,-1,1
