,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,7,4,7,5,7,4,1,1
2,8,69,34,9,8.0,1.0,105,1,7,4,7,5,7,4,0,1
3,13,74,37,2,12.0,1.0,95,1,12,7,0,1,1,1,1,2
4,16,62,30,2,16.0,2.0,105,2,0,0,0,1,-16,-9,-1,1
5,20,69,34,9,20.0,1.0,95,2,7,4,7,5,7,4,1,2
6,24,71,35,11,24.0,1.0,105,3,9,5,9,6,2,1,1,3
7,28,64,31,4,28.0,1.0,95,3,2,1,2,2,-2,-1,-1,2
8,34,62,30,2,32.0,2.0,105,4,0,0,0,1,-4,-2,-1,1
9,38,69,34,9,36.0,1.0,95,4,7,4,7,5,7,4,1,2
10,42,69,34,9,40.0,1.0,105,5,7,4,7,5,7,4,0,2
11,47,74,37,2,44.0,1.0,95,5,12,7,0,1,1,1,1,3
12,51,74,37,2,48.0,3.0,105,6,12,7,0,1,-2,-1,0,3
13,53,71,35,11,52.0,1.0,95,6,9,5,9,6,-2,-1,-1,2
14,57,71,35,11,56.0,0.5,105,7,9,5,9,6,-3,-2,0,2
15,62,64,31,4,60.0,1.0,95,7,2,1,2,2,-2,-1,-1,1
16,66,62,30,2,64.0,2.0,105,8,0,0,0,1,-2,-1,-1,0
17,70,69,34,9,68.0,1.0,95,8,7,4,7,5,7,4,1,1
18,74,69,34,9,72.0,1.0,105,9,7,4,7,5,7,4,0,1
19,79,74,37,2,76.0,1.0,95,9,12,7,0,1,1,1,1,2
20,82,62,30,2,80.0,2.0,105,10,0,0,0,1,-16,-9,-1,1
21,86,69,34,9,84.0,1.0,95,10,7,4,7,5,7,4,1,2
22,90,71,35,11,88.0,1.0,105,11,9,5,9,6,2,1,1,3
23,94,64,31,4,92.0,1.0,95,11,2,1,2,2,-2,-1,-1,2
24,98,62,30,2,96.0,2.0,105,12,0,0,0,1,-2,-1,-1,1
25,102,69,34,9,100.0,1.0,95,12,7,4,7,5,7,4,1,2
26,106,69,34,9,104.0,1.0,105,13,7,4,7,5,7,4,0,2
27,111,74,37,2,108.0,1.0,95,13,12,7,0,1,1,1,1,3
28,115,74,37,2,112.0,1.0,105,14,12,7,0,1,-2,-1,0,3
29,119,71,35,11,116.0,1.0,95,14,9,5,9,6,2,1,-1,2
30,123,71,35,11,120.0,0.5,105,15,9,5,9,6,-3,-2,0,2
31,128,64,31,4,124.0,1.0,95,15,2,1,2,2,-2,-1,-1,1
32,132,74,37,2,128.0,2.0,105,16,12,7,0,1,-2,-1,1,2
33,135,69,34,9,132.0,1.0,95,16,7,4,7,5,-5,-3,-1,1
34,140,62,30,2,136.0,1.0,105,17,0,0,0,1,-4,-2,-1,0
35,144,71,35,11,140.0,1.0,95,17,9,5,9,6,5,3,1,1
36,148,74,37,2,144.0,1.0,105,18,12,7,0,1,8,5,1,2
37,152,69,34,9,148.0,1.0,95,18,7,4,7,5,-5,-3,-1,1
38,158,62,30,2,152.0,1.0,105,19,0,0,0,1,-4,-2,-1,0
39,162,64,31,4,156.0,0.5,95,19,2,1,2,2,2,1,1,1
40,167,74,37,2,160.0,2.0,105,20,12,7,0,1,5,3,1,2
41,170,71,35,11,164.0,2.0,95,20,9,5,9,6,2,1,-1,1
42,173,71,35,11,168.0,1.0,105,21,9,5,9,6,-2,-1,0,1
43,177,69,34,9,172.0,1.0,95,21,7,4,7,5,3,2,-1,0
44,181,78,39,6,176.0,1.0,105,22,16,9,4,3,-1,-1,1,1
45,185,74,37,2,180.0,1.0,95,22,12,7,0,1,1,1,-1,0
46,189,71,35,11,184.0,1.0,105,23,9,5,9,6,2,1,-1,-1
47,195,64,31,4,188.0,1.0,95,23,2,1,2,2,-2,-1,-1,-2
48,199,74,37,2,192.0,2.0,105,24,12,7,0,1,1,1,1,-1
49,202,69,34,9,196.0,1.0,95,24,7,4,7,5,-5,-3,-1,-2
50,207,62,30,2,200.0,1.0,105,25,0,0,0,1,-4,-2,-1,-3
51,211,71,35,11,204.0,1.0,95,25,9,5,9,6,5,3,1,-2
52,215,74,37,2,208.0,1.0,105,26,12,7,0,1,8,5,1,-1
53,219,69,34,9,212.0,1.0,95,26,7,4,7,5,-5,-3,-1,-2
54,225,62,30,2,216.0,1.0,105,27,0,0,0,1,-4,-2,-1,-3
55,229,64,31,4,220.0,1.0,95,27,2,1,2,2,2,1,1,-2
56,233,74,37,2,224.0,2.0,105,28,12,7,0,1,1,1,1,-1
57,236,71,35,11,228.0,1.0,95,28,9,5,9,6,-3,-2,-1,-2
58,242,71,35,11,232.0,1.0,105,29,9,5,9,6,-2,-1,0,-2
59,246,69,34,9,236.0,1.0,95,29,7,4,7,5,1,1,-1,-3
60,250,78,39,6,240.0,1.0,105,30,16,9,4,3,-2,-1,1,-2
61,254,74,37,2,244.0,1.0,95,30,12,7,0,1,1,1,-1,-3
62,258,71,35,11,248.0,1.0,105,31,9,5,9,6,2,1,-1,-4
63,263,64,31,4,252.0,1.0,95,31,2,1,2,2,-2,-1,-1,-5
