,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,2.0,105,0,-3,-2,9,6,0,0,0,0
1,2,71,35,11,3.0,1.0,95,0,2,1,2,2,-2,-1,1,1
2,5,66,32,6,6.0,2.0,95,0,-3,-2,9,6,0,0,-1,0
3,7,66,32,6,9.0,2.0,105,1,-3,-2,9,6,2,1,0,0
4,9,71,35,11,12.0,1.0,95,1,2,1,2,2,-2,-1,1,1
5,12,78,39,6,15.0,1.0,95,1,9,5,9,6,5,3,1,2
6,15,71,35,11,18.0,3.0,105,2,2,1,2,2,-2,-1,-1,1
7,16,71,35,11,21.0,1.0,95,2,2,1,2,2,0,0,0,1
8,19,73,36,1,24.0,2.0,95,2,4,2,4,3,2,1,1,2
9,21,71,35,11,27.0,1.0,105,3,2,1,2,2,2,1,-1,1
10,26,71,35,11,30.0,1.0,95,3,2,1,2,2,0,0,0,1
11,29,73,36,1,33.0,1.0,95,3,4,2,4,3,2,1,1,2
12,32,66,32,6,36.0,2.0,105,4,-3,-2,9,6,-3,-2,-1,1
13,34,71,35,11,39.0,1.0,95,4,2,1,2,2,-2,-1,1,2
14,37,66,32,6,42.0,2.0,95,4,-3,-2,9,6,0,0,-1,1
15,39,66,32,6,45.0,2.0,105,5,-3,-2,9,6,2,1,0,1
16,41,71,35,11,48.0,1.0,95,5,2,1,2,2,-2,-1,1,2
17,44,78,39,6,51.0,1.0,95,5,9,5,9,6,5,3,1,3
18,47,71,35,11,54.0,3.0,105,6,2,1,2,2,-2,-1,-1,2
19,48,71,35,11,57.0,1.0,95,6,2,1,2,2,0,0,0,2
20,51,73,36,1,60.0,2.0,95,6,4,2,4,3,2,1,1,3
21,53,71,35,11,63.0,1.0,105,7,2,1,2,2,2,1,-1,2
22,58,71,35,11,66.0,1.0,95,7,2,1,2,2,0,0,0,2
23,61,73,36,1,69.0,1.0,95,7,4,2,4,3,2,1,1,3
24,64,81,41,9,72.0,3.0,105,8,12,7,0,1,3,2,1,4
25,65,78,39,6,75.0,1.0,95,8,9,5,9,6,-3,-2,-1,3
26,68,78,39,6,78.0,1.0,95,8,9,5,9,6,5,3,0,3
27,71,71,35,11,81.0,3.0,105,9,2,1,2,2,-2,-1,-1,2
28,72,71,35,11,84.0,1.0,95,9,2,1,2,2,0,0,0,2
29,75,73,36,1,87.0,1.0,95,9,4,2,4,3,2,1,1,3
30,78,81,41,9,90.0,3.0,105,10,12,7,0,1,3,2,1,4
31,79,83,42,11,93.0,1.0,95,10,14,8,2,2,2,1,1,5
32,82,81,41,9,96.0,1.0,95,10,12,7,0,1,3,2,-1,4
33,85,78,39,6,99.0,1.0,105,11,9,5,9,6,2,1,-1,3
34,88,71,35,11,102.0,1.0,95,11,2,1,2,2,-2,-1,-1,2
35,91,78,39,6,105.0,1.0,95,11,9,5,9,6,2,1,1,3
36,94,81,41,9,108.0,2.0,105,12,12,7,0,1,8,5,1,4
37,96,78,39,6,111.0,1.0,95,12,9,5,9,6,0,0,-1,3
38,99,78,39,6,114.0,1.0,95,12,9,5,9,6,5,3,0,3
39,102,71,35,11,117.0,3.0,105,13,2,1,2,2,-2,-1,-1,2
40,103,71,35,11,120.0,1.0,95,13,2,1,2,2,0,0,0,2
41,106,73,36,1,123.0,1.0,95,13,4,2,4,3,2,1,1,3
42,109,81,41,9,126.0,3.0,105,14,12,7,0,1,3,2,1,4
43,110,83,42,11,129.0,1.0,95,14,14,8,2,2,2,1,1,5
44,113,81,41,9,132.0,1.0,95,14,12,7,0,1,3,2,-1,4
45,116,78,39,6,135.0,1.0,105,15,9,5,9,6,2,1,-1,3
46,119,78,39,6,138.0,1.0,95,15,9,5,9,6,5,3,0,3
47,122,71,35,11,141.0,1.0,95,15,2,1,2,2,-2,-1,-1,2
