,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,64,31,4,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,7,4,7,5,0,0,1,1
2,7,69,34,9,7.0,1.0,105,1,5,3,5,4,-2,-1,-1,0
3,10,69,34,9,10.0,1.0,95,1,5,3,5,4,2,1,0,0
4,13,67,33,7,13.0,1.0,105,2,3,2,3,3,1,1,-1,-1
5,17,74,37,2,16.0,1.0,95,2,10,6,10,7,2,1,1,0
6,20,69,34,9,19.0,1.0,105,3,5,3,5,4,-2,-1,-1,-1
7,23,64,31,4,22.0,2.0,95,3,0,0,0,1,-2,-1,-1,-2
8,25,64,31,4,25.0,1.0,105,4,0,0,0,1,2,1,0,-2
9,28,71,35,11,28.0,1.0,95,4,7,4,7,5,0,0,1,-1
10,31,69,34,9,31.0,1.0,105,5,5,3,5,4,-2,-1,-1,-2
11,34,69,34,9,34.0,1.0,95,5,5,3,5,4,2,1,0,-2
12,37,67,33,7,37.0,1.0,105,6,3,2,3,3,1,1,-1,-3
13,41,74,37,2,40.0,1.0,95,6,10,6,10,7,2,1,1,-2
14,44,69,34,9,43.0,1.0,105,7,5,3,5,4,-2,-1,-1,-3
15,47,64,31,4,46.0,2.0,95,7,0,0,0,1,0,0,-1,-4
16,49,64,31,4,49.0,1.0,105,8,0,0,0,1,2,1,0,-4
17,52,71,35,11,52.0,1.0,95,8,7,4,7,5,2,1,1,-3
18,56,78,39,6,55.0,3.0,105,9,14,8,2,2,2,1,1,-2
19,57,74,37,2,58.0,1.0,95,9,10,6,10,7,-4,-2,-1,-3
20,60,69,34,9,61.0,1.0,105,10,5,3,5,4,3,2,-1,-4
21,64,74,37,2,64.0,1.0,95,10,10,6,10,7,2,1,1,-3
22,67,76,38,4,67.0,1.0,105,11,12,7,0,1,2,1,1,-2
23,70,72,36,0,70.0,2.0,95,11,8,5,8,6,3,2,-1,-3
24,72,66,32,6,73.0,0.5,105,12,2,1,2,2,2,1,-1,-4
25,76,76,38,4,76.0,1.0,95,12,12,7,0,1,5,3,1,-3
26,79,78,39,6,79.0,1.0,105,13,14,8,2,2,2,1,1,-2
27,82,74,37,2,82.0,1.0,95,13,10,6,10,7,-2,-1,-1,-3
28,85,69,34,9,85.0,1.0,105,14,5,3,5,4,3,2,-1,-4
29,89,74,37,2,88.0,1.0,95,14,10,6,10,7,2,1,1,-3
30,92,69,34,9,91.0,1.0,105,15,5,3,5,4,0,0,-1,-4
31,95,64,31,4,94.0,2.0,95,15,0,0,0,1,-2,-1,-1,-5
