,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,5,68,33,8,6.0,1.0,95,0,6,3,6,4,-1,-1,-1,-1
2,9,74,37,2,10.0,2.0,105,1,12,7,0,1,1,1,1,0
3,12,73,36,1,14.0,1.0,95,1,11,6,11,7,-1,-1,-1,-1
4,16,79,40,7,18.0,1.0,105,2,17,10,5,4,1,1,1,0
5,20,76,38,4,22.0,1.0,95,2,14,8,2,2,-2,-1,-1,-1
6,24,69,34,9,26.0,2.0,105,3,7,4,7,5,-2,-1,-1,-2
7,27,74,37,2,30.0,2.0,95,3,12,7,0,1,1,1,1,-1
8,30,69,34,9,34.0,2.0,105,4,7,4,7,5,3,2,-1,-2
9,33,68,33,8,38.0,1.0,95,4,6,3,6,4,-1,-1,-1,-3
10,37,74,37,2,42.0,2.0,105,5,12,7,0,1,1,1,1,-2
11,40,73,36,1,46.0,1.0,95,5,11,6,11,7,-1,-1,-1,-3
12,44,79,40,7,50.0,1.0,105,6,17,10,5,4,1,1,1,-2
13,48,76,38,4,54.0,1.0,95,6,14,8,2,2,-2,-1,-1,-3
14,52,69,34,9,58.0,2.0,105,7,7,4,7,5,-2,-1,-1,-4
15,55,74,37,2,62.0,4.0,95,7,12,7,0,1,1,1,1,-3
16,56,78,39,6,66.0,3.0,105,8,16,9,4,3,4,2,1,-2
17,58,76,38,4,70.0,2.0,95,8,14,8,2,2,-2,-1,-1,-3
18,60,73,36,1,74.0,2.0,105,9,11,6,11,7,-1,-1,-1,-4
19,62,69,34,9,78.0,2.0,95,9,7,4,7,5,-2,-1,-1,-5
20,64,66,32,6,82.0,1.0,105,10,4,2,4,3,-1,-1,-1,-6
21,67,64,31,4,86.0,1.0,95,10,2,1,2,2,-10,-6,-1,-7
22,70,73,36,1,90.0,1.0,105,11,11,6,11,7,0,0,1,-6
23,74,74,37,2,94.0,1.0,95,11,12,7,0,1,1,1,1,-5
24,78,78,39,6,98.0,3.0,105,12,16,9,4,3,2,1,1,-4
25,80,76,38,4,102.0,2.0,95,12,14,8,2,2,-2,-1,-1,-5
26,82,73,36,1,106.0,2.0,105,13,11,6,11,7,-1,-1,-1,-6
27,84,69,34,9,110.0,2.0,95,13,7,4,7,5,-2,-1,-1,-7
28,86,66,32,6,114.0,1.0,105,14,4,2,4,3,-1,-1,-1,-8
29,89,64,31,4,118.0,1.0,95,14,2,1,2,2,-10,-6,-1,-9
30,92,73,36,1,122.0,1.0,105,15,11,6,11,7,0,0,1,-8
31,96,74,37,2,126.0,4.0,95,15,12,7,0,1,1,1,1,-7
32,97,81,41,9,130.0,1.0,105,16,19,11,7,5,7,4,1,-6
33,101,80,40,8,134.0,1.0,95,16,18,10,6,4,2,1,-1,-7
34,105,73,36,1,138.0,1.0,105,17,11,6,11,7,-1,-1,-1,-8
35,109,74,37,2,142.0,1.0,95,17,12,7,0,1,1,1,1,-7
36,113,79,40,7,146.0,1.0,105,18,17,10,5,4,10,6,1,-6
37,117,78,39,6,150.0,1.0,95,18,16,9,4,3,2,1,-1,-7
38,121,69,34,9,154.0,1.0,105,19,7,4,7,5,-5,-3,-1,-8
39,125,74,37,2,158.0,1.0,95,19,12,7,0,1,1,1,1,-7
40,129,81,41,9,162.0,1.0,105,20,19,11,7,5,2,1,1,-6
41,133,80,40,8,166.0,1.0,95,20,18,10,6,4,2,1,-1,-7
42,137,73,36,1,170.0,1.0,105,21,11,6,11,7,-1,-1,-1,-8
43,141,74,37,2,174.0,1.0,95,21,12,7,0,1,1,1,1,-7
44,145,79,40,7,178.0,1.0,105,22,17,10,5,4,10,6,1,-6
45,149,78,39,6,182.0,1.0,95,22,16,9,4,3,2,1,-1,-7
46,153,69,34,9,186.0,1.0,105,23,7,4,7,5,-5,-3,-1,-8
47,157,74,37,2,190.0,2.0,95,23,12,7,0,1,1,1,1,-7
48,160,62,30,2,194.0,1.0,105,24,0,0,0,1,-4,-2,-1,-8
49,164,64,31,4,198.0,1.0,95,24,2,1,2,2,-2,-1,1,-7
50,168,69,34,9,202.0,1.0,105,25,7,4,7,5,2,1,1,-6
51,172,74,37,2,206.0,1.0,95,25,12,7,0,1,1,1,1,-5
52,176,79,40,7,210.0,1.0,105,26,17,10,5,4,1,1,1,-4
53,180,78,39,6,214.0,1.0,95,26,16,9,4,3,2,1,-1,-5
54,184,69,34,9,218.0,1.0,105,27,7,4,7,5,-5,-3,-1,-6
55,188,74,37,2,222.0,2.0,95,27,12,7,0,1,1,1,1,-5
56,191,62,30,2,226.0,1.0,105,28,0,0,0,1,-4,-2,-1,-6
57,195,64,31,4,230.0,1.0,95,28,2,1,2,2,-2,-1,1,-5
58,199,69,34,9,234.0,1.0,105,29,7,4,7,5,2,1,1,-4
59,203,74,37,2,238.0,1.0,95,29,12,7,0,1,1,1,1,-3
60,207,79,40,7,242.0,1.0,105,30,17,10,5,4,1,1,1,-2
61,211,78,39,6,246.0,1.0,95,30,16,9,4,3,2,1,-1,-3
62,215,69,34,9,250.0,1.0,105,31,7,4,7,5,-5,-3,-1,-4
63,219,74,37,2,254.0,2.0,95,31,12,7,0,1,1,1,1,-3
