,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,3.0,105,0,12,7,0,1,0,0,0,0
1,4,71,35,11,10.0,3.0,105,1,7,4,7,5,2,1,-1,-1
2,8,69,34,9,20.0,3.0,105,2,5,3,5,4,-2,-1,-1,-2
3,12,64,31,4,30.0,1.0,105,3,0,0,0,1,2,1,-1,-3
4,17,71,35,11,41.0,3.0,105,4,7,4,7,5,2,1,1,-2
5,21,69,34,9,51.0,3.0,105,5,5,3,5,4,-2,-1,-1,-3
6,25,64,31,4,61.0,1.0,105,6,0,0,0,1,2,1,-1,-4
7,32,69,34,9,71.0,1.0,95,6,5,3,5,4,2,1,1,-3
8,33,71,35,11,72.0,3.0,105,7,7,4,7,5,2,1,1,-2
9,40,64,31,4,82.0,3.0,105,8,0,0,0,1,-7,-4,-1,-3
10,47,71,35,11,92.0,1.0,105,9,7,4,7,5,2,1,1,-2
11,55,64,31,4,102.0,3.0,105,10,0,0,0,1,-7,-4,-1,-3
12,62,71,35,11,112.0,3.0,105,11,7,4,7,5,2,1,1,-2
13,69,64,31,4,122.0,3.0,105,12,0,0,0,1,-7,-4,-1,-3
14,76,71,35,11,132.0,1.0,105,13,7,4,7,5,2,1,1,-2
15,85,76,38,4,142.0,3.0,105,14,12,7,0,1,2,1,1,-1
16,93,67,33,7,152.0,2.0,105,15,3,2,3,3,3,2,-1,-2
17,101,76,38,4,162.0,2.0,105,16,12,7,0,1,2,1,1,-1
18,110,76,38,4,172.0,1.0,105,17,12,7,0,1,-3,-2,0,-1
19,118,76,38,4,182.0,3.0,105,18,12,7,0,1,0,0,0,-1
20,126,67,33,7,192.0,2.0,105,19,3,2,3,3,3,2,-1,-2
21,134,76,38,4,202.0,2.0,105,20,12,7,0,1,2,1,1,-1
22,143,76,38,4,212.0,1.0,105,21,12,7,0,1,-3,-2,0,-1
