,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,79,40,7,0.0,6.0,105,0,15,9,3,3,0,0,0,0
1,1,79,40,7,6.0,2.0,105,1,15,9,3,3,0,0,0,0
2,4,74,37,2,12.0,1.0,105,2,10,6,10,7,-2,-1,-1,-1
3,9,76,38,4,24.0,8.0,105,3,12,7,0,1,2,1,1,0
4,12,71,35,11,36.0,12.0,105,4,7,4,7,5,-1,-1,-1,-1
5,13,72,36,0,48.0,6.0,105,5,8,5,8,6,1,1,1,0
6,14,72,36,0,54.0,2.0,105,6,8,5,8,6,0,0,0,0
7,17,67,33,7,60.0,1.0,105,7,3,2,3,3,-2,-1,-1,-1
8,19,72,36,0,72.0,6.0,105,8,8,5,8,6,8,5,1,0
9,20,72,36,0,78.0,2.0,105,9,8,5,8,6,0,0,0,0
10,23,69,34,9,84.0,6.0,105,10,5,3,5,4,2,1,-1,-1
11,24,74,37,2,90.0,2.0,105,11,10,6,10,7,5,3,1,0
12,27,79,40,7,96.0,6.0,105,12,15,9,3,3,1,1,1,1
13,28,79,40,7,102.0,2.0,105,13,15,9,3,3,0,0,0,1
14,31,74,37,2,108.0,1.0,105,14,10,6,10,7,-2,-1,-1,0
15,36,76,38,4,120.0,8.0,105,15,12,7,0,1,2,1,1,1
16,39,71,35,11,132.0,12.0,105,16,7,4,7,5,-1,-1,-1,0
17,40,72,36,0,144.0,6.0,105,17,8,5,8,6,1,1,1,1
18,41,72,36,0,150.0,2.0,105,18,8,5,8,6,0,0,0,1
19,44,67,33,7,156.0,1.0,105,19,3,2,3,3,-2,-1,-1,0
20,46,69,34,9,168.0,6.0,105,20,5,3,5,4,5,3,1,1
21,47,69,34,9,174.0,2.0,105,21,5,3,5,4,0,0,0,1
22,50,67,33,7,180.0,24.0,105,22,3,2,3,3,1,1,-1,0
23,51,76,38,4,204.0,6.0,105,23,12,7,0,1,9,5,1,1
24,52,76,38,4,210.0,2.0,105,24,12,7,0,1,0,0,0,1
25,55,71,35,11,216.0,1.0,105,25,7,4,7,5,-1,-1,-1,0
26,57,76,38,4,228.0,6.0,105,26,12,7,0,1,9,5,1,1
27,58,76,38,4,234.0,2.0,105,27,12,7,0,1,0,0,0,1
28,61,78,39,6,240.0,6.0,105,28,14,8,2,2,-1,-1,1,2
29,62,81,41,9,246.0,2.0,105,29,17,10,5,4,3,2,1,3
30,65,79,40,7,252.0,6.0,105,30,15,9,3,3,1,1,-1,2
31,66,79,40,7,258.0,2.0,105,31,15,9,3,3,0,0,0,2
32,69,74,37,2,264.0,1.0,105,32,10,6,10,7,-2,-1,-1,1
33,71,71,35,11,270.0,4.0,105,33,7,4,7,5,0,0,-1,0
34,73,72,36,0,276.0,6.0,105,34,8,5,8,6,1,1,1,1
35,74,72,36,0,282.0,2.0,105,35,8,5,8,6,0,0,0,1
36,77,69,34,9,288.0,6.0,105,36,5,3,5,4,2,1,-1,0
37,78,71,35,11,294.0,2.0,105,37,7,4,7,5,2,1,1,1
38,81,76,38,4,300.0,6.0,105,38,12,7,0,1,2,1,1,2
39,82,76,38,4,306.0,2.0,105,39,12,7,0,1,0,0,0,2
40,85,71,35,11,312.0,1.0,105,40,7,4,7,5,-1,-1,-1,1
41,87,67,33,7,318.0,6.0,105,41,3,2,3,3,0,0,-1,0
42,88,76,38,4,324.0,6.0,105,42,12,7,0,1,9,5,1,1
43,89,76,38,4,330.0,2.0,105,43,12,7,0,1,0,0,0,1
44,92,78,39,6,336.0,6.0,105,44,14,8,2,2,-1,-1,1,2
45,93,81,41,9,342.0,2.0,105,45,17,10,5,4,3,2,1,3
46,96,79,40,7,348.0,6.0,105,46,15,9,3,3,1,1,-1,2
47,97,79,40,7,354.0,2.0,105,47,15,9,3,3,0,0,0,2
48,100,74,37,2,360.0,1.0,105,48,10,6,10,7,-2,-1,-1,1
49,102,71,35,11,366.0,6.0,105,49,7,4,7,5,0,0,-1,0
50,103,69,34,9,372.0,6.0,105,50,5,3,5,4,-2,-1,-1,-1
51,104,69,34,9,378.0,2.0,105,51,5,3,5,4,0,0,0,-1
52,107,67,33,7,384.0,12.0,105,52,3,2,3,3,1,1,-1,-2
53,108,66,32,6,396.0,12.0,105,53,2,1,2,2,-1,-1,-1,-3
54,109,67,33,7,408.0,12.0,105,54,3,2,3,3,1,1,1,-2
55,110,66,32,6,420.0,12.0,105,55,2,1,2,2,-1,-1,-1,-3
