,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,0.67,105,0,2,1,2,2,0,0,0,0
1,4,71,35,11,2.0,0.5,105,1,9,5,9,6,2,1,1,1
2,8,64,31,4,4.0,0.5,105,2,2,1,2,2,-5,-3,-1,0
3,12,67,33,7,6.0,0.5,105,3,5,3,5,4,-2,-1,1,1
4,16,64,31,4,8.0,0.67,105,4,2,1,2,2,2,1,-1,0
5,20,71,35,11,10.0,0.5,105,5,9,5,9,6,2,1,1,1
6,24,74,37,2,12.0,0.5,105,6,12,7,0,1,5,3,1,2
7,27,71,35,11,14.0,0.5,105,7,9,5,9,6,2,1,-1,1
8,35,71,35,11,18.0,0.5,105,8,9,5,9,6,2,1,0,1
9,39,64,31,4,20.0,0.5,105,9,2,1,2,2,-5,-3,-1,0
10,43,67,33,7,22.0,0.5,105,10,5,3,5,4,-2,-1,1,1
11,47,64,31,4,24.0,0.67,105,11,2,1,2,2,2,1,-1,0
12,51,71,35,11,26.0,0.5,105,12,9,5,9,6,2,1,1,1
13,55,74,37,2,28.0,0.5,105,13,12,7,0,1,5,3,1,2
14,58,71,35,11,30.0,0.5,105,14,9,5,9,6,2,1,-1,1
15,66,73,36,1,34.0,0.5,105,15,11,6,11,7,2,1,1,2
16,69,78,39,6,36.0,0.5,105,16,16,9,4,3,2,1,1,3
17,73,74,37,2,38.0,0.5,105,17,12,7,0,1,1,1,-1,2
18,77,71,35,11,40.0,0.67,105,18,9,5,9,6,2,1,-1,1
19,81,73,36,1,42.0,0.5,105,19,11,6,11,7,2,1,1,2
20,85,74,37,2,44.0,0.5,105,20,12,7,0,1,-2,-1,1,3
21,88,69,34,9,46.0,0.5,105,21,7,4,7,5,0,0,-1,2
22,96,73,36,1,50.0,0.5,105,22,11,6,11,7,2,1,1,3
23,99,78,39,6,52.0,0.5,105,23,16,9,4,3,2,1,1,4
24,103,74,37,2,54.0,0.5,105,24,12,7,0,1,1,1,-1,3
25,107,71,35,11,56.0,0.67,105,25,9,5,9,6,2,1,-1,2
26,111,73,36,1,58.0,0.5,105,26,11,6,11,7,2,1,1,3
27,115,74,37,2,60.0,0.5,105,27,12,7,0,1,-2,-1,1,4
28,118,71,35,11,62.0,0.5,105,28,9,5,9,6,2,1,-1,3
