,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,9,5,9,6,0,0,0,0
1,6,79,40,7,4.0,1.0,95,0,12,7,0,1,10,6,1,1
2,10,76,38,4,8.0,1.0,105,1,9,5,9,6,7,4,-1,0
3,16,76,38,4,12.0,1.0,95,1,9,5,9,6,7,4,0,0
4,20,76,38,4,16.0,1.0,105,2,9,5,9,6,7,4,0,0
5,26,76,38,4,20.0,1.0,95,2,9,5,9,6,7,4,0,0
6,30,79,40,7,24.0,1.0,105,3,12,7,0,1,-2,-1,1,1
7,34,67,33,7,28.0,1.0,95,3,0,0,0,1,-4,-2,-1,0
8,38,76,38,4,32.0,1.0,105,4,9,5,9,6,2,1,1,1
9,44,79,40,7,36.0,1.0,95,4,12,7,0,1,10,6,1,2
10,48,76,38,4,40.0,1.0,105,5,9,5,9,6,7,4,-1,1
11,54,76,38,4,44.0,1.0,95,5,9,5,9,6,7,4,0,1
12,58,76,38,4,48.0,1.0,105,6,9,5,9,6,7,4,0,1
13,64,76,38,4,52.0,1.0,95,6,9,5,9,6,7,4,0,1
14,68,79,40,7,56.0,1.0,105,7,12,7,0,1,-2,-1,1,2
15,72,67,33,7,60.0,1.0,95,7,0,0,0,1,-4,-2,-1,1
16,76,76,38,4,64.0,1.0,105,8,9,5,9,6,2,1,1,2
17,80,83,42,11,68.0,2.0,95,8,16,9,4,3,4,2,1,3
18,83,76,38,4,72.0,1.0,105,9,9,5,9,6,-3,-2,-1,2
19,87,76,38,4,76.0,1.0,95,9,9,5,9,6,-3,-2,0,2
20,91,76,38,4,80.0,1.0,105,10,9,5,9,6,-3,-2,0,2
21,95,83,42,11,84.0,2.0,95,10,16,9,4,3,4,2,1,3
22,98,76,38,4,88.0,2.0,105,11,9,5,9,6,-3,-2,-1,2
23,101,79,40,7,92.0,1.0,95,11,12,7,0,1,3,2,1,3
24,105,76,38,4,96.0,1.0,105,12,9,5,9,6,2,1,-1,2
25,109,83,42,11,100.0,2.0,95,12,16,9,4,3,4,2,1,3
26,112,76,38,4,104.0,1.0,105,13,9,5,9,6,-3,-2,-1,2
27,116,79,40,7,108.0,1.0,95,13,12,7,0,1,1,1,1,3
28,122,83,42,11,112.0,1.0,105,14,16,9,4,3,2,1,1,4
29,126,79,40,7,116.0,2.0,95,14,12,7,0,1,1,1,-1,3
30,129,76,38,4,120.0,1.0,105,15,9,5,9,6,2,1,-1,2
31,133,76,38,4,124.0,1.0,95,15,9,5,9,6,-3,-2,0,2
