,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,65,32,5,2.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,69,34,9,6.0,1.0,95,0,4,2,4,3,0,0,1,1
2,9,65,32,5,10.0,1.0,105,1,0,0,0,1,-2,-1,-1,0
3,13,65,32,5,14.0,1.0,95,1,0,0,0,1,-2,-1,0,0
4,17,65,32,5,18.0,1.0,105,2,0,0,0,1,3,2,0,0
5,20,69,34,9,22.0,1.0,95,2,4,2,4,3,0,0,1,1
6,24,65,32,5,26.0,1.0,105,3,0,0,0,1,-2,-1,-1,0
7,28,72,36,0,30.0,2.0,95,3,7,4,7,5,-2,-1,1,1
8,31,65,32,5,34.0,1.0,105,4,0,0,0,1,-4,-2,-1,0
9,34,69,34,9,38.0,1.0,95,4,4,2,4,3,0,0,1,1
10,38,65,32,5,42.0,1.0,105,5,0,0,0,1,-2,-1,-1,0
11,42,65,32,5,46.0,1.0,95,5,0,0,0,1,-2,-1,0,0
12,46,65,32,5,50.0,1.0,105,6,0,0,0,1,3,2,0,0
13,49,74,37,2,54.0,1.0,95,6,9,5,9,6,0,0,1,1
14,53,69,34,9,58.0,1.0,105,7,4,2,4,3,-3,-2,-1,0
15,57,65,32,5,62.0,2.0,95,7,0,0,0,1,-2,-1,-1,-1
16,60,65,32,5,66.0,1.0,105,8,0,0,0,1,1,1,0,-1
17,63,69,34,9,70.0,1.0,95,8,4,2,4,3,0,0,1,0
18,67,65,32,5,74.0,1.0,105,9,0,0,0,1,-2,-1,-1,-1
19,71,65,32,5,78.0,1.0,95,9,0,0,0,1,-2,-1,0,-1
20,75,65,32,5,82.0,1.0,105,10,0,0,0,1,3,2,0,-1
21,78,69,34,9,86.0,1.0,95,10,4,2,4,3,0,0,1,0
22,82,65,32,5,90.0,1.0,105,11,0,0,0,1,-2,-1,-1,-1
23,86,72,36,0,94.0,2.0,95,11,7,4,7,5,-2,-1,1,0
24,89,65,32,5,98.0,1.0,105,12,0,0,0,1,-4,-2,-1,-1
25,92,69,34,9,102.0,1.0,95,12,4,2,4,3,0,0,1,0
26,96,65,32,5,106.0,1.0,105,13,0,0,0,1,-2,-1,-1,-1
27,100,65,32,5,110.0,1.0,95,13,0,0,0,1,-2,-1,0,-1
28,104,65,32,5,114.0,1.0,105,14,0,0,0,1,3,2,0,-1
29,107,74,37,2,118.0,1.0,95,14,9,5,9,6,0,0,1,0
30,111,69,34,9,122.0,1.0,105,15,4,2,4,3,-3,-2,-1,-1
31,115,65,32,5,126.0,2.0,95,15,0,0,0,1,-2,-1,-1,-2
32,118,65,32,5,130.0,1.0,105,16,0,0,0,1,1,1,0,-2
33,121,74,37,2,134.0,1.0,95,16,9,5,9,6,0,0,1,-1
34,125,69,34,9,138.0,1.0,105,17,4,2,4,3,-3,-2,-1,-2
35,129,65,32,5,142.0,1.0,95,17,0,0,0,1,-2,-1,-1,-3
36,133,65,32,5,146.0,1.0,105,18,0,0,0,1,3,2,0,-3
37,136,74,37,2,150.0,1.0,95,18,9,5,9,6,0,0,1,-2
38,140,74,37,2,154.0,1.0,105,19,9,5,9,6,2,1,0,-2
39,144,72,36,0,158.0,1.0,95,19,7,4,7,5,-2,-1,-1,-3
40,148,65,32,5,162.0,1.0,105,20,0,0,0,1,-4,-2,-1,-4
41,151,74,37,2,166.0,1.0,95,20,9,5,9,6,0,0,1,-3
42,155,74,37,2,170.0,1.0,105,21,9,5,9,6,2,1,0,-3
43,159,76,38,4,174.0,1.0,95,21,11,6,11,7,2,1,1,-2
44,163,77,39,5,178.0,4.0,105,22,12,7,0,1,3,2,1,-1
45,164,77,39,5,182.0,1.0,95,22,12,7,0,1,0,0,0,-1
46,168,76,38,4,186.0,1.0,105,23,11,6,11,7,-1,-1,-1,-2
47,172,65,32,5,190.0,2.0,95,23,0,0,0,1,-4,-2,-1,-3
48,175,65,32,5,194.0,1.0,105,24,0,0,0,1,1,1,0,-3
49,178,74,37,2,198.0,1.0,95,24,9,5,9,6,0,0,1,-2
50,182,69,34,9,202.0,1.0,105,25,4,2,4,3,-3,-2,-1,-3
51,186,65,32,5,206.0,1.0,95,25,0,0,0,1,-2,-1,-1,-4
52,190,65,32,5,210.0,1.0,105,26,0,0,0,1,3,2,0,-4
53,193,74,37,2,214.0,1.0,95,26,9,5,9,6,0,0,1,-3
54,197,74,37,2,218.0,1.0,105,27,9,5,9,6,2,1,0,-3
55,201,72,36,0,222.0,1.0,95,27,7,4,7,5,-2,-1,-1,-4
56,205,65,32,5,226.0,1.0,105,28,0,0,0,1,-4,-2,-1,-5
57,208,74,37,2,230.0,1.0,95,28,9,5,9,6,0,0,1,-4
58,212,74,37,2,234.0,1.0,105,29,9,5,9,6,2,1,0,-4
59,216,76,38,4,238.0,1.0,95,29,11,6,11,7,2,1,1,-3
60,220,77,39,5,242.0,4.0,105,30,12,7,0,1,3,2,1,-2
61,221,77,39,5,246.0,1.0,95,30,12,7,0,1,0,0,0,-2
62,225,76,38,4,250.0,1.0,105,31,11,6,11,7,-1,-1,-1,-3
63,229,65,32,5,254.0,2.0,95,31,0,0,0,1,-4,-2,-1,-4
