,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,73,36,1,0.0,1.0,105,0,11,6,11,7,0,0,0,0
1,3,69,34,9,3.0,0.5,95,0,7,4,7,5,0,0,-1,-1
2,6,64,31,4,6.0,1.0,105,1,2,1,2,2,-5,-3,-1,-2
3,9,69,34,9,9.0,2.0,95,1,7,4,7,5,0,0,1,-1
4,11,73,36,1,12.0,2.0,105,2,11,6,11,7,2,1,1,0
5,13,69,34,9,15.0,1.0,95,2,7,4,7,5,-4,-2,-1,-1
6,16,76,38,4,18.0,3.0,105,3,14,8,2,2,7,4,1,0
7,17,76,38,4,21.0,2.0,95,3,14,8,2,2,0,0,0,0
8,19,73,36,1,24.0,1.0,105,4,11,6,11,7,-1,-1,-1,-1
9,22,69,34,9,27.0,0.5,95,4,7,4,7,5,0,0,-1,-2
10,25,64,31,4,30.0,1.0,105,5,2,1,2,2,-5,-3,-1,-3
11,28,69,34,9,33.0,1.0,95,5,7,4,7,5,0,0,1,-2
12,31,74,37,2,36.0,0.5,105,6,12,7,0,1,1,1,1,-1
13,35,67,33,7,39.0,2.0,95,6,5,3,5,4,-7,-4,-1,-2
14,37,74,37,2,42.0,0.5,105,7,12,7,0,1,3,2,1,-1
15,41,76,38,4,45.0,2.0,95,7,14,8,2,2,2,1,1,0
16,43,73,36,1,48.0,1.0,105,8,11,6,11,7,-1,-1,-1,-1
17,46,69,34,9,51.0,2.0,95,8,7,4,7,5,0,0,-1,-2
18,48,64,31,4,54.0,2.0,105,9,2,1,2,2,-5,-3,-1,-3
19,50,69,34,9,57.0,3.0,95,9,7,4,7,5,0,0,1,-2
20,51,73,36,1,60.0,2.0,105,10,11,6,11,7,4,2,1,-1
21,53,69,34,9,63.0,1.0,95,10,7,4,7,5,-4,-2,-1,-2
22,56,76,38,4,66.0,3.0,105,11,14,8,2,2,7,4,1,-1
23,57,76,38,4,69.0,2.0,95,11,14,8,2,2,0,0,0,-1
24,59,73,36,1,72.0,1.0,105,12,11,6,11,7,-1,-1,-1,-2
25,62,69,34,9,75.0,1.0,95,12,7,4,7,5,0,0,-1,-3
26,65,64,31,4,78.0,1.0,105,13,2,1,2,2,-5,-3,-1,-4
27,68,69,34,9,81.0,3.0,95,13,7,4,7,5,0,0,1,-3
28,69,67,33,7,84.0,0.5,105,14,5,3,5,4,-2,-1,-1,-4
29,73,67,33,7,87.0,2.0,95,14,5,3,5,4,0,0,0,-4
30,75,74,37,2,90.0,0.5,105,15,12,7,0,1,3,2,1,-3
31,79,72,36,0,93.0,2.0,95,15,10,6,10,7,-2,-1,-1,-4
32,81,76,38,4,96.0,1.0,95,15,14,8,2,2,2,1,1,-3
33,84,79,40,7,99.0,1.0,105,16,17,10,5,4,3,2,1,-2
34,87,76,38,4,102.0,0.5,95,16,14,8,2,2,-3,-2,-1,-3
35,91,72,36,0,105.0,2.0,105,17,10,6,10,7,-2,-1,-1,-4
36,93,76,38,4,108.0,1.0,95,17,14,8,2,2,2,1,1,-3
37,96,79,40,7,111.0,3.0,105,18,17,10,5,4,3,2,1,-2
38,97,79,40,7,114.0,3.0,95,18,17,10,5,4,0,0,0,-2
39,98,72,36,0,117.0,2.0,105,19,10,6,10,7,-7,-4,-1,-3
40,100,76,38,4,120.0,1.0,95,19,14,8,2,2,2,1,1,-2
41,103,79,40,7,123.0,1.0,105,20,17,10,5,4,3,2,1,-1
42,106,79,40,7,126.0,1.0,95,20,17,10,5,4,0,0,0,-1
43,109,74,37,2,129.0,0.5,105,21,12,7,0,1,-2,-1,-1,-2
44,113,74,37,2,132.0,2.0,95,21,12,7,0,1,0,0,0,-2
45,115,77,39,5,135.0,2.0,105,22,15,9,3,3,1,1,1,-1
46,117,76,38,4,138.0,2.0,95,22,14,8,2,2,-1,-1,-1,-2
47,119,72,36,0,141.0,2.0,105,23,10,6,10,7,-2,-1,-1,-3
48,121,76,38,4,144.0,1.0,95,23,14,8,2,2,2,1,1,-2
49,124,79,40,7,147.0,1.0,105,24,17,10,5,4,3,2,1,-1
50,127,76,38,4,150.0,0.5,95,24,14,8,2,2,-3,-2,-1,-2
51,131,72,36,0,153.0,2.0,105,25,10,6,10,7,-2,-1,-1,-3
52,133,76,38,4,156.0,1.0,95,25,14,8,2,2,2,1,1,-2
53,136,79,40,7,159.0,3.0,105,26,17,10,5,4,3,2,1,-1
54,137,79,40,7,162.0,2.0,95,26,17,10,5,4,0,0,0,-1
55,139,83,42,11,165.0,1.0,105,27,21,12,9,6,2,1,1,0
56,142,81,41,9,168.0,3.0,95,27,19,11,7,5,2,1,-1,-1
57,143,79,40,7,171.0,1.0,105,28,17,10,5,4,-2,-1,-1,-2
58,146,79,40,7,174.0,1.0,95,28,17,10,5,4,0,0,0,-2
59,149,74,37,2,177.0,0.5,105,29,12,7,0,1,-2,-1,-1,-3
60,153,74,37,2,180.0,2.0,95,29,12,7,0,1,0,0,0,-3
61,155,77,39,5,183.0,2.0,105,30,15,9,3,3,1,1,1,-2
