,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,2,1,2,2,0,0,0,0
1,2,71,35,11,3.0,2.0,95,0,4,2,4,3,5,3,1,1
2,4,69,34,9,6.0,2.0,105,1,2,1,2,2,3,2,-1,0
3,6,66,32,6,9.0,1.0,95,1,-1,-1,11,7,-1,-1,-1,-1
4,9,69,34,9,12.0,2.0,105,2,2,1,2,2,7,4,1,0
5,11,71,35,11,15.0,2.0,95,2,4,2,4,3,5,3,1,1
6,13,67,33,7,18.0,1.0,105,3,0,0,0,1,1,1,-1,0
7,16,67,33,7,21.0,1.0,95,3,0,0,0,1,0,0,0,0
8,19,69,34,9,24.0,2.0,105,4,2,1,2,2,7,4,1,1
9,21,71,35,11,27.0,2.0,95,4,4,2,4,3,5,3,1,2
10,23,69,34,9,30.0,2.0,105,5,2,1,2,2,3,2,-1,1
11,25,66,32,6,33.0,1.0,95,5,-1,-1,11,7,-1,-1,-1,0
12,28,67,33,7,36.0,1.0,105,6,0,0,0,1,5,3,1,1
13,31,72,36,0,39.0,1.0,95,6,5,3,5,4,1,1,1,2
14,34,67,33,7,42.0,1.0,105,7,0,0,0,1,1,1,-1,1
15,37,69,34,9,45.0,1.0,95,7,2,1,2,2,2,1,1,2
16,40,69,34,9,48.0,2.0,105,8,2,1,2,2,7,4,0,2
17,42,71,35,11,51.0,2.0,95,8,4,2,4,3,5,3,1,3
18,44,69,34,9,54.0,2.0,105,9,2,1,2,2,3,2,-1,2
19,46,66,32,6,57.0,1.0,95,9,-1,-1,11,7,-1,-1,-1,1
20,49,69,34,9,60.0,2.0,105,10,2,1,2,2,7,4,1,2
21,51,71,35,11,63.0,2.0,95,10,4,2,4,3,5,3,1,3
