,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,73,36,1,1.0,1.0,105,0,11,6,11,7,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,9,5,9,6,2,1,-1,-1
2,7,76,38,4,7.0,1.0,105,1,14,8,2,2,2,1,1,0
3,10,79,40,7,10.0,1.0,95,1,17,10,5,4,-2,-1,1,1
4,13,76,38,4,13.0,1.0,105,2,14,8,2,2,2,1,-1,0
5,16,76,38,4,16.0,1.0,95,2,14,8,2,2,0,0,0,0
6,18,73,36,1,19.0,1.0,105,3,11,6,11,7,-1,-1,-1,-1
7,21,74,37,2,22.0,1.0,95,3,12,7,0,1,1,1,1,0
8,24,73,36,1,25.0,1.0,105,4,11,6,11,7,4,2,-1,-1
9,27,71,35,11,28.0,1.0,95,4,9,5,9,6,2,1,-1,-2
10,30,76,38,4,31.0,1.0,105,5,14,8,2,2,2,1,1,-1
11,33,79,40,7,34.0,1.0,95,5,17,10,5,4,-2,-1,1,0
12,36,73,36,1,37.0,1.0,105,6,11,6,11,7,-1,-1,-1,-1
13,39,74,37,2,40.0,1.0,95,6,12,7,0,1,1,1,1,0
14,42,69,34,9,43.0,2.0,105,7,7,4,7,5,-7,-4,-1,-1
15,45,73,36,1,49.0,1.0,105,8,11,6,11,7,-8,-5,1,0
16,48,71,35,11,52.0,1.0,95,8,9,5,9,6,2,1,-1,-1
17,51,76,38,4,55.0,1.0,105,9,14,8,2,2,2,1,1,0
18,54,79,40,7,58.0,1.0,95,9,17,10,5,4,-2,-1,1,1
19,57,76,38,4,61.0,1.0,105,10,14,8,2,2,2,1,-1,0
20,60,76,38,4,64.0,1.0,95,10,14,8,2,2,0,0,0,0
21,62,73,36,1,67.0,1.0,105,11,11,6,11,7,-1,-1,-1,-1
22,65,74,37,2,70.0,1.0,95,11,12,7,0,1,1,1,1,0
23,68,73,36,1,73.0,1.0,105,12,11,6,11,7,4,2,-1,-1
24,71,71,35,11,76.0,1.0,95,12,9,5,9,6,2,1,-1,-2
25,74,76,38,4,79.0,1.0,105,13,14,8,2,2,2,1,1,-1
26,77,79,40,7,82.0,1.0,95,13,17,10,5,4,-2,-1,1,0
27,80,73,36,1,85.0,1.0,105,14,11,6,11,7,-1,-1,-1,-1
28,83,74,37,2,88.0,1.0,95,14,12,7,0,1,1,1,1,0
29,86,69,34,9,91.0,2.0,105,15,7,4,7,5,-7,-4,-1,-1
30,89,81,41,9,97.0,1.0,95,15,19,11,7,5,5,3,1,0
31,92,81,41,9,100.0,1.0,95,15,19,11,7,5,0,0,0,0
32,94,78,39,6,102.0,1.0,105,16,16,9,4,3,2,1,-1,-1
33,97,76,38,4,105.0,1.0,95,16,14,8,2,2,-2,-1,-1,-2
34,100,76,38,4,108.0,1.0,105,17,14,8,2,2,7,4,0,-2
35,103,76,38,4,111.0,1.0,95,17,14,8,2,2,0,0,0,-2
36,105,73,36,1,114.0,1.0,105,18,11,6,11,7,-1,-1,-1,-3
37,108,74,37,2,117.0,1.0,95,18,12,7,0,1,1,1,1,-2
38,111,81,41,9,120.0,1.0,105,19,19,11,7,5,12,7,1,-1
39,114,81,41,9,123.0,1.0,95,19,19,11,7,5,0,0,0,-1
40,116,78,39,6,126.0,1.0,105,20,16,9,4,3,2,1,-1,-2
41,119,76,38,4,129.0,1.0,95,20,14,8,2,2,-2,-1,-1,-3
42,122,73,36,1,132.0,1.0,105,21,11,6,11,7,4,2,-1,-4
43,125,74,37,2,135.0,1.0,95,21,12,7,0,1,1,1,1,-3
44,128,69,34,9,138.0,3.0,105,22,7,4,7,5,-7,-4,-1,-4
45,129,69,34,9,141.0,3.0,95,22,7,4,7,5,0,0,0,-4
