,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,57,27,9,2.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,6,69,34,9,6.0,2.0,95,0,7,4,7,5,-2,-1,1,1
2,9,57,27,9,10.0,1.0,105,1,-5,-3,7,5,-5,-3,-1,0
3,13,64,31,4,14.0,1.0,95,1,2,1,2,2,2,1,1,1
4,17,57,27,9,18.0,1.0,105,2,-5,-3,7,5,-2,-1,-1,0
5,21,69,34,9,22.0,2.0,95,2,7,4,7,5,-2,-1,1,1
6,24,59,28,11,26.0,1.0,105,3,-3,-2,9,6,-3,-2,-1,0
7,28,64,31,4,30.0,1.0,95,3,2,1,2,2,-2,-1,1,1
8,32,57,27,9,34.0,1.0,105,4,-5,-3,7,5,-2,-1,-1,0
9,36,69,34,9,38.0,2.0,95,4,7,4,7,5,-2,-1,1,1
10,39,57,27,9,42.0,1.0,105,5,-5,-3,7,5,-5,-3,-1,0
11,43,64,31,4,46.0,1.0,95,5,2,1,2,2,2,1,1,1
12,47,57,27,9,50.0,1.0,105,6,-5,-3,7,5,-2,-1,-1,0
13,51,69,34,9,54.0,1.0,95,6,7,4,7,5,-2,-1,1,1
14,55,59,28,11,58.0,1.0,105,7,-3,-2,9,6,-3,-2,-1,0
15,59,64,31,4,62.0,2.0,95,7,2,1,2,2,-2,-1,1,1
16,62,57,27,9,66.0,1.0,105,8,-5,-3,7,5,-19,-11,-1,0
17,66,69,34,9,70.0,2.0,95,8,7,4,7,5,-2,-1,1,1
18,69,57,27,9,74.0,1.0,105,9,-5,-3,7,5,-5,-3,-1,0
19,73,64,31,4,78.0,1.0,95,9,2,1,2,2,2,1,1,1
20,77,57,27,9,82.0,1.0,105,10,-5,-3,7,5,-2,-1,-1,0
21,81,69,34,9,86.0,2.0,95,10,7,4,7,5,-2,-1,1,1
22,84,59,28,11,90.0,1.0,105,11,-3,-2,9,6,-3,-2,-1,0
23,88,64,31,4,94.0,1.0,95,11,2,1,2,2,-2,-1,1,1
24,92,57,27,9,98.0,1.0,105,12,-5,-3,7,5,-2,-1,-1,0
25,96,69,34,9,102.0,2.0,95,12,7,4,7,5,-2,-1,1,1
26,99,57,27,9,106.0,1.0,105,13,-5,-3,7,5,-5,-3,-1,0
27,103,64,31,4,110.0,1.0,95,13,2,1,2,2,2,1,1,1
28,107,57,27,9,114.0,1.0,105,14,-5,-3,7,5,-2,-1,-1,0
29,111,69,34,9,118.0,1.0,95,14,7,4,7,5,-2,-1,1,1
30,115,59,28,11,122.0,1.0,105,15,-3,-2,9,6,-3,-2,-1,0
31,119,64,31,4,126.0,2.0,95,15,2,1,2,2,-2,-1,1,1
32,122,74,37,2,130.0,1.0,105,16,12,7,0,1,-2,-1,1,2
33,128,71,35,11,134.0,1.0,95,16,9,5,9,6,0,0,-1,1
34,132,69,34,9,138.0,1.0,105,17,7,4,7,5,3,2,-1,0
35,136,64,31,4,142.0,1.0,95,17,2,1,2,2,-2,-1,-1,-1
36,140,57,27,9,146.0,1.0,105,18,-5,-3,7,5,-2,-1,-1,-2
37,144,71,35,11,150.0,1.0,95,18,9,5,9,6,2,1,1,-1
38,148,66,32,6,154.0,2.0,105,19,4,2,4,3,4,2,-1,-2
39,151,64,31,4,158.0,2.0,95,19,2,1,2,2,2,1,-1,-3
40,154,74,37,2,162.0,1.0,105,20,12,7,0,1,-2,-1,1,-2
41,160,71,35,11,166.0,1.0,95,20,9,5,9,6,0,0,-1,-3
42,164,69,34,9,170.0,1.0,105,21,7,4,7,5,3,2,-1,-4
43,168,64,31,4,174.0,1.0,95,21,2,1,2,2,-2,-1,-1,-5
44,172,57,27,9,178.0,1.0,105,22,-5,-3,7,5,-2,-1,-1,-6
45,176,71,35,11,182.0,1.0,95,22,9,5,9,6,2,1,1,-5
46,180,64,31,4,186.0,1.0,105,23,2,1,2,2,-2,-1,-1,-6
47,184,62,30,2,190.0,2.0,95,23,0,0,0,1,-4,-2,-1,-7
48,187,74,37,2,194.0,1.0,105,24,12,7,0,1,-2,-1,1,-6
49,193,71,35,11,198.0,1.0,95,24,9,5,9,6,0,0,-1,-7
50,197,69,34,9,202.0,1.0,105,25,7,4,7,5,3,2,-1,-8
51,201,64,31,4,206.0,1.0,95,25,2,1,2,2,-2,-1,-1,-9
52,205,57,27,9,210.0,1.0,105,26,-5,-3,7,5,-2,-1,-1,-10
53,209,71,35,11,214.0,1.0,95,26,9,5,9,6,2,1,1,-9
54,213,66,32,6,218.0,2.0,105,27,4,2,4,3,4,2,-1,-10
55,216,64,31,4,222.0,2.0,95,27,2,1,2,2,2,1,-1,-11
56,219,74,37,2,226.0,1.0,105,28,12,7,0,1,-2,-1,1,-10
57,225,71,35,11,230.0,1.0,95,28,9,5,9,6,0,0,-1,-11
58,229,69,34,9,234.0,1.0,105,29,7,4,7,5,3,2,-1,-12
59,233,64,31,4,238.0,1.0,95,29,2,1,2,2,-2,-1,-1,-13
60,237,57,27,9,242.0,1.0,105,30,-5,-3,7,5,-2,-1,-1,-14
61,241,71,35,11,246.0,1.0,95,30,9,5,9,6,2,1,1,-13
62,245,64,31,4,250.0,1.0,105,31,2,1,2,2,-2,-1,-1,-14
63,249,62,30,2,254.0,2.0,95,31,0,0,0,1,-4,-2,-1,-15
