,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,7,4,7,5,0,0,0,0
1,4,66,32,6,4.0,1.0,95,0,4,2,4,3,2,1,-1,-1
2,8,66,32,6,8.0,2.0,105,1,4,2,4,3,2,1,0,-1
3,11,66,32,6,12.0,1.0,95,1,4,2,4,3,2,1,0,-1
4,15,69,34,9,16.0,1.0,105,2,7,4,7,5,-2,-1,1,0
5,19,66,32,6,20.0,1.0,95,2,4,2,4,3,2,1,-1,-1
6,23,66,32,6,24.0,1.0,105,3,4,2,4,3,2,1,0,-1
7,27,66,32,6,28.0,1.0,95,3,4,2,4,3,-3,-2,0,-1
8,30,66,32,6,32.0,3.0,105,4,4,2,4,3,2,1,0,-1
9,32,66,32,6,36.0,1.0,95,4,4,2,4,3,2,1,0,-1
10,36,66,32,6,40.0,2.0,105,5,4,2,4,3,2,1,0,-1
11,39,66,32,6,44.0,1.0,95,5,4,2,4,3,2,1,0,-1
12,43,69,34,9,48.0,1.0,105,6,7,4,7,5,-2,-1,1,0
13,47,66,32,6,52.0,1.0,95,6,4,2,4,3,2,1,-1,-1
14,51,66,32,6,56.0,2.0,105,7,4,2,4,3,2,1,0,-1
15,54,66,32,6,60.0,1.0,95,7,4,2,4,3,-1,-1,0,-1
16,57,69,34,9,64.0,3.0,105,8,7,4,7,5,7,4,1,0
17,59,69,34,9,68.0,1.0,95,8,7,4,7,5,-2,-1,0,0
18,62,69,34,9,72.0,1.0,105,9,7,4,7,5,3,2,0,0
19,66,78,39,6,76.0,1.0,95,9,16,9,4,3,2,1,1,1
20,70,78,39,6,80.0,1.0,105,10,16,9,4,3,-3,-2,0,1
21,74,71,35,11,84.0,1.0,95,10,9,5,9,6,-2,-1,-1,0
22,78,69,34,9,88.0,1.0,105,11,7,4,7,5,-2,-1,-1,-1
23,82,78,39,6,92.0,1.0,95,11,16,9,4,3,2,1,1,0
24,86,69,34,9,96.0,2.0,105,12,7,4,7,5,-2,-1,-1,-1
25,89,69,34,9,100.0,1.0,95,12,7,4,7,5,-2,-1,0,-1
26,92,69,34,9,104.0,1.0,105,13,7,4,7,5,3,2,0,-1
27,96,78,39,6,108.0,1.0,95,13,16,9,4,3,2,1,1,0
28,99,78,39,6,112.0,1.0,105,14,16,9,4,3,2,1,0,0
29,103,71,35,11,116.0,1.0,95,14,9,5,9,6,-2,-1,-1,-1
30,107,69,34,9,120.0,1.0,105,15,7,4,7,5,-2,-1,-1,-2
31,111,78,39,6,124.0,1.0,95,15,16,9,4,3,2,1,1,-1
