,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,1.0,0.5,105,0,7,4,7,5,0,0,0,0
1,6,69,34,9,3.0,1.0,105,1,7,4,7,5,3,2,0,0
2,9,67,33,7,5.0,0.5,105,2,5,3,5,4,1,1,-1,-1
3,13,76,38,4,7.0,0.5,105,3,14,8,2,2,3,2,1,0
4,17,69,34,9,9.0,0.5,105,4,7,4,7,5,-2,-1,-1,-1
5,21,69,34,9,11.0,1.0,105,5,7,4,7,5,3,2,0,-1
6,24,67,33,7,13.0,0.5,105,6,5,3,5,4,1,1,-1,-2
7,28,74,37,2,15.0,1.0,105,7,12,7,0,1,1,1,1,-1
8,31,69,34,9,17.0,0.5,105,8,7,4,7,5,-2,-1,-1,-2
9,35,69,34,9,19.0,1.0,105,9,7,4,7,5,3,2,0,-2
10,38,67,33,7,21.0,0.5,105,10,5,3,5,4,1,1,-1,-3
11,42,76,38,4,23.0,0.5,105,11,14,8,2,2,3,2,1,-2
12,46,69,34,9,25.0,0.5,105,12,7,4,7,5,-2,-1,-1,-3
13,50,69,34,9,27.0,1.0,105,13,7,4,7,5,3,2,0,-3
14,53,67,33,7,29.0,0.5,105,14,5,3,5,4,1,1,-1,-4
15,57,74,37,2,31.0,1.0,105,15,12,7,0,1,1,1,1,-3
16,60,78,39,6,33.0,0.5,105,16,16,9,4,3,2,1,1,-2
17,64,74,37,2,35.0,0.5,105,17,12,7,0,1,1,1,-1,-3
18,68,71,35,11,37.0,0.5,105,18,9,5,9,6,2,1,-1,-4
19,72,73,36,1,39.0,0.5,105,19,11,6,11,7,-1,-1,1,-3
20,76,78,39,6,41.0,1.0,105,20,16,9,4,3,9,5,1,-2
21,78,74,37,2,43.0,0.5,105,21,12,7,0,1,-2,-1,-1,-3
22,82,71,35,11,45.0,0.5,105,22,9,5,9,6,2,1,-1,-4
23,86,74,37,2,47.0,1.0,105,23,12,7,0,1,1,1,1,-3
24,89,78,39,6,49.0,0.5,105,24,16,9,4,3,2,1,1,-2
25,93,74,37,2,51.0,0.5,105,25,12,7,0,1,1,1,-1,-3
26,97,71,35,11,53.0,0.5,105,26,9,5,9,6,2,1,-1,-4
27,101,73,36,1,55.0,0.5,105,27,11,6,11,7,-1,-1,1,-3
28,105,78,39,6,57.0,1.0,105,28,16,9,4,3,9,5,1,-2
29,107,74,37,2,59.0,0.5,105,29,12,7,0,1,-2,-1,-1,-3
30,111,71,35,11,61.0,0.5,105,30,9,5,9,6,2,1,-1,-4
31,115,74,37,2,63.0,1.0,105,31,12,7,0,1,1,1,1,-3
