,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,2.0,105,0,12,7,0,1,0,0,0,0
1,3,73,36,1,4.0,1.0,95,0,11,6,11,7,-1,-1,-1,-1
2,7,69,34,9,8.0,1.0,105,1,7,4,7,5,5,3,-1,-2
3,13,69,34,9,12.0,1.0,95,1,7,4,7,5,2,1,0,-2
4,18,74,37,2,16.0,2.0,105,2,12,7,0,1,5,3,1,-1
5,21,74,37,2,20.0,1.0,95,2,12,7,0,1,0,0,0,-1
6,25,62,30,2,24.0,1.0,105,3,0,0,0,1,-4,-2,-1,-2
7,29,69,34,9,28.0,0.5,95,3,7,4,7,5,3,2,1,-1
8,33,67,33,7,32.0,1.0,105,4,5,3,5,4,1,1,-1,-2
9,37,62,30,2,36.0,1.0,95,4,0,0,0,1,-7,-4,-1,-3
10,41,69,34,9,40.0,0.67,105,5,7,4,7,5,2,1,1,-2
11,46,74,37,2,44.0,1.0,95,5,12,7,0,1,1,1,1,-1
12,50,81,41,9,48.0,2.0,105,6,19,11,7,5,2,1,1,0
13,53,78,39,6,52.0,1.0,95,6,16,9,4,3,2,1,-1,-1
14,57,78,39,6,56.0,1.0,105,7,16,9,4,3,4,2,0,-1
15,61,67,33,7,60.0,0.67,95,7,5,3,5,4,1,1,-1,-2
16,66,74,37,2,64.0,2.0,105,8,12,7,0,1,-2,-1,1,-1
17,69,73,36,1,68.0,1.0,95,8,11,6,11,7,-1,-1,-1,-2
18,73,69,34,9,72.0,1.0,105,9,7,4,7,5,5,3,-1,-3
19,79,69,34,9,76.0,1.0,95,9,7,4,7,5,2,1,0,-3
20,84,74,37,2,80.0,2.0,105,10,12,7,0,1,5,3,1,-2
21,87,74,37,2,84.0,1.0,95,10,12,7,0,1,0,0,0,-2
22,91,62,30,2,88.0,1.0,105,11,0,0,0,1,-4,-2,-1,-3
23,95,69,34,9,92.0,0.5,95,11,7,4,7,5,3,2,1,-2
24,99,67,33,7,96.0,1.0,105,12,5,3,5,4,1,1,-1,-3
25,103,62,30,2,100.0,1.0,95,12,0,0,0,1,-7,-4,-1,-4
26,107,69,34,9,104.0,0.67,105,13,7,4,7,5,2,1,1,-3
27,112,74,37,2,108.0,1.0,95,13,12,7,0,1,1,1,1,-2
28,116,81,41,9,112.0,2.0,105,14,19,11,7,5,2,1,1,-1
29,119,78,39,6,116.0,1.0,95,14,16,9,4,3,2,1,-1,-2
30,123,78,39,6,120.0,1.0,105,15,16,9,4,3,4,2,0,-2
31,127,67,33,7,124.0,0.67,95,15,5,3,5,4,1,1,-1,-3
32,132,74,37,2,128.0,2.0,105,16,12,7,0,1,-5,-3,1,-2
33,135,73,36,1,132.0,1.0,95,16,11,6,11,7,-1,-1,-1,-3
34,139,69,34,9,136.0,1.0,105,17,7,4,7,5,5,3,-1,-4
35,145,69,34,9,140.0,1.0,95,17,7,4,7,5,2,1,0,-4
36,150,74,37,2,144.0,2.0,105,18,12,7,0,1,5,3,1,-3
37,153,74,37,2,148.0,1.0,95,18,12,7,0,1,0,0,0,-3
38,157,62,30,2,152.0,1.0,105,19,0,0,0,1,-4,-2,-1,-4
39,161,69,34,9,156.0,0.5,95,19,7,4,7,5,3,2,1,-3
40,165,67,33,7,160.0,1.0,105,20,5,3,5,4,1,1,-1,-4
41,169,62,30,2,164.0,1.0,95,20,0,0,0,1,-7,-4,-1,-5
42,173,69,34,9,168.0,0.67,105,21,7,4,7,5,2,1,1,-4
43,178,74,37,2,172.0,1.0,95,21,12,7,0,1,1,1,1,-3
44,182,81,41,9,176.0,2.0,105,22,19,11,7,5,2,1,1,-2
45,185,78,39,6,180.0,1.0,95,22,16,9,4,3,2,1,-1,-3
46,189,81,41,9,184.0,1.0,105,23,19,11,7,5,7,4,1,-2
47,195,81,41,9,188.0,1.0,95,23,19,11,7,5,-2,-1,0,-2
48,199,81,41,9,192.0,2.0,105,24,19,11,7,5,2,1,0,-2
49,202,79,40,7,196.0,0.67,95,24,17,10,5,4,1,1,-1,-3
50,207,81,41,9,200.0,1.0,105,25,19,11,7,5,2,1,1,-2
51,211,81,41,9,204.0,1.0,95,25,19,11,7,5,7,4,0,-2
52,215,74,37,2,208.0,1.0,105,26,12,7,0,1,-2,-1,-1,-3
53,219,81,41,9,212.0,0.5,95,26,19,11,7,5,7,4,1,-2
54,223,81,41,9,216.0,1.0,105,27,19,11,7,5,2,1,0,-2
55,229,78,39,6,220.0,0.67,95,27,16,9,4,3,-1,-1,-1,-3
56,234,73,36,1,224.0,1.0,105,28,11,6,11,7,-1,-1,-1,-4
57,238,78,39,6,228.0,1.0,95,28,16,9,4,3,9,5,1,-3
58,244,81,41,9,232.0,2.0,105,29,19,11,7,5,2,1,1,-2
59,247,78,39,6,236.0,1.0,95,29,16,9,4,3,2,1,-1,-3
60,251,78,39,6,240.0,1.0,105,30,16,9,4,3,4,2,0,-3
61,255,67,33,7,244.0,0.67,95,30,5,3,5,4,1,1,-1,-4
62,260,81,41,9,248.0,1.0,105,31,19,11,7,5,2,1,1,-3
63,266,81,41,9,252.0,1.0,95,31,19,11,7,5,-2,-1,0,-3
64,270,81,41,9,256.0,2.0,105,32,19,11,7,5,2,1,0,-3
65,273,79,40,7,260.0,0.67,95,32,17,10,5,4,1,1,-1,-4
66,278,81,41,9,264.0,1.0,105,33,19,11,7,5,2,1,1,-3
67,282,81,41,9,268.0,1.0,95,33,19,11,7,5,7,4,0,-3
68,286,74,37,2,272.0,1.0,105,34,12,7,0,1,-2,-1,-1,-4
69,290,81,41,9,276.0,0.5,95,34,19,11,7,5,7,4,1,-3
70,294,81,41,9,280.0,1.0,105,35,19,11,7,5,2,1,0,-3
71,300,78,39,6,284.0,0.67,95,35,16,9,4,3,-1,-1,-1,-4
72,305,73,36,1,288.0,1.0,105,36,11,6,11,7,-1,-1,-1,-5
73,309,78,39,6,292.0,1.0,95,36,16,9,4,3,9,5,1,-4
74,315,81,41,9,296.0,2.0,105,37,19,11,7,5,2,1,1,-3
75,318,78,39,6,300.0,1.0,95,37,16,9,4,3,2,1,-1,-4
76,322,78,39,6,304.0,1.0,105,38,16,9,4,3,4,2,0,-4
77,326,67,33,7,308.0,0.67,95,38,5,3,5,4,1,1,-1,-5
78,331,81,41,9,312.0,1.0,105,39,19,11,7,5,5,3,1,-4
79,337,81,41,9,316.0,1.0,95,39,19,11,7,5,-2,-1,0,-4
80,341,81,41,9,320.0,2.0,105,40,19,11,7,5,2,1,0,-4
81,344,79,40,7,324.0,0.67,95,40,17,10,5,4,1,1,-1,-5
82,349,81,41,9,328.0,1.0,105,41,19,11,7,5,2,1,1,-4
83,353,81,41,9,332.0,1.0,95,41,19,11,7,5,7,4,0,-4
84,357,74,37,2,336.0,1.0,105,42,12,7,0,1,-2,-1,-1,-5
85,361,81,41,9,340.0,0.5,95,42,19,11,7,5,7,4,1,-4
86,365,81,41,9,344.0,1.0,105,43,19,11,7,5,2,1,0,-4
87,371,78,39,6,348.0,0.67,95,43,16,9,4,3,-1,-1,-1,-5
88,376,73,36,1,352.0,1.0,105,44,11,6,11,7,-1,-1,-1,-6
89,380,78,39,6,356.0,1.0,95,44,16,9,4,3,9,5,1,-5
90,386,81,41,9,360.0,2.0,105,45,19,11,7,5,2,1,1,-4
91,389,78,39,6,364.0,1.0,95,45,16,9,4,3,2,1,-1,-5
