,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,69,34,9,4.0,1.0,95,0,2,1,2,2,2,1,1,1
2,7,74,37,2,8.0,2.0,105,1,7,4,7,5,-2,-1,1,2
3,10,72,36,0,12.0,1.0,95,1,5,3,5,4,5,3,-1,1
4,14,69,34,9,16.0,2.0,105,2,2,1,2,2,2,1,-1,0
5,17,72,36,0,20.0,1.0,95,2,5,3,5,4,3,2,1,1
6,21,76,38,4,24.0,2.0,105,3,9,5,9,6,7,4,1,2
7,24,74,37,2,28.0,1.0,95,3,7,4,7,5,5,3,-1,1
8,28,71,35,11,32.0,1.0,105,4,4,2,4,3,2,1,-1,0
9,32,79,40,7,36.0,1.0,95,4,12,7,0,1,1,1,1,1
10,36,72,36,0,40.0,2.0,105,5,5,3,5,4,-2,-1,-1,0
11,39,72,36,0,44.0,1.0,95,5,5,3,5,4,1,1,0,0
12,43,81,41,9,48.0,1.0,105,6,14,8,2,2,2,1,1,1
13,47,74,37,2,52.0,2.0,95,6,7,4,7,5,2,1,-1,0
14,50,81,41,9,56.0,1.0,105,7,14,8,2,2,2,1,1,1
15,54,79,40,7,60.0,2.0,95,7,12,7,0,1,1,1,-1,0
16,57,67,33,7,64.0,2.0,105,8,0,0,0,1,-2,-1,-1,-1
17,60,69,34,9,68.0,1.0,95,8,2,1,2,2,2,1,1,0
18,64,74,37,2,72.0,2.0,105,9,7,4,7,5,-2,-1,1,1
19,67,72,36,0,76.0,1.0,95,9,5,3,5,4,5,3,-1,0
20,71,69,34,9,80.0,2.0,105,10,2,1,2,2,2,1,-1,-1
21,74,72,36,0,84.0,1.0,95,10,5,3,5,4,3,2,1,0
22,78,76,38,4,88.0,2.0,105,11,9,5,9,6,7,4,1,1
23,81,74,37,2,92.0,1.0,95,11,7,4,7,5,5,3,-1,0
24,85,71,35,11,96.0,1.0,105,12,4,2,4,3,2,1,-1,-1
25,89,79,40,7,100.0,1.0,95,12,12,7,0,1,1,1,1,0
26,93,72,36,0,104.0,2.0,105,13,5,3,5,4,-2,-1,-1,-1
27,96,72,36,0,108.0,1.0,95,13,5,3,5,4,1,1,0,-1
28,100,81,41,9,112.0,1.0,105,14,14,8,2,2,2,1,1,0
29,104,74,37,2,116.0,2.0,95,14,7,4,7,5,2,1,-1,-1
30,107,81,41,9,120.0,1.0,105,15,14,8,2,2,2,1,1,0
31,111,79,40,7,124.0,2.0,95,15,12,7,0,1,1,1,-1,-1
32,114,72,36,0,128.0,1.0,105,16,5,3,5,4,1,1,-1,-2
33,118,81,41,9,132.0,2.0,95,16,14,8,2,2,1,1,1,-1
34,121,74,37,2,136.0,1.0,105,17,7,4,7,5,2,1,-1,-2
35,125,69,34,9,140.0,2.0,95,17,2,1,2,2,1,1,-1,-3
36,128,71,35,11,144.0,1.0,105,18,4,2,4,3,2,1,1,-2
37,132,79,40,7,148.0,2.0,95,18,12,7,0,1,1,1,1,-1
38,135,72,36,0,152.0,1.0,105,19,5,3,5,4,1,1,-1,-2
39,139,67,33,7,156.0,2.0,95,19,0,0,0,1,1,1,-1,-3
40,142,72,36,0,160.0,1.0,105,20,5,3,5,4,1,1,1,-2
41,146,81,41,9,164.0,2.0,95,20,14,8,2,2,1,1,1,-1
42,149,74,37,2,168.0,1.0,105,21,7,4,7,5,2,1,-1,-2
43,153,69,34,9,172.0,2.0,95,21,2,1,2,2,1,1,-1,-3
44,156,71,35,11,176.0,1.0,105,22,4,2,4,3,2,1,1,-2
45,160,76,38,4,180.0,2.0,95,22,9,5,9,6,-2,-1,1,-1
46,163,76,38,4,184.0,1.0,105,23,9,5,9,6,4,2,0,-1
47,167,69,34,9,188.0,1.0,95,23,2,1,2,2,1,1,-1,-2
48,171,72,36,0,192.0,1.0,105,24,5,3,5,4,1,1,1,-1
49,175,81,41,9,196.0,2.0,95,24,14,8,2,2,1,1,1,0
50,178,74,37,2,200.0,1.0,105,25,7,4,7,5,2,1,-1,-1
51,182,69,34,9,204.0,2.0,95,25,2,1,2,2,1,1,-1,-2
52,185,71,35,11,208.0,1.0,105,26,4,2,4,3,2,1,1,-1
53,189,79,40,7,212.0,2.0,95,26,12,7,0,1,1,1,1,0
54,192,72,36,0,216.0,1.0,105,27,5,3,5,4,1,1,-1,-1
55,196,67,33,7,220.0,2.0,95,27,0,0,0,1,1,1,-1,-2
56,199,72,36,0,224.0,1.0,105,28,5,3,5,4,1,1,1,-1
57,203,81,41,9,228.0,2.0,95,28,14,8,2,2,1,1,1,0
58,206,74,37,2,232.0,1.0,105,29,7,4,7,5,2,1,-1,-1
59,210,69,34,9,236.0,2.0,95,29,2,1,2,2,1,1,-1,-2
60,213,71,35,11,240.0,1.0,105,30,4,2,4,3,2,1,1,-1
61,217,83,42,11,244.0,1.0,95,30,16,9,4,3,5,3,1,0
62,219,79,40,7,246.0,1.0,105,31,12,7,0,1,-2,-1,-1,-1
63,223,69,34,9,250.0,4.0,95,31,2,1,2,2,1,1,-1,-2
