,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,79,40,7,4.0,1.0,95,0,12,7,0,1,5,3,1,1
2,8,71,35,11,7.0,1.0,95,0,4,2,4,3,-1,-1,-1,0
3,11,71,35,11,10.0,1.0,105,1,4,2,4,3,4,2,0,0
4,15,72,36,0,13.0,1.0,95,1,5,3,5,4,1,1,1,1
5,18,69,34,9,16.0,1.0,95,1,2,1,2,2,0,0,-1,0
6,21,67,33,7,19.0,1.0,105,2,0,0,0,1,5,3,-1,-1
7,25,79,40,7,22.0,1.0,95,2,12,7,0,1,5,3,1,0
8,28,71,35,11,25.0,1.0,95,2,4,2,4,3,-1,-1,-1,-1
9,31,71,35,11,28.0,1.0,105,3,4,2,4,3,4,2,0,-1
10,35,72,36,0,31.0,1.0,95,3,5,3,5,4,1,1,1,0
11,38,67,33,7,34.0,2.0,95,3,0,0,0,1,1,1,-1,-1
12,40,67,33,7,37.0,1.0,105,4,0,0,0,1,5,3,0,-1
13,44,79,40,7,40.0,1.0,95,4,12,7,0,1,5,3,1,0
14,47,71,35,11,43.0,1.0,95,4,4,2,4,3,-1,-1,-1,-1
15,50,71,35,11,46.0,1.0,105,5,4,2,4,3,4,2,0,-1
16,54,72,36,0,49.0,1.0,95,5,5,3,5,4,1,1,1,0
17,57,69,34,9,52.0,1.0,95,5,2,1,2,2,0,0,-1,-1
18,60,67,33,7,55.0,1.0,105,6,0,0,0,1,5,3,-1,-2
19,64,79,40,7,58.0,1.0,95,6,12,7,0,1,5,3,1,-1
20,67,71,35,11,61.0,1.0,95,6,4,2,4,3,-1,-1,-1,-2
21,70,71,35,11,64.0,1.0,105,7,4,2,4,3,4,2,0,-2
22,74,72,36,0,67.0,1.0,95,7,5,3,5,4,1,1,1,-1
23,77,67,33,7,70.0,2.0,95,7,0,0,0,1,1,1,-1,-2
24,79,79,40,7,73.0,3.0,105,8,12,7,0,1,1,1,1,-1
25,80,76,38,4,76.0,1.0,95,8,9,5,9,6,-3,-2,-1,-2
26,83,78,39,6,79.0,1.0,95,8,11,6,11,7,-1,-1,1,-1
27,86,79,40,7,82.0,3.0,105,9,12,7,0,1,5,3,1,0
28,87,76,38,4,85.0,1.0,95,9,9,5,9,6,-3,-2,-1,-1
29,90,81,41,9,88.0,2.0,95,9,14,8,2,2,2,1,1,0
30,92,79,40,7,91.0,3.0,105,10,12,7,0,1,1,1,-1,-1
31,93,83,42,11,94.0,1.0,95,10,16,9,4,3,4,2,1,0
32,96,78,39,6,97.0,1.0,95,10,11,6,11,7,-1,-1,-1,-1
33,99,76,38,4,100.0,1.0,105,11,9,5,9,6,2,1,-1,-2
34,102,81,41,9,103.0,1.0,95,11,14,8,2,2,2,1,1,-1
35,105,79,40,7,106.0,2.0,95,11,12,7,0,1,5,3,-1,-2
36,107,79,40,7,109.0,3.0,105,12,12,7,0,1,5,3,0,-2
37,108,76,38,4,112.0,1.0,95,12,9,5,9,6,-3,-2,-1,-3
38,111,78,39,6,115.0,1.0,95,12,11,6,11,7,-1,-1,1,-2
39,114,79,40,7,118.0,3.0,105,13,12,7,0,1,5,3,1,-1
40,115,76,38,4,121.0,1.0,95,13,9,5,9,6,-3,-2,-1,-2
41,118,81,41,9,124.0,3.0,95,13,14,8,2,2,2,1,1,-1
42,119,83,42,11,127.0,1.0,105,14,16,9,4,3,2,1,1,0
43,122,81,41,9,130.0,1.0,95,14,14,8,2,2,2,1,-1,-1
44,125,79,40,7,133.0,1.0,95,14,12,7,0,1,1,1,-1,-2
45,128,76,38,4,136.0,1.0,105,15,9,5,9,6,2,1,-1,-3
46,131,81,41,9,139.0,1.0,95,15,14,8,2,2,2,1,1,-2
47,134,79,40,7,142.0,2.0,95,15,12,7,0,1,5,3,-1,-3
