,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,4,66,32,6,6.0,2.0,95,0,4,2,4,3,-8,-5,-1,-1
2,6,69,34,9,10.0,1.5,105,1,7,4,7,5,-5,-3,1,0
3,10,78,39,6,14.0,2.0,95,1,16,9,4,3,4,2,1,1
4,14,79,40,7,18.0,3.0,105,2,17,10,5,4,-2,-1,1,2
5,16,73,36,1,22.0,1.5,95,2,11,6,11,7,-3,-2,-1,1
6,20,74,37,2,26.0,1.5,105,3,12,7,0,1,1,1,1,2
7,24,69,34,9,30.0,2.0,95,3,7,4,7,5,-2,-1,-1,1
8,27,69,34,9,34.0,2.0,105,4,7,4,7,5,2,1,0,1
9,29,66,32,6,38.0,2.0,95,4,4,2,4,3,-8,-5,-1,0
10,31,69,34,9,42.0,1.5,105,5,7,4,7,5,-5,-3,1,1
11,35,78,39,6,46.0,2.0,95,5,16,9,4,3,4,2,1,2
12,39,79,40,7,50.0,3.0,105,6,17,10,5,4,-2,-1,1,3
13,41,73,36,1,54.0,1.5,95,6,11,6,11,7,-3,-2,-1,2
14,45,74,37,2,58.0,2.0,105,7,12,7,0,1,1,1,1,3
15,48,74,37,2,62.0,2.0,95,7,12,7,0,1,1,1,0,3
16,51,69,34,9,66.0,2.0,105,8,7,4,7,5,2,1,-1,2
17,53,66,32,6,70.0,2.0,95,8,4,2,4,3,-8,-5,-1,1
18,55,69,34,9,74.0,1.5,105,9,7,4,7,5,-5,-3,1,2
19,59,78,39,6,78.0,2.0,95,9,16,9,4,3,4,2,1,3
20,63,79,40,7,82.0,3.0,105,10,17,10,5,4,-2,-1,1,4
21,65,73,36,1,86.0,1.5,95,10,11,6,11,7,-3,-2,-1,3
22,69,74,37,2,90.0,1.5,105,11,12,7,0,1,1,1,1,4
23,73,69,34,9,94.0,2.0,95,11,7,4,7,5,-2,-1,-1,3
24,76,69,34,9,98.0,2.0,105,12,7,4,7,5,2,1,0,3
25,78,66,32,6,102.0,2.0,95,12,4,2,4,3,-8,-5,-1,2
26,80,69,34,9,106.0,1.5,105,13,7,4,7,5,-5,-3,1,3
27,84,78,39,6,110.0,2.0,95,13,16,9,4,3,4,2,1,4
28,88,79,40,7,114.0,3.0,105,14,17,10,5,4,-2,-1,1,5
29,90,73,36,1,118.0,1.5,95,14,11,6,11,7,-3,-2,-1,4
30,94,74,37,2,122.0,2.0,105,15,12,7,0,1,1,1,1,5
31,97,74,37,2,126.0,2.0,95,15,12,7,0,1,1,1,0,5
32,100,81,41,9,130.0,2.0,105,16,19,11,7,5,2,1,1,6
33,103,78,39,6,134.0,1.5,95,16,16,9,4,3,-1,-1,-1,5
34,107,79,40,7,138.0,2.0,105,17,17,10,5,4,-2,-1,1,6
35,110,73,36,1,142.0,1.5,95,17,11,6,11,7,-3,-2,-1,5
36,114,74,37,2,146.0,1.5,105,18,12,7,0,1,-2,-1,1,6
37,118,78,39,6,150.0,1.5,95,18,16,9,4,3,2,1,1,7
38,122,79,40,7,154.0,1.5,105,19,17,10,5,4,-2,-1,1,8
39,126,81,41,9,158.0,2.0,95,19,19,11,7,5,-2,-1,1,9
40,129,81,41,9,162.0,2.0,105,20,19,11,7,5,2,1,0,9
41,132,78,39,6,166.0,1.5,95,20,16,9,4,3,-1,-1,-1,8
42,136,79,40,7,170.0,2.0,105,21,17,10,5,4,-2,-1,1,9
43,139,73,36,1,174.0,1.5,95,21,11,6,11,7,-3,-2,-1,8
44,143,74,37,2,178.0,1.5,105,22,12,7,0,1,-2,-1,1,9
45,147,76,38,4,182.0,0.5,95,22,14,8,2,2,-2,-1,1,10
46,151,74,37,2,186.0,2.0,105,23,12,7,0,1,-2,-1,-1,9
47,154,74,37,2,190.0,2.0,95,23,12,7,0,1,1,1,0,9
48,157,81,41,9,194.0,2.0,105,24,19,11,7,5,2,1,1,10
49,160,78,39,6,198.0,1.5,95,24,16,9,4,3,-1,-1,-1,9
50,164,79,40,7,202.0,2.0,105,25,17,10,5,4,-2,-1,1,10
51,167,73,36,1,206.0,1.5,95,25,11,6,11,7,-3,-2,-1,9
52,171,74,37,2,210.0,1.5,105,26,12,7,0,1,-2,-1,1,10
53,175,78,39,6,214.0,1.5,95,26,16,9,4,3,2,1,1,11
54,179,79,40,7,218.0,1.5,105,27,17,10,5,4,-2,-1,1,12
55,183,81,41,9,222.0,2.0,95,27,19,11,7,5,-2,-1,1,13
56,186,81,41,9,226.0,0.5,105,28,19,11,7,5,2,1,0,13
57,191,78,39,6,230.0,1.5,95,28,16,9,4,3,2,1,-1,12
58,195,74,37,2,234.0,1.5,105,29,12,7,0,1,1,1,-1,11
59,199,62,30,2,238.0,1.5,95,29,0,0,0,1,-4,-2,-1,10
60,203,71,35,11,242.0,1.5,105,30,9,5,9,6,-3,-2,1,11
61,207,73,36,1,246.0,1.5,95,30,11,6,11,7,-1,-1,1,12
62,211,74,37,2,250.0,2.0,105,31,12,7,0,1,-2,-1,1,13
63,214,74,37,2,254.0,2.0,95,31,12,7,0,1,1,1,0,13
