,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.5,105,0,-5,-3,7,5,0,0,0,0
1,4,67,33,7,6.0,1.5,105,1,0,0,0,1,-4,-2,1,1
2,8,59,28,11,12.0,1.5,105,2,-8,-5,4,3,-3,-2,-1,0
3,12,60,29,0,18.0,1.5,105,3,-7,-4,5,4,-4,-2,1,1
4,16,62,30,2,24.0,1.5,105,4,-5,-3,7,5,0,0,1,2
5,20,67,33,7,30.0,1.5,105,5,0,0,0,1,-4,-2,1,3
6,24,59,28,11,36.0,1.5,105,6,-8,-5,4,3,-3,-2,-1,2
7,28,62,30,2,42.0,2.0,105,7,-5,-3,7,5,-4,-2,1,3
8,30,62,30,2,48.0,1.5,105,8,-5,-3,7,5,-5,-3,0,3
9,34,67,33,7,54.0,1.5,105,9,0,0,0,1,-4,-2,1,4
10,38,59,28,11,60.0,1.5,105,10,-8,-5,4,3,-3,-2,-1,3
11,42,60,29,0,66.0,1.5,105,11,-7,-4,5,4,-4,-2,1,4
12,46,62,30,2,72.0,1.5,105,12,-5,-3,7,5,0,0,1,5
13,50,67,33,7,78.0,1.5,105,13,0,0,0,1,-4,-2,1,6
14,54,59,28,11,84.0,1.5,105,14,-8,-5,4,3,-3,-2,-1,5
15,58,62,30,2,90.0,2.0,105,15,-5,-3,7,5,-4,-2,1,6
16,60,67,33,7,96.0,1.5,105,16,0,0,0,1,0,0,1,7
17,65,74,37,2,102.0,1.5,105,17,7,4,7,5,2,1,1,8
18,69,62,30,2,108.0,1.5,105,18,-5,-3,7,5,-10,-6,-1,7
19,74,72,36,0,114.0,1.5,105,19,5,3,5,4,1,1,1,8
20,78,67,33,7,120.0,1.5,105,20,0,0,0,1,-4,-2,-1,7
21,83,74,37,2,126.0,1.5,105,21,7,4,7,5,2,1,1,8
22,87,62,30,2,132.0,1.5,105,22,-5,-3,7,5,-10,-6,-1,7
23,92,71,35,11,138.0,1.5,105,23,4,2,4,3,11,6,1,8
24,95,67,33,7,144.0,1.5,105,24,0,0,0,1,0,0,-1,7
25,100,74,37,2,150.0,1.5,105,25,7,4,7,5,2,1,1,8
26,104,62,30,2,156.0,1.5,105,26,-5,-3,7,5,-10,-6,-1,7
27,109,72,36,0,162.0,1.5,105,27,5,3,5,4,1,1,1,8
28,113,67,33,7,168.0,1.5,105,28,0,0,0,1,-4,-2,-1,7
29,118,74,37,2,174.0,1.5,105,29,7,4,7,5,2,1,1,8
30,122,62,30,2,180.0,1.5,105,30,-5,-3,7,5,-10,-6,-1,7
31,127,71,35,11,186.0,1.5,105,31,4,2,4,3,11,6,1,8
