,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,9,71,35,11,12.0,2.0,95,0,2,1,2,2,-3,-2,1,1
2,12,69,34,9,16.0,2.0,105,1,0,0,0,1,2,1,-1,0
3,15,74,37,2,20.0,1.0,95,1,5,3,5,4,5,3,1,1
4,18,71,35,11,24.0,1.0,105,2,2,1,2,2,2,1,-1,0
5,22,67,33,7,28.0,1.0,95,2,-2,-1,10,7,3,2,-1,-1
6,26,71,35,11,32.0,0.5,105,3,2,1,2,2,4,2,1,0
7,36,71,35,11,44.0,2.0,95,3,2,1,2,2,-3,-2,0,0
8,39,69,34,9,48.0,2.0,105,4,0,0,0,1,2,1,-1,-1
9,42,74,37,2,52.0,1.0,95,4,5,3,5,4,5,3,1,0
10,45,76,38,4,56.0,1.0,105,5,7,4,7,5,-3,-2,1,1
11,50,69,34,9,60.0,2.0,95,5,0,0,0,1,2,1,-1,0
12,51,69,34,9,64.0,2.0,105,6,0,0,0,1,0,0,0,0
13,60,71,35,11,76.0,2.0,95,6,2,1,2,2,-3,-2,1,1
14,63,69,34,9,80.0,2.0,105,7,0,0,0,1,2,1,-1,0
15,66,74,37,2,84.0,1.0,95,7,5,3,5,4,5,3,1,1
16,69,71,35,11,88.0,1.0,105,8,2,1,2,2,2,1,-1,0
17,73,67,33,7,92.0,1.0,95,8,-2,-1,10,7,3,2,-1,-1
18,77,71,35,11,96.0,0.5,105,9,2,1,2,2,4,2,1,0
19,87,71,35,11,108.0,2.0,95,9,2,1,2,2,-3,-2,0,0
20,90,69,34,9,112.0,2.0,105,10,0,0,0,1,2,1,-1,-1
21,93,74,37,2,116.0,1.0,95,10,5,3,5,4,5,3,1,0
22,96,76,38,4,120.0,1.0,105,11,7,4,7,5,-3,-2,1,1
23,101,69,34,9,124.0,2.0,95,11,0,0,0,1,2,1,-1,0
24,102,69,34,9,128.0,2.0,105,12,0,0,0,1,0,0,0,0
25,105,69,34,9,132.0,1.0,95,12,0,0,0,1,0,0,0,0
26,109,76,38,4,136.0,1.0,105,13,7,4,7,5,7,4,1,1
27,113,76,38,4,140.0,0.5,95,13,7,4,7,5,0,0,0,1
28,116,69,34,9,144.0,0.5,105,14,0,0,0,1,-7,-4,-1,0
29,120,67,33,7,148.0,1.0,95,14,-2,-1,10,7,0,0,-1,-1
30,124,74,37,2,152.0,1.0,105,15,5,3,5,4,7,4,1,0
31,128,74,37,2,156.0,1.0,95,15,5,3,5,4,-2,-1,0,0
32,132,71,35,11,160.0,0.5,105,16,2,1,2,2,7,4,-1,-1
33,136,69,34,9,164.0,1.0,95,16,0,0,0,1,0,0,-1,-2
34,140,76,38,4,168.0,1.0,105,17,7,4,7,5,7,4,1,-1
35,144,76,38,4,172.0,0.5,95,17,7,4,7,5,0,0,0,-1
36,147,69,34,9,176.0,0.5,105,18,0,0,0,1,-7,-4,-1,-2
37,151,67,33,7,180.0,1.0,95,18,-2,-1,10,7,0,0,-1,-3
38,155,74,37,2,184.0,1.0,105,19,5,3,5,4,7,4,1,-2
39,159,69,34,9,188.0,3.0,95,19,0,0,0,1,5,3,-1,-3
40,161,69,34,9,192.0,2.0,105,20,0,0,0,1,2,1,0,-3
41,164,69,34,9,196.0,1.0,95,20,0,0,0,1,0,0,0,-3
42,168,76,38,4,200.0,1.0,105,21,7,4,7,5,7,4,1,-2
43,172,76,38,4,204.0,0.5,95,21,7,4,7,5,0,0,0,-2
44,175,69,34,9,208.0,0.5,105,22,0,0,0,1,-7,-4,-1,-3
45,179,67,33,7,212.0,1.0,95,22,-2,-1,10,7,0,0,-1,-4
46,183,74,37,2,216.0,1.0,105,23,5,3,5,4,7,4,1,-3
47,187,74,37,2,220.0,1.0,95,23,5,3,5,4,-2,-1,0,-3
48,191,71,35,11,224.0,0.5,105,24,2,1,2,2,4,2,-1,-4
49,195,69,34,9,228.0,1.0,95,24,0,0,0,1,0,0,-1,-5
50,199,76,38,4,232.0,1.0,105,25,7,4,7,5,7,4,1,-4
51,203,76,38,4,236.0,0.5,95,25,7,4,7,5,0,0,0,-4
52,206,69,34,9,240.0,0.5,105,26,0,0,0,1,-7,-4,-1,-5
53,210,67,33,7,244.0,1.0,95,26,-2,-1,10,7,0,0,-1,-6
54,214,74,37,2,248.0,1.0,105,27,5,3,5,4,7,4,1,-5
55,218,69,34,9,252.0,2.0,95,27,0,0,0,1,-2,-1,-1,-6
