,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,-5,-3,7,5,0,0,0,0
1,2,71,35,11,3.0,1.0,95,0,4,2,4,3,-3,-2,1,1
2,5,69,34,9,6.0,1.0,95,0,2,1,2,2,-5,-3,-1,0
3,8,72,36,0,9.0,2.0,105,1,5,3,5,4,-2,-1,1,1
4,10,81,41,9,12.0,1.0,95,1,14,8,2,2,3,2,1,2
5,13,76,38,4,15.0,1.0,95,1,9,5,9,6,-2,-1,-1,1
6,16,62,30,2,18.0,2.0,105,2,-5,-3,7,5,-9,-5,-1,0
7,18,71,35,11,21.0,1.0,95,2,4,2,4,3,-3,-2,1,1
8,21,69,34,9,24.0,1.0,95,2,2,1,2,2,-5,-3,-1,0
9,24,72,36,0,27.0,3.0,105,3,5,3,5,4,-2,-1,1,1
10,25,71,35,11,30.0,1.0,95,3,4,2,4,3,-1,-1,-1,0
11,28,69,34,9,33.0,1.0,95,3,2,1,2,2,-2,-1,-1,-1
12,31,62,30,2,36.0,2.0,105,4,-5,-3,7,5,-2,-1,-1,-2
13,33,71,35,11,39.0,1.0,95,4,4,2,4,3,-3,-2,1,-1
14,36,69,34,9,42.0,1.0,95,4,2,1,2,2,-5,-3,-1,-2
15,39,78,39,6,45.0,1.0,105,5,11,6,11,7,4,2,1,-1
16,42,78,39,6,48.0,0.5,95,5,11,6,11,7,0,0,0,-1
17,46,79,40,7,51.0,1.0,95,5,12,7,0,1,1,1,1,0
18,49,72,36,0,54.0,2.0,105,6,5,3,5,4,-4,-2,-1,-1
19,51,81,41,9,57.0,1.0,95,6,14,8,2,2,3,2,1,0
20,54,76,38,4,60.0,1.0,95,6,9,5,9,6,-2,-1,-1,-1
21,57,71,35,11,63.0,1.0,105,7,4,2,4,3,-1,-1,-1,-2
22,60,66,32,6,66.0,1.0,95,7,-1,-1,11,7,-1,-1,-1,-3
23,63,67,33,7,69.0,3.0,95,7,0,0,0,1,-4,-2,1,-2
24,64,62,30,2,72.0,2.0,105,8,-5,-3,7,5,-5,-3,-1,-3
25,66,71,35,11,75.0,1.0,95,8,4,2,4,3,-3,-2,1,-2
26,69,69,34,9,78.0,1.0,95,8,2,1,2,2,-5,-3,-1,-3
27,72,72,36,0,81.0,2.0,105,9,5,3,5,4,-2,-1,1,-2
28,74,81,41,9,84.0,1.0,95,9,14,8,2,2,3,2,1,-1
29,77,76,38,4,87.0,1.0,95,9,9,5,9,6,-2,-1,-1,-2
30,80,62,30,2,90.0,2.0,105,10,-5,-3,7,5,-9,-5,-1,-3
31,82,71,35,11,93.0,1.0,95,10,4,2,4,3,-3,-2,1,-2
32,85,69,34,9,96.0,1.0,95,10,2,1,2,2,-5,-3,-1,-3
33,88,72,36,0,99.0,3.0,105,11,5,3,5,4,-2,-1,1,-2
34,89,71,35,11,102.0,1.0,95,11,4,2,4,3,-1,-1,-1,-3
35,92,69,34,9,105.0,1.0,95,11,2,1,2,2,-2,-1,-1,-4
36,95,62,30,2,108.0,2.0,105,12,-5,-3,7,5,-2,-1,-1,-5
37,97,71,35,11,111.0,1.0,95,12,4,2,4,3,-3,-2,1,-4
38,100,69,34,9,114.0,1.0,95,12,2,1,2,2,-5,-3,-1,-5
39,103,78,39,6,117.0,1.0,105,13,11,6,11,7,4,2,1,-4
40,106,78,39,6,120.0,0.5,95,13,11,6,11,7,0,0,0,-4
