,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,67,33,7,2.0,1.33,105,0,0,0,0,1,0,0,0,0
1,7,71,35,11,6.0,1.33,95,0,4,2,4,3,4,2,1,1
2,11,74,37,2,10.0,1.33,105,1,7,4,7,5,3,2,1,2
3,15,79,40,7,14.0,1.33,95,1,12,7,0,1,5,3,1,3
4,19,78,39,6,18.0,1.33,105,2,11,6,11,7,-1,-1,-1,2
5,23,72,36,0,22.0,1.33,95,2,5,3,5,4,-1,0,-1,1
6,27,67,33,7,26.0,1.33,105,3,0,0,0,1,-2,-1,-1,0
7,31,66,32,6,30.0,0.67,95,3,-1,-1,11,7,-1,-1,-1,-1
8,37,67,33,7,34.0,1.33,105,4,0,0,0,1,-2,-1,1,0
9,41,71,35,11,38.0,1.33,95,4,4,2,4,3,4,2,1,1
10,45,74,37,2,42.0,1.33,105,5,7,4,7,5,3,2,1,2
11,49,79,40,7,46.0,1.33,95,5,12,7,0,1,5,3,1,3
12,53,78,39,6,50.0,1.33,105,6,11,6,11,7,-1,-1,-1,2
13,57,72,36,0,54.0,1.33,95,6,5,3,5,4,-1,0,-1,1
14,61,67,33,7,58.0,1.33,105,7,0,0,0,1,-2,-1,-1,0
15,65,67,33,7,62.0,2.0,95,7,0,0,0,1,1,1,0,0
16,69,67,33,7,66.0,1.33,105,8,0,0,0,1,-2,-1,0,0
17,73,71,35,11,70.0,1.33,95,8,4,2,4,3,4,2,1,1
18,77,74,37,2,74.0,1.33,105,9,7,4,7,5,3,2,1,2
19,81,79,40,7,78.0,1.33,95,9,12,7,0,1,5,3,1,3
20,85,78,39,6,82.0,1.33,105,10,11,6,11,7,-1,-1,-1,2
21,89,72,36,0,86.0,1.33,95,10,5,3,5,4,-1,0,-1,1
22,93,67,33,7,90.0,1.33,105,11,0,0,0,1,-2,-1,-1,0
23,97,66,32,6,94.0,0.67,95,11,-1,-1,11,7,-1,-1,-1,-1
24,103,67,33,7,98.0,1.33,105,12,0,0,0,1,-2,-1,1,0
25,107,71,35,11,102.0,1.33,95,12,4,2,4,3,4,2,1,1
26,111,74,37,2,106.0,1.33,105,13,7,4,7,5,3,2,1,2
27,115,79,40,7,110.0,1.33,95,13,12,7,0,1,5,3,1,3
28,119,78,39,6,114.0,1.33,105,14,11,6,11,7,-1,-1,-1,2
29,123,72,36,0,118.0,1.33,95,14,5,3,5,4,-1,0,-1,1
30,127,67,33,7,122.0,1.33,105,15,0,0,0,1,-2,-1,-1,0
31,131,67,33,7,126.0,2.0,95,15,0,0,0,1,1,1,0,0
32,135,83,42,11,130.0,1.33,105,16,16,9,4,3,0,0,1,1
33,139,83,42,11,134.0,1.33,95,16,16,9,4,3,5,3,0,1
34,143,76,38,4,138.0,1.33,105,17,9,5,9,6,-2,-1,-1,0
35,147,79,40,7,142.0,1.33,95,17,12,7,0,1,1,1,1,1
36,151,81,41,9,146.0,1.33,105,18,14,8,2,2,1,1,1,2
37,155,81,41,9,150.0,1.33,95,18,14,8,2,2,5,3,0,2
38,159,76,38,4,154.0,1.33,105,19,9,5,9,6,0,0,-1,1
39,164,74,37,2,158.0,2.0,95,19,7,4,7,5,-2,-1,-1,0
40,167,84,43,0,162.0,1.33,105,20,17,10,5,4,1,1,1,1
41,171,73,36,1,166.0,1.33,95,20,6,3,6,4,-1,-1,-1,0
42,175,79,40,7,170.0,1.33,105,21,12,7,0,1,1,1,1,1
43,179,83,42,11,174.0,1.33,95,21,16,9,4,3,2,1,1,2
44,183,78,39,6,178.0,1.33,105,22,11,6,11,7,-1,-1,-1,1
45,187,62,30,2,182.0,1.33,95,22,-5,-3,7,5,-11,-6,-1,0
46,190,67,33,7,185.0,1.33,105,23,0,0,0,1,-2,-1,1,1
47,194,67,33,7,189.0,2.0,95,23,0,0,0,1,1,1,0,1
48,198,83,42,11,193.0,1.33,105,24,16,9,4,3,0,0,1,2
49,202,83,42,11,197.0,1.33,95,24,16,9,4,3,5,3,0,2
50,206,76,38,4,201.0,1.33,105,25,9,5,9,6,-2,-1,-1,1
51,210,79,40,7,205.0,1.33,95,25,12,7,0,1,1,1,1,2
52,214,81,41,9,209.0,1.33,105,26,14,8,2,2,1,1,1,3
53,218,81,41,9,213.0,1.33,95,26,14,8,2,2,5,3,0,3
54,222,76,38,4,217.0,1.33,105,27,9,5,9,6,0,0,-1,2
55,227,74,37,2,221.0,2.0,95,27,7,4,7,5,-2,-1,-1,1
56,230,84,43,0,225.0,1.33,105,28,17,10,5,4,1,1,1,2
57,234,73,36,1,229.0,1.33,95,28,6,3,6,4,-1,-1,-1,1
58,238,79,40,7,233.0,1.33,105,29,12,7,0,1,1,1,1,2
59,242,83,42,11,237.0,1.33,95,29,16,9,4,3,2,1,1,3
60,246,78,39,6,241.0,1.33,105,30,11,6,11,7,-1,-1,-1,2
61,250,62,30,2,245.0,1.33,95,30,-5,-3,7,5,-11,-6,-1,1
62,253,67,33,7,248.0,1.33,105,31,0,0,0,1,-2,-1,1,2
63,257,67,33,7,252.0,2.0,95,31,0,0,0,1,1,1,0,2
