,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.33,105,0,7,4,7,5,0,0,0,0
1,4,71,35,11,4.0,1.33,95,0,9,5,9,6,2,1,1,1
2,8,69,34,9,8.0,1.33,105,1,7,4,7,5,-2,-1,-1,0
3,12,71,35,11,12.0,1.33,95,1,9,5,9,6,2,1,1,1
4,16,73,36,1,16.0,0.67,105,2,11,6,11,7,2,1,1,2
5,21,73,36,1,20.0,0.67,95,2,11,6,11,7,4,2,0,2
6,26,74,37,2,24.0,1.33,105,3,12,7,0,1,5,3,1,3
7,30,81,41,9,28.0,1.33,95,3,19,11,7,5,2,1,1,4
8,33,69,34,9,32.0,1.33,105,4,7,4,7,5,-12,-7,-1,3
9,37,71,35,11,36.0,1.33,95,4,9,5,9,6,2,1,1,4
10,41,69,34,9,40.0,1.33,105,5,7,4,7,5,-2,-1,-1,3
11,45,71,35,11,44.0,1.33,95,5,9,5,9,6,2,1,1,4
12,49,73,36,1,48.0,0.67,105,6,11,6,11,7,2,1,1,5
13,54,79,40,7,52.0,0.67,95,6,17,10,5,4,1,1,1,6
14,60,74,37,2,56.0,0.67,105,7,12,7,0,1,1,1,-1,5
15,66,74,37,2,60.0,2.0,95,7,12,7,0,1,1,1,0,5
16,69,69,34,9,64.0,1.33,105,8,7,4,7,5,-2,-1,-1,4
17,73,71,35,11,68.0,1.33,95,8,9,5,9,6,2,1,1,5
18,77,69,34,9,72.0,1.33,105,9,7,4,7,5,-2,-1,-1,4
19,81,71,35,11,76.0,1.33,95,9,9,5,9,6,2,1,1,5
20,85,73,36,1,80.0,0.67,105,10,11,6,11,7,2,1,1,6
21,90,73,36,1,84.0,0.67,95,10,11,6,11,7,4,2,0,6
22,95,74,37,2,88.0,1.33,105,11,12,7,0,1,5,3,1,7
23,99,81,41,9,92.0,1.33,95,11,19,11,7,5,2,1,1,8
24,102,69,34,9,96.0,1.33,105,12,7,4,7,5,-12,-7,-1,7
25,106,71,35,11,100.0,1.33,95,12,9,5,9,6,2,1,1,8
26,110,69,34,9,104.0,1.33,105,13,7,4,7,5,-2,-1,-1,7
27,114,71,35,11,108.0,1.33,95,13,9,5,9,6,2,1,1,8
28,118,73,36,1,112.0,0.67,105,14,11,6,11,7,2,1,1,9
29,123,79,40,7,116.0,0.67,95,14,17,10,5,4,1,1,1,10
30,129,74,37,2,120.0,0.67,105,15,12,7,0,1,1,1,-1,9
31,135,74,37,2,124.0,2.0,95,15,12,7,0,1,1,1,0,9
32,138,78,39,6,128.0,0.67,105,16,16,9,4,3,-1,-1,1,10
33,143,78,39,6,132.0,0.67,95,16,16,9,4,3,2,1,0,10
34,148,78,39,6,136.0,1.33,105,17,16,9,4,3,2,1,0,10
35,152,83,42,11,140.0,1.33,95,17,21,12,9,6,9,5,1,11
36,156,73,36,1,144.0,0.67,105,18,11,6,11,7,-1,-1,-1,10
37,161,73,36,1,148.0,0.67,95,18,11,6,11,7,4,2,0,10
38,166,73,36,1,152.0,0.67,105,19,11,6,11,7,4,2,0,10
39,171,79,40,7,156.0,1.33,95,19,17,10,5,4,1,1,1,11
40,175,78,39,6,160.0,0.67,105,20,16,9,4,3,-1,-1,-1,10
41,180,78,39,6,164.0,0.67,95,20,16,9,4,3,2,1,0,10
42,185,78,39,6,168.0,1.33,105,21,16,9,4,3,2,1,0,10
43,189,83,42,11,172.0,1.33,95,21,21,12,9,6,9,5,1,11
44,193,73,36,1,176.0,0.67,105,22,11,6,11,7,-1,-1,-1,10
45,198,79,40,7,180.0,0.67,95,22,17,10,5,4,1,1,1,11
46,204,74,37,2,184.0,0.67,105,23,12,7,0,1,1,1,-1,10
47,210,74,37,2,188.0,2.0,95,23,12,7,0,1,1,1,0,10
