,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,3,69,34,9,3.0,3.0,95,0,2,1,2,2,-5,-3,0,0
2,4,69,34,9,6.0,1.0,105,1,2,1,2,2,0,0,0,0
3,7,67,33,7,9.0,2.0,95,1,0,0,0,1,3,2,-1,-1
4,9,69,34,9,12.0,1.0,105,2,2,1,2,2,2,1,1,0
5,12,69,34,9,15.0,2.0,95,2,2,1,2,2,-5,-3,0,0
6,14,67,33,7,18.0,1.0,105,3,0,0,0,1,-2,-1,-1,-1
7,17,64,31,4,21.0,1.0,95,3,-3,-2,9,6,0,0,-1,-2
8,20,69,34,9,24.0,1.0,105,4,2,1,2,2,7,4,1,-1
9,23,69,34,9,27.0,2.0,95,4,2,1,2,2,-5,-3,0,-1
10,25,69,34,9,30.0,1.0,105,5,2,1,2,2,0,0,0,-1
11,28,72,36,0,33.0,3.0,95,5,5,3,5,4,8,5,1,0
12,29,74,37,2,36.0,1.0,105,6,7,4,7,5,2,1,1,1
13,32,74,37,2,39.0,1.0,95,6,7,4,7,5,0,0,0,1
14,35,67,33,7,42.0,1.0,105,7,0,0,0,1,-2,-1,-1,0
15,38,64,31,4,45.0,1.0,95,7,-3,-2,9,6,0,0,-1,-1
16,41,69,34,9,48.0,1.0,105,8,2,1,2,2,7,4,1,0
17,44,69,34,9,51.0,3.0,95,8,2,1,2,2,-5,-3,0,0
18,45,69,34,9,54.0,1.0,105,9,2,1,2,2,0,0,0,0
19,48,67,33,7,57.0,2.0,95,9,0,0,0,1,3,2,-1,-1
20,50,69,34,9,60.0,1.0,105,10,2,1,2,2,2,1,1,0
21,53,69,34,9,63.0,2.0,95,10,2,1,2,2,-5,-3,0,0
22,55,67,33,7,66.0,1.0,105,11,0,0,0,1,-2,-1,-1,-1
23,58,64,31,4,69.0,1.0,95,11,-3,-2,9,6,0,0,-1,-2
24,61,69,34,9,72.0,1.0,105,12,2,1,2,2,7,4,1,-1
25,64,69,34,9,75.0,2.0,95,12,2,1,2,2,-5,-3,0,-1
26,66,69,34,9,78.0,1.0,105,13,2,1,2,2,0,0,0,-1
27,69,72,36,0,81.0,3.0,95,13,5,3,5,4,8,5,1,0
28,70,74,37,2,84.0,1.0,105,14,7,4,7,5,2,1,1,1
29,73,74,37,2,87.0,1.0,95,14,7,4,7,5,0,0,0,1
30,76,67,33,7,90.0,1.0,105,15,0,0,0,1,-2,-1,-1,0
31,79,64,31,4,93.0,1.0,95,15,-3,-2,9,6,0,0,-1,-1
32,82,69,34,9,96.0,1.0,105,16,2,1,2,2,7,4,1,0
33,85,74,37,2,99.0,2.0,95,16,7,4,7,5,2,1,1,1
34,87,74,37,2,102.0,1.0,105,17,7,4,7,5,0,0,0,1
35,90,74,37,2,105.0,2.0,95,17,7,4,7,5,0,0,0,1
36,92,69,34,9,108.0,1.0,105,18,2,1,2,2,-3,-2,-1,0
37,95,74,37,2,111.0,1.0,95,18,7,4,7,5,2,1,1,1
38,98,74,37,2,114.0,1.0,105,19,7,4,7,5,0,0,0,1
39,101,72,36,0,117.0,1.0,95,19,5,3,5,4,-2,-1,-1,0
40,104,69,34,9,120.0,1.0,105,20,2,1,2,2,2,1,-1,-1
41,107,74,37,2,123.0,1.0,95,20,7,4,7,5,2,1,1,0
42,110,74,37,2,126.0,1.0,105,21,7,4,7,5,0,0,0,0
43,113,74,37,2,129.0,2.0,95,21,7,4,7,5,0,0,0,0
44,115,69,34,9,132.0,1.0,105,22,2,1,2,2,-3,-2,-1,-1
45,118,72,36,0,135.0,1.0,95,22,5,3,5,4,8,5,1,0
46,121,67,33,7,138.0,1.0,105,23,0,0,0,1,-2,-1,-1,-1
47,124,64,31,4,141.0,1.0,95,23,-3,-2,9,6,0,0,-1,-2
48,127,69,34,9,144.0,1.0,105,24,2,1,2,2,7,4,1,-1
49,130,74,37,2,147.0,2.0,95,24,7,4,7,5,2,1,1,0
50,132,74,37,2,150.0,1.0,105,25,7,4,7,5,0,0,0,0
51,135,74,37,2,153.0,2.0,95,25,7,4,7,5,0,0,0,0
52,137,69,34,9,156.0,1.0,105,26,2,1,2,2,-3,-2,-1,-1
53,140,74,37,2,159.0,1.0,95,26,7,4,7,5,2,1,1,0
54,143,74,37,2,162.0,1.0,105,27,7,4,7,5,0,0,0,0
55,146,72,36,0,165.0,1.0,95,27,5,3,5,4,-2,-1,-1,-1
56,149,69,34,9,168.0,1.0,105,28,2,1,2,2,2,1,-1,-2
57,152,74,37,2,171.0,1.0,95,28,7,4,7,5,2,1,1,-1
58,155,74,37,2,174.0,1.0,105,29,7,4,7,5,0,0,0,-1
59,158,74,37,2,177.0,2.0,95,29,7,4,7,5,0,0,0,-1
60,160,69,34,9,180.0,1.0,105,30,2,1,2,2,-3,-2,-1,-2
61,163,72,36,0,183.0,1.0,95,30,5,3,5,4,8,5,1,-1
62,166,67,33,7,186.0,1.0,105,31,0,0,0,1,-2,-1,-1,-2
63,169,64,31,4,189.0,1.0,95,31,-3,-2,9,6,0,0,-1,-3
