,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,3.0,105,0,7,4,7,5,0,0,0,0
1,4,69,34,9,6.0,1.33,95,0,7,4,7,5,-2,-1,0,0
2,8,76,38,4,10.0,2.0,105,1,14,8,2,2,2,1,1,1
3,10,76,38,4,14.0,1.33,95,1,14,8,2,2,2,1,0,1
4,13,67,33,7,18.0,2.0,105,2,5,3,5,4,-12,-7,-1,0
5,16,67,33,7,22.0,3.0,95,2,5,3,5,4,3,2,0,0
6,18,71,35,11,26.0,2.0,105,3,9,5,9,6,2,1,1,1
7,21,69,34,9,30.0,1.33,95,3,7,4,7,5,-2,-1,-1,0
8,24,69,34,9,34.0,3.0,105,4,7,4,7,5,5,3,0,0
9,26,69,34,9,38.0,1.33,95,4,7,4,7,5,-2,-1,0,0
10,30,76,38,4,42.0,2.0,105,5,14,8,2,2,2,1,1,1
11,32,76,38,4,46.0,3.0,95,5,14,8,2,2,2,1,0,1
12,34,79,40,7,50.0,1.33,105,6,17,10,5,4,1,1,1,2
13,37,74,37,2,54.0,1.33,95,6,12,7,0,1,-2,-1,-1,1
14,40,69,34,9,58.0,4.0,105,7,7,4,7,5,2,1,-1,0
15,41,69,34,9,62.0,3.0,95,7,7,4,7,5,0,0,0,0
16,43,69,34,9,66.0,3.0,105,8,7,4,7,5,5,3,0,0
17,45,69,34,9,70.0,1.33,95,8,7,4,7,5,-2,-1,0,0
18,49,76,38,4,74.0,2.0,105,9,14,8,2,2,2,1,1,1
19,51,76,38,4,78.0,1.33,95,9,14,8,2,2,2,1,0,1
20,54,67,33,7,82.0,2.0,105,10,5,3,5,4,-12,-7,-1,0
21,57,67,33,7,86.0,3.0,95,10,5,3,5,4,3,2,0,0
22,59,71,35,11,90.0,2.0,105,11,9,5,9,6,2,1,1,1
23,62,69,34,9,94.0,1.33,95,11,7,4,7,5,-2,-1,-1,0
24,65,69,34,9,98.0,3.0,105,12,7,4,7,5,5,3,0,0
25,67,69,34,9,102.0,1.33,95,12,7,4,7,5,-2,-1,0,0
26,71,76,38,4,106.0,2.0,105,13,14,8,2,2,2,1,1,1
27,73,76,38,4,110.0,3.0,95,13,14,8,2,2,2,1,0,1
28,75,79,40,7,114.0,1.33,105,14,17,10,5,4,1,1,1,2
29,78,74,37,2,118.0,1.33,95,14,12,7,0,1,-2,-1,-1,1
30,81,69,34,9,122.0,4.0,105,15,7,4,7,5,2,1,-1,0
31,82,69,34,9,126.0,3.0,95,15,7,4,7,5,0,0,0,0
32,84,79,40,7,130.0,3.0,105,16,17,10,5,4,1,1,1,1
33,86,79,40,7,134.0,1.33,95,16,17,10,5,4,1,1,0,1
34,90,76,38,4,138.0,1.33,105,17,14,8,2,2,2,1,-1,0
35,93,81,41,9,142.0,2.0,95,17,19,11,7,5,2,1,1,1
36,96,79,40,7,146.0,3.0,105,18,17,10,5,4,1,1,-1,0
37,98,79,40,7,150.0,3.0,95,18,17,10,5,4,1,1,0,0
38,100,76,38,4,154.0,2.0,105,19,14,8,2,2,2,1,-1,-1
39,102,69,34,9,158.0,2.0,95,19,7,4,7,5,-2,-1,-1,-2
40,104,79,40,7,162.0,2.0,105,20,17,10,5,4,12,7,1,-1
41,107,79,40,7,166.0,1.33,95,20,17,10,5,4,1,1,0,-1
42,111,76,38,4,170.0,1.33,105,21,14,8,2,2,2,1,-1,-2
43,114,81,41,9,174.0,2.0,95,21,19,11,7,5,2,1,1,-1
44,117,79,40,7,178.0,1.33,105,22,17,10,5,4,1,1,-1,-2
45,120,74,37,2,182.0,1.33,95,22,12,7,0,1,-2,-1,-1,-3
46,123,69,34,9,186.0,4.0,105,23,7,4,7,5,2,1,-1,-4
