,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,2,76,38,4,3.0,2.0,95,0,12,7,0,1,12,7,1,1
2,4,72,36,0,6.0,1.0,105,1,8,5,8,6,-4,-2,-1,0
3,7,71,35,11,9.0,2.0,95,1,7,4,7,5,2,1,-1,-1
4,9,67,33,7,12.0,1.0,105,2,3,2,3,3,-2,-1,-1,-2
5,12,67,33,7,15.0,1.0,95,2,3,2,3,3,-2,-1,0,-2
6,15,66,32,6,18.0,1.0,105,3,2,1,2,2,2,1,-1,-3
7,18,69,34,9,21.0,1.0,95,3,5,3,5,4,-5,-3,1,-2
8,21,64,31,4,24.0,2.0,105,4,0,0,0,1,2,1,-1,-3
9,23,76,38,4,27.0,2.0,95,4,12,7,0,1,12,7,1,-2
10,25,72,36,0,30.0,1.0,105,5,8,5,8,6,-4,-2,-1,-3
11,28,71,35,11,33.0,2.0,95,5,7,4,7,5,2,1,-1,-4
12,30,71,35,11,36.0,1.0,105,6,7,4,7,5,0,0,0,-4
13,33,69,34,9,39.0,1.0,95,6,5,3,5,4,-5,-3,-1,-5
14,36,69,34,9,42.0,1.0,105,7,5,3,5,4,-5,-3,0,-5
15,39,64,31,4,45.0,2.0,95,7,0,0,0,1,2,1,-1,-6
16,41,64,31,4,48.0,2.0,105,8,0,0,0,1,2,1,0,-6
17,43,76,38,4,51.0,2.0,95,8,12,7,0,1,12,7,1,-5
18,45,72,36,0,54.0,1.0,105,9,8,5,8,6,-4,-2,-1,-6
19,48,71,35,11,57.0,2.0,95,9,7,4,7,5,2,1,-1,-7
20,50,67,33,7,60.0,1.0,105,10,3,2,3,3,-2,-1,-1,-8
21,53,67,33,7,63.0,1.0,95,10,3,2,3,3,-2,-1,0,-8
22,56,66,32,6,66.0,1.0,105,11,2,1,2,2,2,1,-1,-9
23,59,69,34,9,69.0,1.0,95,11,5,3,5,4,-5,-3,1,-8
24,62,64,31,4,72.0,2.0,105,12,0,0,0,1,2,1,-1,-9
25,64,76,38,4,75.0,2.0,95,12,12,7,0,1,12,7,1,-8
26,66,72,36,0,78.0,1.0,105,13,8,5,8,6,-4,-2,-1,-9
27,69,71,35,11,81.0,2.0,95,13,7,4,7,5,2,1,-1,-10
28,71,71,35,11,84.0,1.0,105,14,7,4,7,5,0,0,0,-10
29,74,69,34,9,87.0,1.0,95,14,5,3,5,4,-5,-3,-1,-11
30,77,69,34,9,90.0,1.0,105,15,5,3,5,4,-5,-3,0,-11
31,80,64,31,4,93.0,2.0,95,15,0,0,0,1,2,1,-1,-12
32,82,67,33,7,96.0,2.0,105,16,3,2,3,3,1,1,1,-11
33,84,71,35,11,99.0,1.0,95,16,7,4,7,5,4,2,1,-10
34,87,69,34,9,102.0,1.0,105,17,5,3,5,4,2,1,-1,-11
35,90,72,36,0,105.0,1.0,95,17,8,5,8,6,3,2,1,-10
36,93,67,33,7,108.0,1.0,105,18,3,2,3,3,-2,-1,-1,-11
37,96,71,35,11,111.0,1.0,95,18,7,4,7,5,4,2,1,-10
38,99,66,32,6,114.0,1.0,105,19,2,1,2,2,-1,-1,-1,-11
39,102,69,34,9,117.0,1.0,95,19,5,3,5,4,-5,-3,1,-10
40,105,67,33,7,120.0,2.0,105,20,3,2,3,3,5,3,-1,-11
41,107,71,35,11,123.0,1.0,95,20,7,4,7,5,4,2,1,-10
42,110,69,34,9,126.0,1.0,105,21,5,3,5,4,2,1,-1,-11
43,114,76,38,4,129.0,3.0,95,21,12,7,0,1,2,1,1,-10
44,115,71,35,11,132.0,1.0,105,22,7,4,7,5,-5,-3,-1,-11
45,118,69,34,9,135.0,1.0,95,22,5,3,5,4,-5,-3,-1,-12
46,121,69,34,9,138.0,1.0,105,23,5,3,5,4,-5,-3,0,-12
47,124,64,31,4,141.0,2.0,95,23,0,0,0,1,2,1,-1,-13
48,126,67,33,7,144.0,2.0,105,24,3,2,3,3,1,1,1,-12
49,128,71,35,11,147.0,1.0,95,24,7,4,7,5,4,2,1,-11
50,131,69,34,9,150.0,1.0,105,25,5,3,5,4,2,1,-1,-12
51,134,72,36,0,153.0,1.0,95,25,8,5,8,6,3,2,1,-11
52,137,67,33,7,156.0,1.0,105,26,3,2,3,3,-2,-1,-1,-12
53,140,71,35,11,159.0,1.0,95,26,7,4,7,5,4,2,1,-11
54,143,66,32,6,162.0,1.0,105,27,2,1,2,2,-1,-1,-1,-12
55,146,69,34,9,165.0,1.0,95,27,5,3,5,4,-5,-3,1,-11
56,149,67,33,7,168.0,2.0,105,28,3,2,3,3,5,3,-1,-12
57,151,71,35,11,171.0,1.0,95,28,7,4,7,5,4,2,1,-11
58,154,69,34,9,174.0,1.0,105,29,5,3,5,4,2,1,-1,-12
59,158,76,38,4,177.0,3.0,95,29,12,7,0,1,2,1,1,-11
60,159,71,35,11,180.0,1.0,105,30,7,4,7,5,-5,-3,-1,-12
61,162,69,34,9,183.0,1.0,95,30,5,3,5,4,-5,-3,-1,-13
62,165,69,34,9,186.0,1.0,105,31,5,3,5,4,-5,-3,0,-13
63,168,64,31,4,189.0,2.0,95,31,0,0,0,1,2,1,-1,-14
