,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,2.0,1.0,105,0,7,4,7,5,0,0,0,0
1,6,66,32,6,6.0,1.0,95,0,-1,-1,11,7,-1,-1,-1,-1
2,12,71,35,11,10.0,1.0,105,1,4,2,4,3,2,1,1,0
3,17,76,38,4,14.0,1.0,95,1,9,5,9,6,2,1,1,1
4,21,74,37,2,18.0,1.0,105,2,7,4,7,5,-2,-1,-1,0
5,25,66,32,6,22.0,1.0,95,2,-1,-1,11,7,-1,-1,-1,-1
6,31,71,35,11,26.0,1.0,105,3,4,2,4,3,2,1,1,0
7,35,62,30,2,30.0,1.0,95,3,-5,-3,7,5,-4,-2,-1,-1
8,41,74,37,2,34.0,1.0,105,4,7,4,7,5,7,4,1,0
9,45,66,32,6,38.0,1.0,95,4,-1,-1,11,7,-1,-1,-1,-1
10,51,71,35,11,42.0,1.0,105,5,4,2,4,3,2,1,1,0
11,56,76,38,4,46.0,1.0,95,5,9,5,9,6,2,1,1,1
12,60,74,37,2,50.0,1.0,105,6,7,4,7,5,-2,-1,-1,0
13,64,66,32,6,54.0,1.0,95,6,-1,-1,11,7,-1,-1,-1,-1
14,70,71,35,11,58.0,1.0,105,7,4,2,4,3,2,1,1,0
15,74,62,30,2,62.0,1.0,95,7,-5,-3,7,5,-4,-2,-1,-1
16,80,74,37,2,66.0,1.0,105,8,7,4,7,5,7,4,1,0
17,86,83,42,11,70.0,1.0,95,8,16,9,4,3,4,2,1,1
18,90,74,37,2,74.0,1.0,105,9,7,4,7,5,-5,-3,-1,0
19,94,81,41,9,78.0,1.0,95,9,14,8,2,2,2,1,1,1
20,98,74,37,2,82.0,1.0,105,10,7,4,7,5,-5,-3,-1,0
21,104,83,42,11,86.0,1.0,95,10,16,9,4,3,4,2,1,1
22,107,71,35,11,90.0,0.67,105,11,4,2,4,3,-10,-6,-1,0
23,112,79,40,7,94.0,2.0,95,11,12,7,0,1,1,1,1,1
24,115,74,37,2,98.0,1.0,105,12,7,4,7,5,2,1,-1,0
25,121,83,42,11,102.0,1.0,95,12,16,9,4,3,4,2,1,1
26,125,74,37,2,106.0,1.0,105,13,7,4,7,5,-5,-3,-1,0
27,129,81,41,9,110.0,2.0,95,13,14,8,2,2,2,1,1,1
28,132,83,42,11,114.0,1.0,105,14,16,9,4,3,2,1,1,2
29,136,79,40,7,118.0,0.67,95,14,12,7,0,1,1,1,-1,1
30,141,71,35,11,122.0,0.67,105,15,4,2,4,3,2,1,-1,0
31,146,79,40,7,126.0,2.0,95,15,12,7,0,1,1,1,1,1
32,149,74,37,2,130.0,1.0,105,16,7,4,7,5,2,1,-1,0
33,155,83,42,11,134.0,1.0,95,16,16,9,4,3,4,2,1,1
34,159,74,37,2,138.0,1.0,105,17,7,4,7,5,-5,-3,-1,0
35,163,81,41,9,142.0,1.0,95,17,14,8,2,2,2,1,1,1
36,167,74,37,2,146.0,1.0,105,18,7,4,7,5,-5,-3,-1,0
37,173,83,42,11,150.0,1.0,95,18,16,9,4,3,4,2,1,1
38,176,71,35,11,154.0,0.67,105,19,4,2,4,3,-10,-6,-1,0
39,181,79,40,7,158.0,2.0,95,19,12,7,0,1,1,1,1,1
40,184,74,37,2,162.0,1.0,105,20,7,4,7,5,2,1,-1,0
41,190,83,42,11,166.0,1.0,95,20,16,9,4,3,4,2,1,1
42,194,74,37,2,170.0,1.0,105,21,7,4,7,5,-5,-3,-1,0
43,198,81,41,9,174.0,2.0,95,21,14,8,2,2,2,1,1,1
44,201,83,42,11,178.0,1.0,105,22,16,9,4,3,2,1,1,2
45,205,79,40,7,182.0,0.67,95,22,12,7,0,1,1,1,-1,1
46,210,71,35,11,186.0,0.67,105,23,4,2,4,3,2,1,-1,0
47,215,79,40,7,190.0,2.0,95,23,12,7,0,1,1,1,1,1
