,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,76,38,4,1.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,73,36,1,4.0,2.0,95,0,4,2,4,3,-3,-2,-1,-1
2,5,73,36,1,7.0,2.0,95,0,4,2,4,3,4,2,0,-1
3,7,76,38,4,10.0,1.0,95,0,7,4,7,5,0,0,1,0
4,10,78,39,6,13.0,2.0,105,1,9,5,9,6,2,1,1,1
5,12,74,37,2,16.0,1.0,95,1,5,3,5,4,-2,-1,-1,0
6,15,69,34,9,19.0,1.0,95,1,0,0,0,1,-2,-1,-1,-1
7,18,69,34,9,22.0,1.0,95,1,0,0,0,1,0,0,0,-1
8,21,76,38,4,25.0,1.0,105,2,7,4,7,5,2,1,1,0
9,24,73,36,1,28.0,2.0,95,2,4,2,4,3,-3,-2,-1,-1
10,26,73,36,1,31.0,2.0,95,2,4,2,4,3,4,2,0,-1
11,28,76,38,4,34.0,1.0,95,2,7,4,7,5,0,0,1,0
12,31,78,39,6,37.0,2.0,105,3,9,5,9,6,2,1,1,1
13,33,74,37,2,40.0,1.0,95,3,5,3,5,4,-2,-1,-1,0
14,36,69,34,9,43.0,1.0,95,3,0,0,0,1,-2,-1,-1,-1
15,39,69,34,9,46.0,3.0,95,3,0,0,0,1,0,0,0,-1
16,40,76,38,4,49.0,2.0,105,4,7,4,7,5,7,4,1,0
17,42,76,38,4,52.0,2.0,95,4,7,4,7,5,-2,-1,0,0
18,44,76,38,4,55.0,2.0,95,4,7,4,7,5,3,2,0,0
19,46,76,38,4,58.0,2.0,95,4,7,4,7,5,-2,-1,0,0
20,48,76,38,4,61.0,2.0,105,5,7,4,7,5,3,2,0,0
21,50,76,38,4,64.0,2.0,95,5,7,4,7,5,-2,-1,0,0
22,52,73,36,1,67.0,2.0,95,5,4,2,4,3,-1,-1,-1,-1
23,54,73,36,1,70.0,2.0,95,5,4,2,4,3,2,1,0,-1
24,56,76,38,4,73.0,2.0,105,6,7,4,7,5,2,1,1,0
25,58,76,38,4,76.0,2.0,95,6,7,4,7,5,-2,-1,0,0
26,60,76,38,4,79.0,2.0,95,6,7,4,7,5,3,2,0,0
27,62,76,38,4,82.0,1.0,95,6,7,4,7,5,-2,-1,0,0
28,65,81,41,9,85.0,2.0,105,7,12,7,0,1,1,1,1,1
29,67,78,39,6,88.0,1.0,95,7,9,5,9,6,2,1,-1,0
30,70,73,36,1,91.0,1.0,95,7,4,2,4,3,-1,-1,-1,-1
31,73,69,34,9,94.0,2.0,95,7,0,0,0,1,-2,-1,-1,-2
