,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,78,39,6,2.0,2.0,105,0,16,9,4,3,0,0,0,0
1,4,74,37,2,5.0,1.0,95,0,12,7,0,1,0,0,-1,-1
2,7,71,35,11,8.0,2.0,105,1,9,5,9,6,-3,-2,-1,-2
3,9,69,34,9,11.0,1.0,95,1,7,4,7,5,-5,-3,-1,-3
4,11,78,39,6,14.0,2.0,105,2,16,9,4,3,4,2,1,-2
5,13,78,39,6,17.0,1.0,95,2,16,9,4,3,4,2,0,-2
6,16,74,37,2,20.0,2.0,105,3,12,7,0,1,-4,-2,-1,-3
7,17,74,37,2,23.0,1.0,95,3,12,7,0,1,0,0,0,-3
8,20,79,40,7,26.0,2.0,105,4,17,10,5,4,1,1,1,-2
9,22,76,38,4,29.0,1.0,95,4,14,8,2,2,0,0,-1,-3
10,25,73,36,1,32.0,1.0,105,5,11,6,11,7,-3,-2,-1,-4
11,27,76,38,4,35.0,2.0,95,5,14,8,2,2,0,0,1,-3
12,29,73,36,1,38.0,2.0,105,6,11,6,11,7,-1,-1,-1,-4
13,31,73,36,1,41.0,1.0,95,6,11,6,11,7,4,2,0,-4
14,34,69,34,9,44.0,2.0,105,7,7,4,7,5,-4,-2,-1,-5
15,35,81,41,9,47.0,2.0,95,7,19,11,7,5,12,7,1,-4
16,37,78,39,6,50.0,2.0,105,8,16,9,4,3,-1,-1,-1,-5
17,39,74,37,2,53.0,1.0,95,8,12,7,0,1,0,0,-1,-6
18,42,71,35,11,56.0,2.0,105,9,9,5,9,6,-3,-2,-1,-7
19,44,69,34,9,59.0,1.0,95,9,7,4,7,5,-5,-3,-1,-8
20,46,78,39,6,62.0,2.0,105,10,16,9,4,3,4,2,1,-7
21,48,78,39,6,65.0,1.0,95,10,16,9,4,3,4,2,0,-7
22,51,74,37,2,68.0,2.0,105,11,12,7,0,1,-4,-2,-1,-8
23,52,74,37,2,71.0,1.0,95,11,12,7,0,1,0,0,0,-8
24,55,81,41,9,74.0,1.0,105,12,19,11,7,5,3,2,1,-7
25,58,79,40,7,77.0,1.0,95,12,17,10,5,4,5,3,-1,-8
26,61,78,39,6,80.0,1.0,105,13,16,9,4,3,5,3,-1,-9
27,64,76,38,4,83.0,2.0,95,13,14,8,2,2,5,3,-1,-10
28,66,73,36,1,86.0,1.0,105,14,11,6,11,7,-5,-3,-1,-11
29,69,69,34,9,89.0,1.0,95,14,7,4,7,5,-7,-4,-1,-12
30,72,74,37,2,92.0,3.0,105,15,12,7,0,1,1,1,1,-11
31,75,78,39,6,98.0,2.0,105,16,16,9,4,3,-1,-1,1,-10
32,77,81,41,9,101.0,1.0,95,16,19,11,7,5,0,0,1,-9
33,80,78,39,6,104.0,2.0,105,17,16,9,4,3,-3,-2,-1,-10
34,82,81,41,9,107.0,2.0,95,17,19,11,7,5,0,0,1,-9
35,84,78,39,6,110.0,2.0,105,18,16,9,4,3,-1,-1,-1,-10
36,86,78,39,6,113.0,1.0,95,18,16,9,4,3,4,2,0,-10
37,89,74,37,2,116.0,2.0,105,19,12,7,0,1,-4,-2,-1,-11
38,90,74,37,2,119.0,1.0,95,19,12,7,0,1,0,0,0,-11
39,93,79,40,7,122.0,1.0,105,20,17,10,5,4,1,1,1,-10
40,95,76,38,4,125.0,1.0,95,20,14,8,2,2,0,0,-1,-11
41,98,73,36,1,128.0,1.0,105,21,11,6,11,7,-3,-2,-1,-12
42,100,76,38,4,131.0,2.0,95,21,14,8,2,2,0,0,1,-11
43,102,73,36,1,134.0,2.0,105,22,11,6,11,7,-1,-1,-1,-12
44,104,73,36,1,137.0,1.0,95,22,11,6,11,7,4,2,0,-12
45,107,69,34,9,140.0,3.0,105,23,7,4,7,5,-4,-2,-1,-13
46,110,78,39,6,146.0,2.0,105,24,16,9,4,3,-1,-1,1,-12
47,112,81,41,9,149.0,1.0,95,24,19,11,7,5,0,0,1,-11
48,115,78,39,6,152.0,2.0,105,25,16,9,4,3,-3,-2,-1,-12
49,117,81,41,9,155.0,2.0,95,25,19,11,7,5,0,0,1,-11
50,119,78,39,6,158.0,2.0,105,26,16,9,4,3,-1,-1,-1,-12
51,121,78,39,6,161.0,1.0,95,26,16,9,4,3,4,2,0,-12
52,124,74,37,2,164.0,2.0,105,27,12,7,0,1,-4,-2,-1,-13
53,125,74,37,2,167.0,1.0,95,27,12,7,0,1,0,0,0,-13
54,128,81,41,9,170.0,1.0,105,28,19,11,7,5,3,2,1,-12
55,131,79,40,7,173.0,1.0,95,28,17,10,5,4,5,3,-1,-13
56,134,78,39,6,176.0,1.0,105,29,16,9,4,3,5,3,-1,-14
57,137,76,38,4,179.0,2.0,95,29,14,8,2,2,5,3,-1,-15
58,139,73,36,1,182.0,1.0,105,30,11,6,11,7,-5,-3,-1,-16
59,142,69,34,9,185.0,1.0,95,30,7,4,7,5,-7,-4,-1,-17
60,145,74,37,2,188.0,3.0,105,31,12,7,0,1,1,1,1,-16
