,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,3,81,41,9,3.0,1.0,95,0,14,8,2,2,9,5,1,1
2,6,76,38,4,6.0,1.0,105,1,9,5,9,6,-2,-1,-1,0
3,9,72,36,0,9.0,1.0,95,1,5,3,5,4,-2,-1,-1,-1
4,12,67,33,7,12.0,1.0,105,2,0,0,0,1,-2,-1,-1,-2
5,15,79,40,7,15.0,1.0,95,2,12,7,0,1,8,5,1,-1
6,18,71,35,11,18.0,1.0,105,3,4,2,4,3,-1,-1,-1,-2
7,21,71,35,11,21.0,1.0,95,3,4,2,4,3,-1,-1,0,-2
8,24,69,34,9,24.0,1.0,105,4,2,1,2,2,2,1,-1,-3
9,27,81,41,9,27.0,1.0,95,4,14,8,2,2,9,5,1,-2
10,30,76,38,4,30.0,1.0,105,5,9,5,9,6,-2,-1,-1,-3
11,33,81,41,9,33.0,2.0,95,5,14,8,2,2,2,1,1,-2
12,35,78,39,6,36.0,1.0,105,6,11,6,11,7,-1,-1,-1,-3
13,38,78,39,6,39.0,1.0,95,6,11,6,11,7,-1,-1,0,-3
14,41,71,35,11,42.0,1.0,105,7,4,2,4,3,-1,-1,-1,-4
15,44,69,34,9,45.0,3.0,95,7,2,1,2,2,-2,-1,-1,-5
16,45,69,34,9,48.0,1.0,105,8,2,1,2,2,0,0,0,-5
17,48,81,41,9,51.0,1.0,95,8,14,8,2,2,9,5,1,-4
18,51,76,38,4,54.0,1.0,105,9,9,5,9,6,-2,-1,-1,-5
19,54,72,36,0,57.0,1.0,95,9,5,3,5,4,-2,-1,-1,-6
20,57,67,33,7,60.0,1.0,105,10,0,0,0,1,-2,-1,-1,-7
21,60,79,40,7,63.0,1.0,95,10,12,7,0,1,8,5,1,-6
22,63,71,35,11,66.0,1.0,105,11,4,2,4,3,-1,-1,-1,-7
23,66,71,35,11,69.0,1.0,95,11,4,2,4,3,-1,-1,0,-7
24,69,69,34,9,72.0,1.0,105,12,2,1,2,2,2,1,-1,-8
25,72,81,41,9,75.0,1.0,95,12,14,8,2,2,9,5,1,-7
26,75,76,38,4,78.0,1.0,105,13,9,5,9,6,-2,-1,-1,-8
27,78,81,41,9,81.0,2.0,95,13,14,8,2,2,2,1,1,-7
28,80,78,39,6,84.0,1.0,105,14,11,6,11,7,-1,-1,-1,-8
29,83,78,39,6,87.0,1.0,95,14,11,6,11,7,-1,-1,0,-8
30,86,71,35,11,90.0,1.0,105,15,4,2,4,3,-1,-1,-1,-9
31,89,69,34,9,93.0,3.0,95,15,2,1,2,2,-2,-1,-1,-10
32,90,81,41,9,96.0,1.0,105,16,14,8,2,2,12,7,1,-9
33,93,79,40,7,99.0,1.0,95,16,12,7,0,1,-2,-1,-1,-10
34,96,81,41,9,102.0,1.0,105,17,14,8,2,2,2,1,1,-9
35,99,72,36,0,105.0,1.0,95,17,5,3,5,4,-2,-1,-1,-10
36,102,79,40,7,108.0,1.0,105,18,12,7,0,1,10,6,1,-9
37,105,78,39,6,111.0,1.0,95,18,11,6,11,7,-1,-1,-1,-10
38,108,79,40,7,114.0,1.0,105,19,12,7,0,1,1,1,1,-9
39,111,71,35,11,117.0,1.0,95,19,4,2,4,3,-1,-1,-1,-10
40,114,69,34,9,120.0,1.0,105,20,2,1,2,2,2,1,-1,-11
41,117,81,41,9,123.0,1.0,95,20,14,8,2,2,5,3,1,-10
42,120,76,38,4,126.0,1.0,105,21,9,5,9,6,-2,-1,-1,-11
43,123,81,41,9,129.0,2.0,95,21,14,8,2,2,2,1,1,-10
44,125,78,39,6,132.0,1.0,105,22,11,6,11,7,-1,-1,-1,-11
45,128,78,39,6,135.0,1.0,95,22,11,6,11,7,-1,-1,0,-11
46,131,71,35,11,138.0,1.0,105,23,4,2,4,3,-1,-1,-1,-12
47,134,69,34,9,141.0,3.0,95,23,2,1,2,2,-2,-1,-1,-13
48,135,81,41,9,144.0,1.0,105,24,14,8,2,2,12,7,1,-12
49,138,79,40,7,147.0,1.0,95,24,12,7,0,1,-2,-1,-1,-13
50,141,81,41,9,150.0,1.0,105,25,14,8,2,2,2,1,1,-12
51,144,72,36,0,153.0,1.0,95,25,5,3,5,4,-2,-1,-1,-13
52,147,79,40,7,156.0,1.0,105,26,12,7,0,1,10,6,1,-12
53,150,78,39,6,159.0,1.0,95,26,11,6,11,7,-1,-1,-1,-13
54,153,79,40,7,162.0,1.0,105,27,12,7,0,1,1,1,1,-12
55,156,71,35,11,165.0,1.0,95,27,4,2,4,3,-1,-1,-1,-13
56,159,69,34,9,168.0,1.0,105,28,2,1,2,2,2,1,-1,-14
57,162,81,41,9,171.0,1.0,95,28,14,8,2,2,5,3,1,-13
58,165,76,38,4,174.0,1.0,105,29,9,5,9,6,-2,-1,-1,-14
59,168,81,41,9,177.0,2.0,95,29,14,8,2,2,2,1,1,-13
60,170,78,39,6,180.0,1.0,105,30,11,6,11,7,-1,-1,-1,-14
61,173,78,39,6,183.0,1.0,95,30,11,6,11,7,-1,-1,0,-14
62,176,71,35,11,186.0,1.0,105,31,4,2,4,3,-1,-1,-1,-15
63,179,69,34,9,189.0,3.0,95,31,2,1,2,2,-2,-1,-1,-16
