,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,1.0,105,0,9,5,9,6,0,0,0,0
1,7,71,35,11,6.0,1.0,95,0,9,5,9,6,7,4,0,0
2,11,71,35,11,10.0,1.0,105,1,9,5,9,6,7,4,0,0
3,16,71,35,11,14.0,1.0,95,1,9,5,9,6,7,4,0,0
4,20,73,36,1,18.0,1.0,105,2,11,6,11,7,2,1,1,1
5,25,76,38,4,22.0,1.0,95,2,14,8,2,2,7,4,1,2
6,29,73,36,1,26.0,1.0,105,3,11,6,11,7,4,2,-1,1
7,33,76,38,4,30.0,2.0,95,3,14,8,2,2,-2,-1,1,2
8,36,71,35,11,34.0,1.0,105,4,9,5,9,6,-2,-1,-1,1
9,41,71,35,11,38.0,1.0,95,4,9,5,9,6,7,4,0,1
10,45,71,35,11,42.0,1.0,105,5,9,5,9,6,7,4,0,1
11,50,71,35,11,46.0,1.0,95,5,9,5,9,6,7,4,0,1
12,54,73,36,1,50.0,1.0,105,6,11,6,11,7,2,1,1,2
13,59,76,38,4,54.0,1.0,95,6,14,8,2,2,7,4,1,3
14,63,73,36,1,58.0,1.0,105,7,11,6,11,7,4,2,-1,2
15,67,76,38,4,62.0,2.0,95,7,14,8,2,2,-2,-1,1,3
16,70,78,39,6,66.0,2.0,105,8,16,9,4,3,2,1,1,4
17,73,74,37,2,70.0,1.0,95,8,12,7,0,1,-2,-1,-1,3
18,77,76,38,4,74.0,1.0,105,9,14,8,2,2,7,4,1,4
19,81,74,37,2,78.0,2.0,95,9,12,7,0,1,-2,-1,-1,3
20,84,78,39,6,82.0,2.0,105,10,16,9,4,3,2,1,1,4
21,87,78,39,6,86.0,1.0,95,10,16,9,4,3,2,1,0,4
22,91,76,38,4,90.0,1.0,105,11,14,8,2,2,-2,-1,-1,3
23,95,76,38,4,94.0,2.0,95,11,14,8,2,2,3,2,0,3
24,98,78,39,6,98.0,2.0,105,12,16,9,4,3,2,1,1,4
25,101,74,37,2,102.0,1.0,95,12,12,7,0,1,-2,-1,-1,3
26,105,76,38,4,106.0,1.0,105,13,14,8,2,2,7,4,1,4
27,109,74,37,2,110.0,2.0,95,13,12,7,0,1,-2,-1,-1,3
28,112,78,39,6,114.0,2.0,105,14,16,9,4,3,2,1,1,4
29,115,78,39,6,118.0,1.0,95,14,16,9,4,3,2,1,0,4
30,119,76,38,4,122.0,1.0,105,15,14,8,2,2,-2,-1,-1,3
31,123,76,38,4,126.0,2.0,95,15,14,8,2,2,3,2,0,3
