,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,73,36,1,1.0,1.0,105,0,4,2,4,3,0,0,0,0
1,6,69,34,9,5.0,2.0,95,0,0,0,0,1,0,0,-1,-1
2,9,57,27,9,9.0,1.0,105,1,-12,-7,0,1,-12,-7,-1,-2
3,13,73,36,1,13.0,1.0,95,1,4,2,4,3,4,2,1,-1
4,17,74,37,2,17.0,1.0,105,2,5,3,5,4,1,1,1,0
5,22,71,35,11,21.0,2.0,95,2,2,1,2,2,0,0,-1,-1
6,25,59,28,11,25.0,1.0,105,3,-10,-6,2,2,-12,-7,-1,-2
7,29,74,37,2,29.0,1.0,95,3,5,3,5,4,3,2,1,-1
8,33,73,36,1,33.0,1.0,105,4,4,2,4,3,-1,-1,-1,-2
9,38,69,34,9,37.0,2.0,95,4,0,0,0,1,0,0,-1,-3
10,41,57,27,9,41.0,1.0,105,5,-12,-7,0,1,-12,-7,-1,-4
11,45,73,36,1,45.0,1.0,95,5,4,2,4,3,4,2,1,-3
12,49,74,37,2,49.0,1.0,105,6,5,3,5,4,1,1,1,-2
13,53,78,39,6,53.0,1.0,95,6,9,5,9,6,4,2,1,-1
14,57,76,38,4,57.0,1.0,105,7,7,4,7,5,-2,-1,-1,-2
15,61,69,34,9,61.0,2.0,95,7,0,0,0,1,-2,-1,-1,-3
16,64,73,36,1,65.0,1.0,105,8,4,2,4,3,-3,-2,1,-2
17,69,69,34,9,69.0,2.0,95,8,0,0,0,1,0,0,-1,-3
18,72,57,27,9,73.0,1.0,105,9,-12,-7,0,1,-12,-7,-1,-4
19,76,73,36,1,77.0,1.0,95,9,4,2,4,3,4,2,1,-3
20,80,74,37,2,81.0,1.0,105,10,5,3,5,4,1,1,1,-2
21,85,71,35,11,85.0,2.0,95,10,2,1,2,2,0,0,-1,-3
22,88,59,28,11,89.0,1.0,105,11,-10,-6,2,2,-12,-7,-1,-4
23,92,74,37,2,93.0,1.0,95,11,5,3,5,4,3,2,1,-3
24,96,73,36,1,97.0,1.0,105,12,4,2,4,3,-1,-1,-1,-4
25,101,69,34,9,101.0,2.0,95,12,0,0,0,1,0,0,-1,-5
26,104,57,27,9,105.0,1.0,105,13,-12,-7,0,1,-12,-7,-1,-6
27,108,73,36,1,109.0,1.0,95,13,4,2,4,3,4,2,1,-5
28,112,74,37,2,113.0,1.0,105,14,5,3,5,4,1,1,1,-4
29,116,78,39,6,117.0,1.0,95,14,9,5,9,6,4,2,1,-3
30,120,76,38,4,121.0,1.0,105,15,7,4,7,5,-2,-1,-1,-4
31,124,69,34,9,125.0,2.0,95,15,0,0,0,1,-2,-1,-1,-5
32,127,73,36,1,129.0,1.0,105,16,4,2,4,3,-3,-2,1,-4
33,131,64,31,4,133.0,1.0,95,16,-5,-3,7,5,-5,-3,-1,-5
34,135,76,38,4,137.0,1.0,105,17,7,4,7,5,7,4,1,-4
35,139,78,39,6,141.0,1.0,95,17,9,5,9,6,2,1,1,-3
36,143,74,37,2,145.0,1.0,105,18,5,3,5,4,1,1,-1,-4
37,147,66,32,6,149.0,1.0,95,18,-3,-2,9,6,-5,-3,-1,-5
38,151,78,39,6,153.0,1.0,105,19,9,5,9,6,7,4,1,-4
39,155,83,42,11,157.0,1.0,95,19,14,8,2,2,5,3,1,-3
40,159,73,36,1,161.0,1.0,105,20,4,2,4,3,-1,-1,-1,-4
41,163,64,31,4,165.0,1.0,95,20,-5,-3,7,5,-5,-3,-1,-5
42,167,76,38,4,169.0,1.0,105,21,7,4,7,5,7,4,1,-4
43,171,78,39,6,173.0,1.0,95,21,9,5,9,6,2,1,1,-3
44,175,74,37,2,177.0,1.0,105,22,5,3,5,4,1,1,-1,-4
45,179,78,39,6,181.0,1.0,95,22,9,5,9,6,4,2,1,-3
46,183,76,38,4,185.0,1.0,105,23,7,4,7,5,-2,-1,-1,-4
47,187,69,34,9,189.0,2.0,95,23,0,0,0,1,-2,-1,-1,-5
48,190,73,36,1,193.0,1.0,105,24,4,2,4,3,-3,-2,1,-4
49,194,64,31,4,197.0,1.0,95,24,-5,-3,7,5,-5,-3,-1,-5
50,198,76,38,4,201.0,1.0,105,25,7,4,7,5,7,4,1,-4
51,202,78,39,6,205.0,1.0,95,25,9,5,9,6,2,1,1,-3
52,206,74,37,2,209.0,1.0,105,26,5,3,5,4,1,1,-1,-4
53,210,66,32,6,213.0,1.0,95,26,-3,-2,9,6,-5,-3,-1,-5
54,214,78,39,6,217.0,1.0,105,27,9,5,9,6,7,4,1,-4
55,218,83,42,11,221.0,1.0,95,27,14,8,2,2,5,3,1,-3
56,222,73,36,1,225.0,1.0,105,28,4,2,4,3,-1,-1,-1,-4
57,226,64,31,4,229.0,1.0,95,28,-5,-3,7,5,-5,-3,-1,-5
58,230,76,38,4,233.0,1.0,105,29,7,4,7,5,7,4,1,-4
59,234,78,39,6,237.0,1.0,95,29,9,5,9,6,2,1,1,-3
60,238,74,37,2,241.0,1.0,105,30,5,3,5,4,1,1,-1,-4
61,242,78,39,6,245.0,1.0,95,30,9,5,9,6,4,2,1,-3
62,246,76,38,4,249.0,1.0,105,31,7,4,7,5,-2,-1,-1,-4
63,250,69,34,9,253.0,2.0,95,31,0,0,0,1,-2,-1,-1,-5
