,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,73,36,1,3.0,1.0,95,0,4,2,4,3,4,2,1,1
2,6,76,38,4,6.0,1.0,105,1,7,4,7,5,7,4,1,2
3,9,69,34,9,9.0,1.0,95,1,0,0,0,1,0,0,-1,1
4,12,74,37,2,12.0,1.0,105,2,5,3,5,4,1,1,1,2
5,15,76,38,4,15.0,1.0,95,2,7,4,7,5,-2,-1,1,3
6,18,71,35,11,18.0,1.0,105,3,2,1,2,2,2,1,-1,2
7,21,73,36,1,21.0,1.0,95,3,4,2,4,3,2,1,1,3
8,24,69,34,9,24.0,1.0,105,4,0,0,0,1,3,2,-1,2
9,27,69,34,9,27.0,1.0,95,4,0,0,0,1,0,0,0,2
10,30,71,35,11,30.0,1.0,105,5,2,1,2,2,-2,-1,1,3
11,33,66,32,6,33.0,1.0,95,5,-3,-2,9,6,0,0,-1,2
12,36,69,34,9,36.0,1.0,105,6,0,0,0,1,3,2,1,3
13,39,78,39,6,39.0,1.0,95,6,9,5,9,6,2,1,1,4
14,42,76,38,4,42.0,1.0,105,7,7,4,7,5,-2,-1,-1,3
15,45,69,34,9,45.0,1.0,95,7,0,0,0,1,-2,-1,-1,2
16,48,69,34,9,48.0,1.0,105,8,0,0,0,1,5,3,0,2
17,51,69,34,9,51.0,1.0,95,8,0,0,0,1,0,0,0,2
18,54,71,35,11,54.0,1.0,105,9,2,1,2,2,-2,-1,1,3
19,57,66,32,6,57.0,1.0,95,9,-3,-2,9,6,0,0,-1,2
20,60,69,34,9,60.0,1.0,105,10,0,0,0,1,3,2,1,3
21,63,71,35,11,63.0,1.0,95,10,2,1,2,2,2,1,1,4
22,66,78,39,6,66.0,1.0,105,11,9,5,9,6,2,1,1,5
23,69,76,38,4,69.0,1.0,95,11,7,4,7,5,-2,-1,-1,4
24,72,69,34,9,72.0,1.0,105,12,0,0,0,1,-2,-1,-1,3
25,75,69,34,9,75.0,1.0,95,12,0,0,0,1,0,0,0,3
26,78,71,35,11,78.0,1.0,105,13,2,1,2,2,-2,-1,1,4
27,81,66,32,6,81.0,1.0,95,13,-3,-2,9,6,0,0,-1,3
28,84,69,34,9,84.0,1.0,105,14,0,0,0,1,3,2,1,4
29,87,78,39,6,87.0,1.0,95,14,9,5,9,6,2,1,1,5
30,90,76,38,4,90.0,1.0,105,15,7,4,7,5,-2,-1,-1,4
31,93,69,34,9,93.0,1.0,95,15,0,0,0,1,-2,-1,-1,3
32,96,76,38,4,96.0,1.0,105,16,7,4,7,5,3,2,1,4
33,99,69,34,9,99.0,1.0,95,16,0,0,0,1,-2,-1,-1,3
34,102,78,39,6,102.0,1.0,105,17,9,5,9,6,2,1,1,4
35,105,78,39,6,105.0,1.0,95,17,9,5,9,6,0,0,0,4
36,108,69,34,9,108.0,1.0,105,18,0,0,0,1,-4,-2,-1,3
37,111,71,35,11,111.0,1.0,95,18,2,1,2,2,0,0,1,4
38,114,76,38,4,114.0,1.0,105,19,7,4,7,5,0,0,1,5
39,117,78,39,6,117.0,1.0,95,19,9,5,9,6,0,0,1,6
40,120,78,39,6,120.0,1.0,105,20,9,5,9,6,-3,-2,0,6
41,123,76,38,4,123.0,1.0,95,20,7,4,7,5,3,2,-1,5
42,126,69,34,9,126.0,1.0,105,21,0,0,0,1,-2,-1,-1,4
43,129,71,35,11,129.0,1.0,95,21,2,1,2,2,2,1,1,5
44,132,64,31,4,132.0,1.0,105,22,-5,-3,7,5,-2,-1,-1,4
45,135,76,38,4,135.0,1.0,95,22,7,4,7,5,12,7,1,5
46,138,71,35,11,138.0,1.0,105,23,2,1,2,2,2,1,-1,4
47,141,69,34,9,141.0,1.0,95,23,0,0,0,1,-2,-1,-1,3
48,144,76,38,4,144.0,1.0,105,24,7,4,7,5,3,2,1,4
49,147,69,34,9,147.0,1.0,95,24,0,0,0,1,-2,-1,-1,3
50,150,78,39,6,150.0,1.0,105,25,9,5,9,6,2,1,1,4
51,153,78,39,6,153.0,1.0,95,25,9,5,9,6,-3,-2,0,4
52,156,69,34,9,156.0,1.0,105,26,0,0,0,1,-4,-2,-1,3
53,159,71,35,11,159.0,1.0,95,26,2,1,2,2,0,0,1,4
54,162,76,38,4,162.0,1.0,105,27,7,4,7,5,0,0,1,5
55,165,78,39,6,165.0,1.0,95,27,9,5,9,6,0,0,1,6
56,168,78,39,6,168.0,1.0,105,28,9,5,9,6,-3,-2,0,6
57,171,76,38,4,171.0,1.0,95,28,7,4,7,5,3,2,-1,5
58,174,69,34,9,174.0,1.0,105,29,0,0,0,1,-2,-1,-1,4
59,178,71,35,11,177.0,1.0,95,29,2,1,2,2,2,1,1,5
60,181,64,31,4,180.0,1.0,105,30,-5,-3,7,5,-2,-1,-1,4
61,184,76,38,4,183.0,1.0,95,30,7,4,7,5,12,7,1,5
62,187,71,35,11,186.0,1.0,105,31,2,1,2,2,2,1,-1,4
63,190,69,34,9,189.0,1.0,95,31,0,0,0,1,-2,-1,-1,3
