,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,6,64,31,4,5.0,1.0,95,0,2,1,2,2,-2,-1,-1,-1
2,10,66,32,6,9.0,2.0,105,1,4,2,4,3,2,1,1,0
3,13,71,35,11,13.0,1.0,95,1,9,5,9,6,5,3,1,1
4,17,64,31,4,17.0,2.0,105,2,2,1,2,2,-2,-1,-1,0
5,20,74,37,2,21.0,1.0,95,2,12,7,0,1,10,6,1,1
6,24,69,34,9,25.0,1.0,105,3,7,4,7,5,5,3,-1,0
7,28,78,39,6,29.0,1.0,95,3,16,9,4,3,2,1,1,1
8,32,69,34,9,33.0,1.0,105,4,7,4,7,5,-2,-1,-1,0
9,37,64,31,4,37.0,1.0,95,4,2,1,2,2,-2,-1,-1,-1
10,41,66,32,6,41.0,2.0,105,5,4,2,4,3,2,1,1,0
11,44,71,35,11,45.0,1.0,95,5,9,5,9,6,5,3,1,1
12,48,64,31,4,49.0,2.0,105,6,2,1,2,2,-2,-1,-1,0
13,51,74,37,2,53.0,1.0,95,6,12,7,0,1,10,6,1,1
14,55,69,34,9,57.0,1.0,105,7,7,4,7,5,5,3,-1,0
15,59,74,37,2,61.0,2.0,95,7,12,7,0,1,-2,-1,1,1
16,62,69,34,9,65.0,1.0,105,8,7,4,7,5,-2,-1,-1,0
17,67,64,31,4,69.0,1.0,95,8,2,1,2,2,-2,-1,-1,-1
18,71,66,32,6,73.0,2.0,105,9,4,2,4,3,2,1,1,0
19,74,71,35,11,77.0,1.0,95,9,9,5,9,6,5,3,1,1
20,78,64,31,4,81.0,2.0,105,10,2,1,2,2,-2,-1,-1,0
21,81,74,37,2,85.0,1.0,95,10,12,7,0,1,10,6,1,1
22,85,69,34,9,89.0,1.0,105,11,7,4,7,5,5,3,-1,0
23,89,78,39,6,93.0,1.0,95,11,16,9,4,3,2,1,1,1
24,93,69,34,9,97.0,1.0,105,12,7,4,7,5,-2,-1,-1,0
25,98,64,31,4,101.0,1.0,95,12,2,1,2,2,-2,-1,-1,-1
26,102,66,32,6,105.0,2.0,105,13,4,2,4,3,2,1,1,0
27,105,71,35,11,109.0,1.0,95,13,9,5,9,6,5,3,1,1
28,109,64,31,4,113.0,2.0,105,14,2,1,2,2,-2,-1,-1,0
29,112,74,37,2,117.0,1.0,95,14,12,7,0,1,10,6,1,1
30,116,69,34,9,121.0,1.0,105,15,7,4,7,5,5,3,-1,0
31,120,74,37,2,125.0,2.0,95,15,12,7,0,1,-2,-1,1,1
32,123,78,39,6,129.0,1.0,105,16,16,9,4,3,-1,-1,1,2
33,127,74,37,2,133.0,2.0,95,16,12,7,0,1,1,1,-1,1
34,130,78,39,6,137.0,1.0,105,17,16,9,4,3,-1,-1,1,2
35,134,74,37,2,141.0,1.0,95,17,12,7,0,1,1,1,-1,1
36,138,76,38,4,145.0,1.0,105,18,14,8,2,2,-2,-1,1,2
37,143,76,38,4,149.0,1.0,95,18,14,8,2,2,7,4,0,2
38,147,76,38,4,153.0,1.0,105,19,14,8,2,2,7,4,0,2
39,152,76,38,4,157.0,1.0,95,19,14,8,2,2,7,4,0,2
40,156,78,39,6,161.0,1.0,105,20,16,9,4,3,-1,-1,1,3
41,160,74,37,2,165.0,2.0,95,20,12,7,0,1,1,1,-1,2
42,163,78,39,6,169.0,1.0,105,21,16,9,4,3,-1,-1,1,3
43,167,74,37,2,173.0,1.0,95,21,12,7,0,1,1,1,-1,2
44,171,79,40,7,177.0,2.0,105,22,17,10,5,4,1,1,1,3
45,174,79,40,7,181.0,1.0,95,22,17,10,5,4,1,1,0,3
46,178,78,39,6,185.0,1.0,105,23,16,9,4,3,-1,-1,-1,2
47,182,74,37,2,189.0,2.0,95,23,12,7,0,1,1,1,-1,1
48,185,78,39,6,193.0,1.0,105,24,16,9,4,3,-1,-1,1,2
49,189,74,37,2,197.0,2.0,95,24,12,7,0,1,1,1,-1,1
50,192,78,39,6,201.0,1.0,105,25,16,9,4,3,-1,-1,1,2
51,196,74,37,2,205.0,1.0,95,25,12,7,0,1,1,1,-1,1
52,200,76,38,4,209.0,1.0,105,26,14,8,2,2,-2,-1,1,2
53,205,76,38,4,213.0,1.0,95,26,14,8,2,2,7,4,0,2
54,209,76,38,4,217.0,1.0,105,27,14,8,2,2,7,4,0,2
55,214,76,38,4,221.0,1.0,95,27,14,8,2,2,7,4,0,2
56,218,78,39,6,225.0,1.0,105,28,16,9,4,3,-1,-1,1,3
57,222,74,37,2,229.0,2.0,95,28,12,7,0,1,1,1,-1,2
58,225,78,39,6,233.0,1.0,105,29,16,9,4,3,-1,-1,1,3
59,229,74,37,2,237.0,1.0,95,29,12,7,0,1,1,1,-1,2
60,233,79,40,7,241.0,2.0,105,30,17,10,5,4,1,1,1,3
61,236,79,40,7,245.0,1.0,95,30,17,10,5,4,1,1,0,3
62,240,78,39,6,249.0,1.0,105,31,16,9,4,3,-1,-1,-1,2
63,244,74,37,2,253.0,2.0,95,31,12,7,0,1,1,1,-1,1
