,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,2.0,2.0,105,0,12,7,0,1,0,0,0,0
1,5,62,30,2,6.0,2.0,95,0,0,0,0,1,0,0,-1,-1
2,8,66,32,6,10.0,1.33,105,1,4,2,4,3,-1,-1,1,0
3,12,74,37,2,14.0,1.33,95,1,12,7,0,1,1,1,1,1
4,16,76,38,4,18.0,2.0,105,2,14,8,2,2,2,1,1,2
5,18,64,31,4,22.0,2.0,95,2,2,1,2,2,0,0,-1,1
6,21,73,36,1,26.0,1.33,105,3,11,6,11,7,-1,-1,1,2
7,25,81,41,9,30.0,2.0,95,3,19,11,7,5,1,1,1,3
8,27,79,40,7,34.0,1.33,105,4,17,10,5,4,1,1,-1,2
9,31,83,42,11,38.0,1.33,95,4,21,12,9,6,2,1,1,3
10,35,79,40,7,42.0,1.33,105,5,17,10,5,4,1,1,-1,2
11,39,74,37,2,46.0,1.33,95,5,12,7,0,1,1,1,-1,1
12,43,71,35,11,50.0,1.33,105,6,9,5,9,6,2,1,-1,0
13,47,74,37,2,54.0,1.33,95,6,12,7,0,1,-2,-1,1,1
14,51,78,39,6,58.0,2.0,105,7,16,9,4,3,-1,-1,1,2
15,53,74,37,2,62.0,2.0,95,7,12,7,0,1,0,0,-1,1
16,57,74,37,2,66.0,2.0,105,8,12,7,0,1,1,1,0,1
17,59,62,30,2,70.0,2.0,95,8,0,0,0,1,0,0,-1,0
18,62,66,32,6,74.0,1.33,105,9,4,2,4,3,-1,-1,1,1
19,66,74,37,2,78.0,1.33,95,9,12,7,0,1,1,1,1,2
20,70,76,38,4,82.0,2.0,105,10,14,8,2,2,2,1,1,3
21,72,64,31,4,86.0,2.0,95,10,2,1,2,2,0,0,-1,2
22,75,73,36,1,90.0,1.33,105,11,11,6,11,7,-1,-1,1,3
23,79,81,41,9,94.0,2.0,95,11,19,11,7,5,1,1,1,4
24,81,79,40,7,98.0,1.33,105,12,17,10,5,4,1,1,-1,3
25,85,83,42,11,102.0,1.33,95,12,21,12,9,6,2,1,1,4
26,89,79,40,7,106.0,1.33,105,13,17,10,5,4,1,1,-1,3
27,93,74,37,2,110.0,1.33,95,13,12,7,0,1,1,1,-1,2
28,97,71,35,11,114.0,1.33,105,14,9,5,9,6,2,1,-1,1
29,101,74,37,2,118.0,1.33,95,14,12,7,0,1,-2,-1,1,2
30,105,78,39,6,122.0,2.0,105,15,16,9,4,3,-1,-1,1,3
31,107,74,37,2,126.0,2.0,95,15,12,7,0,1,0,0,-1,2
32,110,66,32,6,130.0,1.33,105,16,4,2,4,3,-1,-1,-1,1
33,114,66,32,6,134.0,1.33,95,16,4,2,4,3,-3,-2,0,1
34,118,71,35,11,138.0,2.0,105,17,9,5,9,6,2,1,1,2
35,120,67,33,7,142.0,2.0,95,17,5,3,5,4,0,0,-1,1
36,123,67,33,7,146.0,1.33,105,18,5,3,5,4,1,1,0,1
37,127,68,33,8,150.0,1.33,95,18,6,3,6,4,-5,-3,1,2
38,131,73,36,1,154.0,2.0,105,19,11,6,11,7,-1,-1,1,3
39,133,69,34,9,158.0,2.0,95,19,7,4,7,5,0,0,-1,2
40,136,79,40,7,162.0,1.33,105,20,17,10,5,4,1,1,1,3
41,140,83,42,11,166.0,1.33,95,20,21,12,9,6,2,1,1,4
42,144,79,40,7,170.0,1.33,105,21,17,10,5,4,1,1,-1,3
43,148,74,37,2,174.0,1.33,95,21,12,7,0,1,1,1,-1,2
44,152,71,35,11,178.0,1.33,105,22,9,5,9,6,2,1,-1,1
45,156,74,37,2,182.0,1.33,95,22,12,7,0,1,-2,-1,1,2
46,160,78,39,6,186.0,2.0,105,23,16,9,4,3,-1,-1,1,3
47,162,74,37,2,190.0,2.0,95,23,12,7,0,1,0,0,-1,2
48,165,66,32,6,194.0,1.33,105,24,4,2,4,3,-1,-1,-1,1
49,169,66,32,6,198.0,1.33,95,24,4,2,4,3,-3,-2,0,1
50,173,71,35,11,202.0,2.0,105,25,9,5,9,6,2,1,1,2
51,175,67,33,7,206.0,2.0,95,25,5,3,5,4,0,0,-1,1
52,178,67,33,7,210.0,1.33,105,26,5,3,5,4,1,1,0,1
53,182,68,33,8,214.0,1.33,95,26,6,3,6,4,-5,-3,1,2
54,186,73,36,1,218.0,2.0,105,27,11,6,11,7,-1,-1,1,3
55,188,69,34,9,222.0,2.0,95,27,7,4,7,5,0,0,-1,2
56,191,79,40,7,226.0,1.33,105,28,17,10,5,4,1,1,1,3
57,195,83,42,11,230.0,1.33,95,28,21,12,9,6,2,1,1,4
58,199,79,40,7,234.0,1.33,105,29,17,10,5,4,1,1,-1,3
59,203,74,37,2,238.0,1.33,95,29,12,7,0,1,1,1,-1,2
60,207,71,35,11,242.0,1.33,105,30,9,5,9,6,2,1,-1,1
61,211,74,37,2,246.0,1.33,95,30,12,7,0,1,-2,-1,1,2
62,215,78,39,6,250.0,2.0,105,31,16,9,4,3,-1,-1,1,3
63,217,74,37,2,254.0,2.0,95,31,12,7,0,1,0,0,-1,2
