,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.5,105,0,4,2,4,3,0,0,0,0
1,2,69,34,9,3.0,1.5,95,0,7,4,7,5,0,0,1,1
2,4,69,34,9,6.0,3.0,95,0,7,4,7,5,-2,-1,0,1
3,5,66,32,6,9.0,1.5,105,1,4,2,4,3,-3,-2,-1,0
4,7,69,34,9,12.0,1.5,95,1,7,4,7,5,0,0,1,1
5,9,71,35,11,15.0,0.67,95,1,9,5,9,6,9,5,1,2
6,12,66,32,6,17.5,1.5,105,2,4,2,4,3,-8,-5,-1,1
7,14,69,34,9,20.5,1.5,95,2,7,4,7,5,0,0,1,2
8,16,69,34,9,23.5,3.0,95,2,7,4,7,5,-2,-1,0,2
9,17,76,38,4,26.5,1.5,105,3,14,8,2,2,7,4,1,3
10,19,76,38,4,29.5,1.5,95,3,14,8,2,2,-2,-1,0,3
11,21,71,35,11,32.5,1.5,95,3,9,5,9,6,-3,-2,-1,2
12,23,66,32,6,35.5,1.5,105,4,4,2,4,3,-3,-2,-1,1
13,25,69,34,9,38.5,1.5,95,4,7,4,7,5,0,0,1,2
14,27,69,34,9,41.5,3.0,95,4,7,4,7,5,-2,-1,0,2
15,28,66,32,6,44.5,1.5,105,5,4,2,4,3,-3,-2,-1,1
16,30,69,34,9,47.5,1.5,95,5,7,4,7,5,0,0,1,2
17,32,71,35,11,50.5,0.67,95,5,9,5,9,6,9,5,1,3
18,35,66,32,6,53.0,1.5,105,6,4,2,4,3,-8,-5,-1,2
19,37,69,34,9,56.0,1.5,95,6,7,4,7,5,0,0,1,3
20,39,69,34,9,59.0,3.0,95,6,7,4,7,5,-2,-1,0,3
21,40,76,38,4,62.0,1.5,105,7,14,8,2,2,7,4,1,4
22,42,76,38,4,65.0,1.5,95,7,14,8,2,2,-2,-1,0,4
23,44,71,35,11,68.0,1.5,95,7,9,5,9,6,-3,-2,-1,3
24,46,78,39,6,71.0,1.5,105,8,16,9,4,3,9,5,1,4
25,48,81,41,9,74.0,1.5,95,8,19,11,7,5,0,0,1,5
26,50,74,37,2,77.0,3.0,95,8,12,7,0,1,-4,-2,-1,4
27,51,76,38,4,80.0,1.5,105,9,14,8,2,2,2,1,1,5
28,53,76,38,4,83.0,1.5,95,9,14,8,2,2,-2,-1,0,5
29,55,71,35,11,86.0,1.5,95,9,9,5,9,6,-3,-2,-1,4
30,57,78,39,6,89.0,1.5,105,10,16,9,4,3,9,5,1,5
31,59,76,38,4,92.0,1.5,95,10,14,8,2,2,2,1,-1,4
32,61,74,37,2,95.0,3.0,95,10,12,7,0,1,1,1,-1,3
33,62,71,35,11,98.0,1.5,105,11,9,5,9,6,-3,-2,-1,2
34,64,71,35,11,101.0,1.5,95,11,9,5,9,6,-1,-1,0,2
35,66,66,32,6,104.0,0.67,95,11,4,2,4,3,-3,-2,-1,1
36,74,76,38,4,115.5,1.5,105,12,14,8,2,2,2,1,1,2
37,76,76,38,4,118.5,1.5,95,12,14,8,2,2,-2,-1,0,2
38,78,71,35,11,121.5,1.5,95,12,9,5,9,6,-3,-2,-1,1
39,80,78,39,6,124.5,1.5,105,13,16,9,4,3,9,5,1,2
40,82,76,38,4,127.5,1.5,95,13,14,8,2,2,2,1,-1,1
41,84,74,37,2,130.5,3.0,95,13,12,7,0,1,1,1,-1,0
42,85,71,35,11,133.5,1.5,105,14,9,5,9,6,-3,-2,-1,-1
43,87,71,35,11,136.5,1.5,95,14,9,5,9,6,-1,-1,0,-1
44,89,66,32,6,139.5,0.67,95,14,4,2,4,3,-3,-2,-1,-2
