,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,2,73,36,1,3.0,1.0,95,0,2,1,2,2,-1,-1,1,1
2,5,71,35,11,6.0,2.0,105,1,0,0,0,1,0,0,-1,0
3,7,78,39,6,9.0,1.0,95,1,7,4,7,5,4,2,1,1
4,10,71,35,11,12.0,2.0,105,2,0,0,0,1,-7,-4,-1,0
5,12,73,36,1,15.0,1.0,95,2,2,1,2,2,-1,-1,1,1
6,15,73,36,1,18.0,1.0,105,3,2,1,2,2,2,1,0,1
7,18,78,39,6,21.0,1.0,95,3,7,4,7,5,9,5,1,2
8,21,71,35,11,24.0,2.0,105,4,0,0,0,1,-2,-1,-1,1
9,23,73,36,1,27.0,1.0,95,4,2,1,2,2,-1,-1,1,2
10,26,71,35,11,30.0,2.0,105,5,0,0,0,1,0,0,-1,1
11,28,78,39,6,33.0,1.0,95,5,7,4,7,5,4,2,1,2
12,31,71,35,11,36.0,2.0,105,6,0,0,0,1,-7,-4,-1,1
13,33,73,36,1,39.0,1.0,95,6,2,1,2,2,-1,-1,1,2
14,36,73,36,1,42.0,1.0,105,7,2,1,2,2,2,1,0,2
15,39,78,39,6,45.0,1.0,95,7,7,4,7,5,9,5,1,3
16,42,74,37,2,48.0,1.0,105,8,3,2,3,3,1,1,-1,2
17,45,74,37,2,51.0,1.0,95,8,3,2,3,3,-2,-1,0,2
18,48,74,37,2,54.0,2.0,105,9,3,2,3,3,5,3,0,2
19,50,78,39,6,57.0,1.0,95,9,7,4,7,5,-3,-2,1,3
20,53,74,37,2,60.0,1.0,105,10,3,2,3,3,-4,-2,-1,2
21,56,74,37,2,63.0,1.0,95,10,3,2,3,3,-2,-1,0,2
22,59,73,36,1,66.0,1.0,105,11,2,1,2,2,-1,-1,-1,1
23,62,78,39,6,69.0,1.0,95,11,7,4,7,5,9,5,1,2
24,65,74,37,2,72.0,1.0,105,12,3,2,3,3,1,1,-1,1
25,68,74,37,2,75.0,1.0,95,12,3,2,3,3,-2,-1,0,1
26,71,74,37,2,78.0,2.0,105,13,3,2,3,3,5,3,0,1
27,73,78,39,6,81.0,1.0,95,13,7,4,7,5,-3,-2,1,2
28,76,74,37,2,84.0,1.0,105,14,3,2,3,3,-4,-2,-1,1
29,79,74,37,2,87.0,1.0,95,14,3,2,3,3,-2,-1,0,1
30,82,73,36,1,90.0,1.0,105,15,2,1,2,2,-1,-1,-1,0
31,85,78,39,6,93.0,1.0,95,15,7,4,7,5,9,5,1,1
