,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,71,35,11,1.0,1.0,105,0,4,2,4,3,0,0,0,0
1,5,71,35,11,5.0,3.0,95,0,4,2,4,3,4,2,0,0
2,7,71,35,11,9.0,1.0,105,1,4,2,4,3,2,1,0,0
3,11,74,37,2,13.0,3.0,95,1,7,4,7,5,3,2,1,1
4,13,76,38,4,17.0,1.0,105,2,9,5,9,6,2,1,1,2
5,17,71,35,11,21.0,3.0,95,2,4,2,4,3,-3,-2,-1,1
6,19,69,34,9,25.0,1.0,105,3,2,1,2,2,2,1,-1,0
7,23,69,34,9,29.0,2.0,95,3,2,1,2,2,2,1,0,0
8,26,71,35,11,33.0,1.0,105,4,4,2,4,3,2,1,1,1
9,30,71,35,11,37.0,3.0,95,4,4,2,4,3,4,2,0,1
10,32,71,35,11,41.0,1.0,105,5,4,2,4,3,2,1,0,1
11,36,74,37,2,45.0,3.0,95,5,7,4,7,5,3,2,1,2
12,38,76,38,4,49.0,1.0,105,6,9,5,9,6,2,1,1,3
13,42,71,35,11,53.0,3.0,95,6,4,2,4,3,-3,-2,-1,2
14,44,69,34,9,57.0,1.0,105,7,2,1,2,2,2,1,-1,1
15,48,67,33,7,61.0,4.0,95,7,0,0,0,1,-2,-1,-1,0
16,49,69,34,9,65.0,1.0,105,8,2,1,2,2,2,1,1,1
17,50,71,35,11,66.0,1.0,105,9,4,2,4,3,2,1,1,2
18,54,71,35,11,70.0,3.0,95,9,4,2,4,3,4,2,0,2
19,56,71,35,11,74.0,1.0,105,10,4,2,4,3,2,1,0,2
20,60,74,37,2,78.0,3.0,95,10,7,4,7,5,3,2,1,3
21,62,76,38,4,82.0,1.0,105,11,9,5,9,6,2,1,1,4
22,66,71,35,11,86.0,3.0,95,11,4,2,4,3,-3,-2,-1,3
23,68,69,34,9,90.0,1.0,105,12,2,1,2,2,2,1,-1,2
24,72,69,34,9,94.0,2.0,95,12,2,1,2,2,2,1,0,2
25,75,71,35,11,98.0,1.0,105,13,4,2,4,3,2,1,1,3
26,79,71,35,11,102.0,3.0,95,13,4,2,4,3,4,2,0,3
27,81,71,35,11,106.0,1.0,105,14,4,2,4,3,2,1,0,3
28,85,74,37,2,110.0,3.0,95,14,7,4,7,5,3,2,1,4
29,87,76,38,4,114.0,1.0,105,15,9,5,9,6,2,1,1,5
30,91,71,35,11,118.0,3.0,95,15,4,2,4,3,-3,-2,-1,4
31,93,69,34,9,122.0,1.0,105,16,2,1,2,2,2,1,-1,3
32,97,67,33,7,126.0,4.0,95,16,0,0,0,1,-2,-1,-1,2
33,98,79,40,7,130.0,1.0,105,17,12,7,0,1,12,7,1,3
34,100,79,40,7,132.0,2.0,105,18,12,7,0,1,1,1,0,3
35,103,71,35,11,136.0,3.0,95,18,4,2,4,3,-3,-2,-1,2
36,105,71,35,11,140.0,1.0,105,19,4,2,4,3,2,1,0,2
37,109,74,37,2,144.0,3.0,95,19,7,4,7,5,3,2,1,3
38,111,76,38,4,148.0,1.0,105,20,9,5,9,6,2,1,1,4
39,115,71,35,11,152.0,3.0,95,20,4,2,4,3,-3,-2,-1,3
40,117,69,34,9,156.0,1.0,105,21,2,1,2,2,2,1,-1,2
41,121,69,34,9,160.0,4.0,95,21,2,1,2,2,2,1,0,2
42,122,79,40,7,164.0,2.0,105,22,12,7,0,1,10,6,1,3
43,125,71,35,11,168.0,3.0,95,22,4,2,4,3,-3,-2,-1,2
44,127,71,35,11,172.0,1.0,105,23,4,2,4,3,2,1,0,2
45,131,74,37,2,176.0,3.0,95,23,7,4,7,5,3,2,1,3
46,133,76,38,4,180.0,1.0,105,24,9,5,9,6,2,1,1,4
47,137,71,35,11,184.0,3.0,95,24,4,2,4,3,-3,-2,-1,3
48,139,69,34,9,188.0,1.0,105,25,2,1,2,2,2,1,-1,2
49,143,67,33,7,192.0,2.0,95,25,0,0,0,1,-2,-1,-1,1
50,146,79,40,7,196.0,2.0,105,26,12,7,0,1,1,1,1,2
51,149,71,35,11,200.0,3.0,95,26,4,2,4,3,-3,-2,-1,1
52,151,71,35,11,204.0,1.0,105,27,4,2,4,3,2,1,0,1
53,155,74,37,2,208.0,3.0,95,27,7,4,7,5,3,2,1,2
54,157,76,38,4,212.0,1.0,105,28,9,5,9,6,2,1,1,3
55,161,71,35,11,216.0,3.0,95,28,4,2,4,3,-3,-2,-1,2
56,163,69,34,9,220.0,1.0,105,29,2,1,2,2,2,1,-1,1
57,167,69,34,9,224.0,4.0,95,29,2,1,2,2,2,1,0,1
58,168,71,35,11,228.0,1.0,105,30,4,2,4,3,2,1,1,2
59,172,71,35,11,232.0,3.0,95,30,4,2,4,3,4,2,0,2
60,174,71,35,11,236.0,1.0,105,31,4,2,4,3,2,1,0,2
61,178,74,37,2,240.0,3.0,95,31,7,4,7,5,3,2,1,3
62,180,76,38,4,244.0,1.0,105,32,9,5,9,6,2,1,1,4
63,184,71,35,11,248.0,3.0,95,32,4,2,4,3,-3,-2,-1,3
64,186,69,34,9,252.0,1.0,105,33,2,1,2,2,2,1,-1,2
65,190,67,33,7,256.0,4.0,95,33,0,0,0,1,-2,-1,-1,1
