,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,71,35,11,4.0,2.0,95,0,4,2,4,3,2,1,1,1
2,5,74,37,2,7.0,2.0,105,1,7,4,7,5,2,1,1,2
3,7,74,37,2,10.0,2.0,95,1,7,4,7,5,-5,-3,0,2
4,9,71,35,11,13.0,1.0,105,2,4,2,4,3,-1,-1,-1,1
5,12,67,33,7,16.0,1.0,95,2,0,0,0,1,-4,-2,-1,0
6,15,72,36,0,19.0,2.0,105,3,5,3,5,4,1,1,1,1
7,17,69,34,9,22.0,2.0,95,3,2,1,2,2,-2,-1,-1,0
8,19,74,37,2,25.0,2.0,105,4,7,4,7,5,0,0,1,1
9,21,76,38,4,28.0,1.0,95,4,9,5,9,6,2,1,1,2
10,24,81,41,9,31.0,2.0,105,5,14,8,2,2,2,1,1,3
11,26,74,37,2,34.0,2.0,95,5,7,4,7,5,-4,-2,-1,2
12,28,78,39,6,37.0,1.0,105,6,11,6,11,7,-1,-1,1,3
13,31,69,34,9,40.0,1.0,95,6,2,1,2,2,-5,-3,-1,2
14,34,74,37,2,43.0,3.0,105,7,7,4,7,5,1,1,1,3
15,35,74,37,2,46.0,2.0,95,7,7,4,7,5,0,0,0,3
16,37,67,33,7,49.0,2.0,105,8,0,0,0,1,5,3,-1,2
17,39,71,35,11,52.0,2.0,95,8,4,2,4,3,2,1,1,3
18,41,74,37,2,55.0,2.0,105,9,7,4,7,5,2,1,1,4
19,43,74,37,2,58.0,2.0,95,9,7,4,7,5,-5,-3,0,4
20,45,71,35,11,61.0,1.0,105,10,4,2,4,3,-1,-1,-1,3
21,48,67,33,7,64.0,1.0,95,10,0,0,0,1,-4,-2,-1,2
22,51,72,36,0,67.0,2.0,105,11,5,3,5,4,1,1,1,3
23,53,69,34,9,70.0,2.0,95,11,2,1,2,2,-2,-1,-1,2
24,55,74,37,2,73.0,2.0,105,12,7,4,7,5,0,0,1,3
25,57,76,38,4,76.0,1.0,95,12,9,5,9,6,2,1,1,4
26,60,81,41,9,79.0,2.0,105,13,14,8,2,2,2,1,1,5
27,62,74,37,2,82.0,2.0,95,13,7,4,7,5,-4,-2,-1,4
28,64,78,39,6,85.0,1.0,105,14,11,6,11,7,-1,-1,1,5
29,67,69,34,9,88.0,1.0,95,14,2,1,2,2,-5,-3,-1,4
30,70,74,37,2,91.0,3.0,105,15,7,4,7,5,1,1,1,5
31,71,74,37,2,94.0,2.0,95,15,7,4,7,5,0,0,0,5
32,73,79,40,7,97.0,2.0,105,16,12,7,0,1,5,3,1,6
33,75,79,40,7,100.0,2.0,95,16,12,7,0,1,5,3,0,6
34,77,72,36,0,103.0,1.0,105,17,5,3,5,4,-2,-1,-1,5
35,80,71,35,11,106.0,2.0,95,17,4,2,4,3,-1,-1,-1,4
36,82,79,40,7,109.0,2.0,105,18,12,7,0,1,5,3,1,5
37,84,79,40,7,112.0,2.0,95,18,12,7,0,1,5,3,0,5
38,86,72,36,0,115.0,1.0,105,19,5,3,5,4,-2,-1,-1,4
39,89,71,35,11,118.0,2.0,95,19,4,2,4,3,-1,-1,-1,3
40,91,76,38,4,121.0,2.0,105,20,9,5,9,6,2,1,1,4
41,93,79,40,7,124.0,1.0,95,20,12,7,0,1,1,1,1,5
42,96,74,37,2,127.0,2.0,105,21,7,4,7,5,-2,-1,-1,4
43,98,71,35,11,130.0,2.0,95,21,4,2,4,3,-1,-1,-1,3
44,100,76,38,4,133.0,1.0,105,22,9,5,9,6,2,1,1,4
45,103,71,35,11,136.0,2.0,95,22,4,2,4,3,-1,-1,-1,3
46,105,67,33,7,139.0,2.0,105,23,0,0,0,1,-2,-1,-1,2
47,107,64,31,4,142.0,2.0,95,23,-3,-2,9,6,-2,-1,-1,1
48,109,67,33,7,145.0,2.0,105,24,0,0,0,1,5,3,1,2
49,111,67,33,7,148.0,1.0,95,24,0,0,0,1,0,0,0,2
50,114,76,38,4,151.0,2.0,105,25,9,5,9,6,2,1,1,3
51,116,79,40,7,154.0,2.0,95,25,12,7,0,1,1,1,1,4
52,118,67,33,7,157.0,0.5,105,26,0,0,0,1,-4,-2,-1,3
53,120,71,35,11,160.0,2.0,95,26,4,2,4,3,-8,-5,1,4
54,122,67,33,7,163.0,3.0,105,27,0,0,0,1,-2,-1,-1,3
55,123,67,33,7,166.0,2.0,95,27,0,0,0,1,0,0,0,3
56,125,79,40,7,169.0,2.0,105,28,12,7,0,1,5,3,1,4
57,127,79,40,7,172.0,2.0,95,28,12,7,0,1,5,3,0,4
58,129,72,36,0,175.0,1.0,105,29,5,3,5,4,-2,-1,-1,3
59,132,71,35,11,178.0,2.0,95,29,4,2,4,3,-1,-1,-1,2
60,134,79,40,7,181.0,2.0,105,30,12,7,0,1,5,3,1,3
61,136,79,40,7,184.0,2.0,95,30,12,7,0,1,5,3,0,3
62,138,72,36,0,187.0,1.0,105,31,5,3,5,4,-2,-1,-1,2
63,141,71,35,11,190.0,2.0,95,31,4,2,4,3,-1,-1,-1,1
64,143,76,38,4,193.0,2.0,105,32,9,5,9,6,2,1,1,2
65,145,79,40,7,196.0,1.0,95,32,12,7,0,1,1,1,1,3
66,148,74,37,2,199.0,2.0,105,33,7,4,7,5,-2,-1,-1,2
67,150,71,35,11,202.0,2.0,95,33,4,2,4,3,-1,-1,-1,1
68,152,76,38,4,205.0,1.0,105,34,9,5,9,6,2,1,1,2
69,155,71,35,11,208.0,2.0,95,34,4,2,4,3,-1,-1,-1,1
70,157,67,33,7,211.0,2.0,105,35,0,0,0,1,-2,-1,-1,0
71,159,64,31,4,214.0,2.0,95,35,-3,-2,9,6,-2,-1,-1,-1
72,161,67,33,7,217.0,2.0,105,36,0,0,0,1,5,3,1,0
73,163,67,33,7,220.0,1.0,95,36,0,0,0,1,0,0,0,0
74,166,76,38,4,223.0,2.0,105,37,9,5,9,6,2,1,1,1
75,168,79,40,7,226.0,2.0,95,37,12,7,0,1,1,1,1,2
76,170,67,33,7,229.0,0.5,105,38,0,0,0,1,-4,-2,-1,1
77,172,71,35,11,232.0,2.0,95,38,4,2,4,3,-8,-5,1,2
78,174,67,33,7,235.0,3.0,105,39,0,0,0,1,-2,-1,-1,1
79,175,67,33,7,238.0,2.0,95,39,0,0,0,1,0,0,0,1
