,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,9,5,9,6,0,0,0,0
1,4,71,35,11,4.0,2.0,95,0,9,5,9,6,5,3,0,0
2,7,69,34,9,8.0,1.0,105,1,7,4,7,5,-2,-1,-1,-1
3,11,69,34,9,12.0,1.0,95,1,7,4,7,5,3,2,0,-1
4,15,76,38,4,16.0,1.0,105,2,14,8,2,2,2,1,1,0
5,19,76,38,4,20.0,1.0,95,2,14,8,2,2,5,3,0,0
6,23,76,38,4,24.0,0.67,105,3,14,8,2,2,-2,-1,0,0
7,29,69,34,9,28.0,2.0,95,3,7,4,7,5,-2,-1,-1,-1
8,32,71,35,11,32.0,1.0,105,4,9,5,9,6,-2,-1,1,0
9,36,71,35,11,36.0,2.0,95,4,9,5,9,6,5,3,0,0
10,39,69,34,9,40.0,1.0,105,5,7,4,7,5,-2,-1,-1,-1
11,43,69,34,9,44.0,1.0,95,5,7,4,7,5,3,2,0,-1
12,47,76,38,4,48.0,1.0,105,6,14,8,2,2,2,1,1,0
13,51,73,36,1,52.0,1.0,95,6,11,6,11,7,-3,-2,-1,-1
14,55,74,37,2,56.0,2.0,105,7,12,7,0,1,1,1,1,0
15,57,74,37,2,60.0,3.0,95,7,12,7,0,1,-4,-2,0,0
16,59,71,35,11,64.0,1.0,105,8,9,5,9,6,-2,-1,-1,-1
17,63,71,35,11,68.0,2.0,95,8,9,5,9,6,5,3,0,-1
18,66,69,34,9,72.0,1.0,105,9,7,4,7,5,-2,-1,-1,-2
19,70,69,34,9,76.0,1.0,95,9,7,4,7,5,3,2,0,-2
20,74,76,38,4,80.0,1.0,105,10,14,8,2,2,2,1,1,-1
21,78,76,38,4,84.0,1.0,95,10,14,8,2,2,5,3,0,-1
22,82,76,38,4,88.0,0.67,105,11,14,8,2,2,-2,-1,0,-1
23,88,69,34,9,92.0,2.0,95,11,7,4,7,5,-2,-1,-1,-2
24,91,71,35,11,96.0,1.0,105,12,9,5,9,6,-2,-1,1,-1
25,95,71,35,11,100.0,2.0,95,12,9,5,9,6,5,3,0,-1
26,98,69,34,9,104.0,1.0,105,13,7,4,7,5,-2,-1,-1,-2
27,102,69,34,9,108.0,1.0,95,13,7,4,7,5,3,2,0,-2
28,106,76,38,4,112.0,1.0,105,14,14,8,2,2,2,1,1,-1
29,110,73,36,1,116.0,1.0,95,14,11,6,11,7,-3,-2,-1,-2
30,114,74,37,2,120.0,2.0,105,15,12,7,0,1,1,1,1,-1
31,116,74,37,2,124.0,2.0,95,15,12,7,0,1,-4,-2,0,-1
32,119,76,38,4,128.0,1.0,105,16,14,8,2,2,2,1,1,0
33,123,76,38,4,132.0,1.0,95,16,14,8,2,2,2,1,0,0
34,127,76,38,4,136.0,1.0,105,17,14,8,2,2,-2,-1,0,0
35,131,76,38,4,140.0,0.67,95,17,14,8,2,2,2,1,0,0
36,136,78,39,6,144.0,1.0,105,18,16,9,4,3,2,1,1,1
37,140,78,39,6,148.0,1.0,95,18,16,9,4,3,4,2,0,1
38,145,78,39,6,152.0,1.0,105,19,16,9,4,3,-1,-1,0,1
39,149,78,39,6,156.0,2.0,95,19,16,9,4,3,4,2,0,1
40,152,79,40,7,160.0,1.0,105,20,17,10,5,4,1,1,1,2
41,156,73,36,1,164.0,1.0,95,20,11,6,11,7,-1,-1,-1,1
42,160,76,38,4,168.0,1.0,105,21,14,8,2,2,-2,-1,1,2
43,164,76,38,4,172.0,3.0,95,21,14,8,2,2,2,1,0,2
44,166,79,40,7,176.0,1.0,105,22,17,10,5,4,1,1,1,3
45,170,73,36,1,180.0,1.0,95,22,11,6,11,7,-1,-1,-1,2
46,174,76,38,4,184.0,0.67,105,23,14,8,2,2,-2,-1,1,3
47,179,74,37,2,188.0,2.0,95,23,12,7,0,1,-2,-1,-1,2
48,182,76,38,4,192.0,1.0,105,24,14,8,2,2,2,1,1,3
49,186,76,38,4,196.0,1.0,95,24,14,8,2,2,2,1,0,3
50,190,76,38,4,200.0,1.0,105,25,14,8,2,2,-2,-1,0,3
51,194,76,38,4,204.0,1.0,95,25,14,8,2,2,2,1,0,3
52,198,78,39,6,208.0,1.0,105,26,16,9,4,3,2,1,1,4
53,202,78,39,6,212.0,1.0,95,26,16,9,4,3,4,2,0,4
54,207,78,39,6,216.0,1.0,105,27,16,9,4,3,-1,-1,0,4
55,211,78,39,6,220.0,2.0,95,27,16,9,4,3,4,2,0,4
56,214,79,40,7,224.0,1.0,105,28,17,10,5,4,1,1,1,5
57,218,73,36,1,228.0,1.0,95,28,11,6,11,7,-1,-1,-1,4
58,222,76,38,4,232.0,1.0,105,29,14,8,2,2,-2,-1,1,5
59,226,76,38,4,236.0,1.0,95,29,14,8,2,2,2,1,0,5
60,230,76,38,4,240.0,1.0,105,30,14,8,2,2,-2,-1,0,5
61,235,76,38,4,244.0,1.0,95,30,14,8,2,2,7,4,0,5
62,239,78,39,6,248.0,1.0,105,31,16,9,4,3,-1,-1,1,6
63,243,74,37,2,252.0,4.0,95,31,12,7,0,1,1,1,-1,5
