,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,2.0,105,0,2,1,2,2,0,0,0,0
1,3,64,31,4,4.0,2.0,95,0,2,1,2,2,-7,-4,0,0
2,6,64,31,4,8.0,2.0,105,1,2,1,2,2,-7,-4,0,0
3,8,69,34,9,12.0,2.0,95,1,7,4,7,5,-2,-1,1,1
4,10,62,30,2,16.0,2.0,105,2,0,0,0,1,-4,-2,-1,0
5,13,69,34,9,20.0,2.0,95,2,7,4,7,5,3,2,1,1
6,16,66,32,6,24.0,2.0,105,3,4,2,4,3,4,2,-1,0
7,18,66,32,6,28.0,2.0,95,3,4,2,4,3,-3,-2,0,0
8,20,64,31,4,32.0,2.0,105,4,2,1,2,2,-7,-4,-1,-1
9,23,64,31,4,36.0,2.0,95,4,2,1,2,2,-7,-4,0,-1
10,26,64,31,4,40.0,2.0,105,5,2,1,2,2,-7,-4,0,-1
11,28,76,38,4,44.0,3.0,95,5,14,8,2,2,5,3,1,0
12,30,71,35,11,48.0,1.0,105,6,9,5,9,6,-3,-2,-1,-1
13,34,74,37,2,52.0,2.0,95,6,12,7,0,1,1,1,1,0
14,36,66,32,6,56.0,2.0,105,7,4,2,4,3,-3,-2,-1,-1
15,38,64,31,4,60.0,2.0,95,7,2,1,2,2,0,0,-1,-2
16,39,64,31,4,64.0,2.0,105,8,2,1,2,2,0,0,0,-2
17,42,64,31,4,68.0,2.0,95,8,2,1,2,2,-7,-4,0,-2
18,45,64,31,4,72.0,2.0,105,9,2,1,2,2,-7,-4,0,-2
19,47,69,34,9,76.0,2.0,95,9,7,4,7,5,-2,-1,1,-1
20,49,62,30,2,80.0,2.0,105,10,0,0,0,1,-4,-2,-1,-2
21,52,69,34,9,84.0,2.0,95,10,7,4,7,5,3,2,1,-1
22,55,66,32,6,88.0,2.0,105,11,4,2,4,3,4,2,-1,-2
23,57,66,32,6,92.0,2.0,95,11,4,2,4,3,-3,-2,0,-2
24,59,64,31,4,96.0,2.0,105,12,2,1,2,2,-7,-4,-1,-3
25,62,64,31,4,100.0,2.0,95,12,2,1,2,2,-7,-4,0,-3
26,65,64,31,4,104.0,2.0,105,13,2,1,2,2,-7,-4,0,-3
27,67,76,38,4,108.0,3.0,95,13,14,8,2,2,5,3,1,-2
28,69,71,35,11,112.0,1.0,105,14,9,5,9,6,-3,-2,-1,-3
29,73,74,37,2,116.0,2.0,95,14,12,7,0,1,1,1,1,-2
30,75,66,32,6,120.0,2.0,105,15,4,2,4,3,-3,-2,-1,-3
31,77,64,31,4,124.0,2.0,95,15,2,1,2,2,0,0,-1,-4
32,78,76,38,4,128.0,3.0,105,16,14,8,2,2,12,7,1,-3
33,80,79,40,7,132.0,2.0,95,16,17,10,5,4,1,1,1,-2
34,82,76,38,4,136.0,2.0,105,17,14,8,2,2,-2,-1,-1,-3
35,84,71,35,11,140.0,1.0,95,17,9,5,9,6,-3,-2,-1,-4
