,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,1.0,105,0,12,7,0,1,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,7,4,7,5,3,2,-1,-1
2,8,62,30,2,8.0,1.0,105,1,0,0,0,1,-2,-1,-1,-2
3,12,64,31,4,12.0,1.0,95,1,2,1,2,2,2,1,1,-1
4,16,62,30,2,16.0,1.0,105,2,0,0,0,1,3,2,-1,-2
5,20,71,35,11,20.0,0.5,95,2,9,5,9,6,2,1,1,-1
6,25,64,31,4,24.0,1.0,105,3,2,1,2,2,-2,-1,-1,-2
7,29,64,31,4,28.0,2.0,95,3,2,1,2,2,-2,-1,0,-2
8,33,74,37,2,32.0,1.0,105,4,12,7,0,1,1,1,1,-1
9,37,69,34,9,36.0,1.0,95,4,7,4,7,5,3,2,-1,-2
10,41,62,30,2,40.0,1.0,105,5,0,0,0,1,-2,-1,-1,-3
11,45,64,31,4,44.0,1.0,95,5,2,1,2,2,2,1,1,-2
12,49,62,30,2,48.0,1.0,105,6,0,0,0,1,3,2,-1,-3
13,53,71,35,11,52.0,0.5,95,6,9,5,9,6,2,1,1,-2
14,58,64,31,4,56.0,1.0,105,7,2,1,2,2,-2,-1,-1,-3
15,62,62,30,2,60.0,2.0,95,7,0,0,0,1,-4,-2,-1,-4
16,65,67,33,7,64.0,0.5,95,7,5,3,5,4,1,1,1,-3
17,69,66,32,6,68.0,1.0,95,7,4,2,4,3,-1,-1,-1,-4
18,71,62,30,2,70.0,1.0,105,8,0,0,0,1,-2,-1,-1,-5
19,75,64,31,4,74.0,1.0,95,8,2,1,2,2,2,1,1,-4
20,79,62,30,2,78.0,1.0,105,9,0,0,0,1,3,2,-1,-5
21,83,71,35,11,82.0,0.5,95,9,9,5,9,6,2,1,1,-4
22,88,64,31,4,86.0,1.0,105,10,2,1,2,2,-2,-1,-1,-5
23,92,64,31,4,90.0,2.0,95,10,2,1,2,2,-2,-1,0,-5
24,96,74,37,2,94.0,1.0,105,11,12,7,0,1,1,1,1,-4
25,102,73,36,1,98.0,1.0,95,11,11,6,11,7,2,1,-1,-5
26,108,71,35,11,102.0,1.0,105,12,9,5,9,6,2,1,-1,-6
27,114,71,35,11,106.0,1.0,95,12,9,5,9,6,-2,-1,0,-6
28,118,62,30,2,110.0,2.0,105,13,0,0,0,1,-2,-1,-1,-7
29,121,71,35,11,114.0,0.5,95,13,9,5,9,6,2,1,1,-6
30,126,64,31,4,118.0,1.0,105,14,2,1,2,2,-2,-1,-1,-7
31,130,62,30,2,122.0,2.0,95,14,0,0,0,1,-4,-2,-1,-8
32,132,78,39,6,126.0,1.0,95,14,16,9,4,3,4,2,1,-7
33,136,78,39,6,130.0,1.0,95,14,16,9,4,3,4,2,0,-7
34,138,71,35,11,132.0,1.0,105,15,9,5,9,6,-3,-2,-1,-8
35,143,69,34,9,136.0,1.0,95,15,7,4,7,5,-5,-3,-1,-9
36,147,62,30,2,140.0,2.0,105,16,0,0,0,1,-4,-2,-1,-10
37,150,71,35,11,144.0,0.5,95,16,9,5,9,6,2,1,1,-9
38,155,64,31,4,148.0,1.0,105,17,2,1,2,2,-2,-1,-1,-10
39,159,64,31,4,152.0,2.0,95,17,2,1,2,2,-2,-1,0,-10
40,163,78,39,6,156.0,1.0,105,18,16,9,4,3,4,2,1,-9
41,167,78,39,6,160.0,1.0,95,18,16,9,4,3,-3,-2,0,-9
42,171,71,35,11,164.0,1.0,105,19,9,5,9,6,-3,-2,-1,-10
43,176,69,34,9,168.0,1.0,95,19,7,4,7,5,-5,-3,-1,-11
44,180,62,30,2,172.0,2.0,105,20,0,0,0,1,-4,-2,-1,-12
45,183,71,35,11,176.0,0.5,95,20,9,5,9,6,2,1,1,-11
46,188,64,31,4,180.0,1.0,105,21,2,1,2,2,-2,-1,-1,-12
47,192,62,30,2,184.0,2.0,95,21,0,0,0,1,-4,-2,-1,-13
