,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,1.0,0.5,105,0,7,4,7,5,0,0,0,0
1,7,62,30,2,3.0,0.5,105,1,0,0,0,1,-2,-1,-1,-1
2,12,69,34,9,5.0,0.5,105,2,7,4,7,5,3,2,1,0
3,16,64,31,4,7.0,1.0,105,3,2,1,2,2,-2,-1,-1,-1
4,19,67,33,7,9.0,0.5,105,4,5,3,5,4,1,1,1,0
5,23,61,29,1,11.0,0.5,105,5,-1,-1,11,7,-1,-1,-1,-1
6,26,69,34,9,13.0,0.5,105,6,7,4,7,5,5,3,1,0
7,31,74,37,2,15.0,1.0,105,7,12,7,0,1,1,1,1,1
8,39,62,30,2,19.0,0.5,105,8,0,0,0,1,-2,-1,-1,0
9,44,69,34,9,21.0,0.5,105,9,7,4,7,5,3,2,1,1
10,48,64,31,4,23.0,1.0,105,10,2,1,2,2,-2,-1,-1,0
11,51,67,33,7,25.0,0.5,105,11,5,3,5,4,1,1,1,1
12,55,61,29,1,27.0,0.5,105,12,-1,-1,11,7,-1,-1,-1,0
13,58,69,34,9,29.0,0.5,105,13,7,4,7,5,5,3,1,1
14,63,74,37,2,31.0,1.0,105,14,12,7,0,1,1,1,1,2
15,71,73,36,1,35.0,0.5,105,15,11,6,11,7,-3,-2,-1,1
16,76,71,35,11,37.0,0.5,105,16,9,5,9,6,-2,-1,-1,0
17,80,71,35,11,39.0,0.5,105,17,9,5,9,6,-2,-1,0,0
18,84,74,37,2,41.0,0.5,105,18,12,7,0,1,5,3,1,1
19,89,73,36,1,43.0,0.5,105,19,11,6,11,7,-3,-2,-1,0
20,94,71,35,11,45.0,0.5,105,20,9,5,9,6,-2,-1,-1,-1
21,98,74,37,2,47.0,1.0,105,21,12,7,0,1,1,1,1,0
22,106,73,36,1,51.0,0.5,105,22,11,6,11,7,-3,-2,-1,-1
23,111,71,35,11,53.0,0.5,105,23,9,5,9,6,-2,-1,-1,-2
24,115,71,35,11,55.0,0.5,105,24,9,5,9,6,-2,-1,0,-2
25,119,74,37,2,57.0,0.5,105,25,12,7,0,1,5,3,1,-1
26,124,73,36,1,59.0,0.5,105,26,11,6,11,7,-3,-2,-1,-2
27,129,71,35,11,61.0,0.5,105,27,9,5,9,6,-2,-1,-1,-3
28,133,74,37,2,63.0,1.0,105,28,12,7,0,1,1,1,1,-2
