,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,4,72,36,0,4.0,1.0,95,0,5,3,5,4,8,5,1,1
2,8,67,33,7,8.0,1.0,105,1,0,0,0,1,3,2,-1,0
3,12,67,33,7,12.0,2.0,95,1,0,0,0,1,3,2,0,0
4,15,64,31,4,16.0,0.67,105,2,-3,-2,9,6,2,1,-1,-1
5,20,72,36,0,20.0,1.0,95,2,5,3,5,4,1,1,1,0
6,24,72,36,0,24.0,1.0,105,3,5,3,5,4,-2,-1,0,0
7,30,76,38,4,28.0,2.0,95,3,9,5,9,6,2,1,1,1
8,33,81,41,9,32.0,1.0,105,4,14,8,2,2,2,1,1,2
9,39,79,40,7,36.0,1.0,95,4,12,7,0,1,1,1,-1,1
10,45,74,37,2,40.0,1.0,105,5,7,4,7,5,-2,-1,-1,0
11,49,69,34,9,44.0,1.0,95,5,2,1,2,2,-2,-1,-1,-1
12,53,76,38,4,48.0,0.67,105,6,9,5,9,6,2,1,1,0
13,58,72,36,0,52.0,1.0,95,6,5,3,5,4,-2,-1,-1,-1
14,62,69,34,9,56.0,1.0,105,7,2,1,2,2,2,1,-1,-2
15,66,69,34,9,60.0,1.0,95,7,2,1,2,2,2,1,0,-2
16,70,69,34,9,64.0,1.0,105,8,2,1,2,2,-2,-1,0,-2
17,74,72,36,0,68.0,1.0,95,8,5,3,5,4,8,5,1,-1
18,78,67,33,7,72.0,1.0,105,9,0,0,0,1,3,2,-1,-2
19,82,67,33,7,76.0,2.0,95,9,0,0,0,1,3,2,0,-2
20,85,64,31,4,80.0,0.67,105,10,-3,-2,9,6,2,1,-1,-3
21,90,72,36,0,84.0,1.0,95,10,5,3,5,4,1,1,1,-2
22,94,72,36,0,88.0,1.0,105,11,5,3,5,4,-2,-1,0,-2
23,100,76,38,4,92.0,2.0,95,11,9,5,9,6,2,1,1,-1
24,103,81,41,9,96.0,1.0,105,12,14,8,2,2,2,1,1,0
25,109,79,40,7,100.0,1.0,95,12,12,7,0,1,1,1,-1,-1
26,115,74,37,2,104.0,1.0,105,13,7,4,7,5,-2,-1,-1,-2
27,119,69,34,9,108.0,1.0,95,13,2,1,2,2,-2,-1,-1,-3
28,123,76,38,4,112.0,0.67,105,14,9,5,9,6,2,1,1,-2
29,128,72,36,0,116.0,1.0,95,14,5,3,5,4,-2,-1,-1,-3
30,132,69,34,9,120.0,1.0,105,15,2,1,2,2,2,1,-1,-4
31,136,69,34,9,124.0,2.0,95,15,2,1,2,2,2,1,0,-4
32,139,81,41,9,128.0,1.0,105,16,14,8,2,2,0,0,1,-3
33,143,81,41,9,132.0,1.0,95,16,14,8,2,2,0,0,0,-3
34,147,81,41,9,136.0,1.0,105,17,14,8,2,2,0,0,0,-3
35,151,79,40,7,140.0,2.0,95,17,12,7,0,1,1,1,-1,-4
36,154,81,41,9,144.0,1.0,105,18,14,8,2,2,2,1,1,-3
37,158,81,41,9,148.0,1.0,95,18,14,8,2,2,2,1,0,-3
38,162,72,36,0,152.0,1.0,105,19,5,3,5,4,-2,-1,-1,-4
39,168,76,38,4,156.0,2.0,95,19,9,5,9,6,2,1,1,-3
40,171,81,41,9,160.0,1.0,105,20,14,8,2,2,2,1,1,-2
41,177,79,40,7,164.0,1.0,95,20,12,7,0,1,1,1,-1,-3
42,183,74,37,2,168.0,1.0,105,21,7,4,7,5,-2,-1,-1,-4
43,187,69,34,9,172.0,1.0,95,21,2,1,2,2,-2,-1,-1,-5
44,191,76,38,4,176.0,0.67,105,22,9,5,9,6,2,1,1,-4
45,196,72,36,0,180.0,1.0,95,22,5,3,5,4,-2,-1,-1,-5
46,200,69,34,9,184.0,1.0,95,22,2,1,2,2,2,1,-1,-6
47,204,69,34,9,188.0,1.0,95,22,2,1,2,2,2,1,0,-6
