,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,1.0,105,0,16,9,4,3,0,0,0,0
1,4,76,38,4,4.0,1.0,95,0,14,8,2,2,-2,-1,-1,-1
2,8,71,35,11,8.0,1.0,105,1,9,5,9,6,2,1,-1,-2
3,12,74,37,2,12.0,2.0,95,1,12,7,0,1,-2,-1,1,-1
4,15,78,39,6,16.0,2.0,105,2,16,9,4,3,2,1,1,0
5,17,81,41,9,20.0,1.0,95,2,19,11,7,5,0,0,1,1
6,20,81,41,9,24.0,8.0,105,3,19,11,7,5,-2,-1,0,1
7,21,78,39,6,32.0,1.0,105,4,16,9,4,3,-3,-2,-1,0
8,25,76,38,4,36.0,1.0,95,4,14,8,2,2,-2,-1,-1,-1
9,29,71,35,11,40.0,1.0,105,5,9,5,9,6,2,1,-1,-2
10,33,74,37,2,44.0,2.0,95,5,12,7,0,1,-2,-1,1,-1
11,36,78,39,6,48.0,2.0,105,6,16,9,4,3,2,1,1,0
12,38,76,38,4,52.0,1.0,95,6,14,8,2,2,-2,-1,-1,-1
13,41,69,34,9,56.0,8.0,105,7,7,4,7,5,-2,-1,-1,-2
14,42,78,39,6,64.0,1.0,105,8,16,9,4,3,9,5,1,-1
15,46,76,38,4,68.0,1.0,95,8,14,8,2,2,-2,-1,-1,-2
16,50,71,35,11,72.0,1.0,105,9,9,5,9,6,2,1,-1,-3
17,54,74,37,2,76.0,2.0,95,9,12,7,0,1,-2,-1,1,-2
18,57,78,39,6,80.0,2.0,105,10,16,9,4,3,2,1,1,-1
19,59,81,41,9,84.0,1.0,95,10,19,11,7,5,0,0,1,0
20,62,81,41,9,88.0,8.0,105,11,19,11,7,5,-2,-1,0,0
21,63,78,39,6,96.0,1.0,105,12,16,9,4,3,-3,-2,-1,-1
22,67,76,38,4,100.0,1.0,95,12,14,8,2,2,-2,-1,-1,-2
23,71,71,35,11,104.0,1.0,105,13,9,5,9,6,2,1,-1,-3
24,75,74,37,2,108.0,2.0,95,13,12,7,0,1,-2,-1,1,-2
25,78,78,39,6,112.0,2.0,105,14,16,9,4,3,2,1,1,-1
26,80,76,38,4,116.0,1.0,95,14,14,8,2,2,-2,-1,-1,-2
27,83,69,34,9,120.0,8.0,105,15,7,4,7,5,-2,-1,-1,-3
28,84,71,35,11,128.0,1.0,105,16,9,5,9,6,2,1,1,-2
29,88,74,37,2,132.0,3.0,95,16,12,7,0,1,1,1,1,-1
30,90,71,35,11,136.0,1.0,105,17,9,5,9,6,2,1,-1,-2
31,94,74,37,2,140.0,3.0,95,17,12,7,0,1,1,1,1,-1
32,96,71,35,11,144.0,1.0,105,18,9,5,9,6,2,1,-1,-2
33,100,76,38,4,148.0,1.0,95,18,14,8,2,2,2,1,1,-1
34,103,69,34,9,152.0,6.0,105,19,7,4,7,5,-5,-3,-1,-2
35,105,71,35,11,160.0,1.0,105,20,9,5,9,6,2,1,1,-1
36,109,74,37,2,164.0,2.0,95,20,12,7,0,1,1,1,1,0
37,112,71,35,11,168.0,1.0,105,21,9,5,9,6,2,1,-1,-1
38,116,74,37,2,172.0,2.0,95,21,12,7,0,1,1,1,1,0
39,118,78,39,6,176.0,2.0,105,22,16,9,4,3,2,1,1,1
40,121,76,38,4,180.0,1.0,95,22,14,8,2,2,-2,-1,-1,0
41,124,69,34,9,184.0,8.0,105,23,7,4,7,5,-2,-1,-1,-1
42,125,71,35,11,192.0,1.0,105,24,9,5,9,6,2,1,1,0
43,129,74,37,2,196.0,3.0,95,24,12,7,0,1,1,1,1,1
44,131,71,35,11,200.0,1.0,105,25,9,5,9,6,2,1,-1,0
45,135,74,37,2,204.0,3.0,95,25,12,7,0,1,1,1,1,1
46,137,71,35,11,208.0,1.0,105,26,9,5,9,6,2,1,-1,0
47,141,76,38,4,212.0,1.0,95,26,14,8,2,2,2,1,1,1
48,144,69,34,9,216.0,6.0,105,27,7,4,7,5,-5,-3,-1,0
49,146,71,35,11,224.0,1.0,105,28,9,5,9,6,2,1,1,1
50,150,74,37,2,228.0,2.0,95,28,12,7,0,1,1,1,1,2
51,153,71,35,11,232.0,1.0,105,29,9,5,9,6,2,1,-1,1
52,157,74,37,2,236.0,2.0,95,29,12,7,0,1,1,1,1,2
53,159,78,39,6,240.0,2.0,105,30,16,9,4,3,2,1,1,3
54,162,76,38,4,244.0,1.0,95,30,14,8,2,2,-2,-1,-1,2
55,165,69,34,9,248.0,8.0,105,31,7,4,7,5,-2,-1,-1,1
