,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,3.0,105,0,2,1,2,2,0,0,0,0
1,2,64,31,4,4.0,1.0,95,0,-3,-2,9,6,-3,-2,-1,-1
2,6,69,34,9,8.0,1.0,105,1,2,1,2,2,5,3,1,0
3,10,72,36,0,12.0,2.0,95,1,5,3,5,4,1,1,1,1
4,13,72,36,0,16.0,1.0,105,2,5,3,5,4,-2,-1,0,1
5,17,64,31,4,20.0,1.0,95,2,-3,-2,9,6,-3,-2,-1,0
6,21,79,40,7,24.0,1.0,105,3,12,7,0,1,1,1,1,1
7,25,72,36,0,28.0,1.0,95,3,5,3,5,4,1,1,-1,0
8,29,69,34,9,32.0,3.0,105,4,2,1,2,2,2,1,-1,-1
9,31,64,31,4,36.0,1.0,95,4,-3,-2,9,6,-3,-2,-1,-2
10,35,69,34,9,40.0,1.0,105,5,2,1,2,2,5,3,1,-1
11,39,72,36,0,44.0,2.0,95,5,5,3,5,4,1,1,1,0
12,42,72,36,0,48.0,1.0,105,6,5,3,5,4,-2,-1,0,0
13,46,64,31,4,52.0,1.0,95,6,-3,-2,9,6,-3,-2,-1,-1
14,50,79,40,7,56.0,1.0,105,7,12,7,0,1,1,1,1,0
15,54,72,36,0,60.0,1.0,95,7,5,3,5,4,1,1,-1,-1
16,57,76,38,4,64.0,1.0,105,8,9,5,9,6,7,4,1,0
17,60,76,38,4,68.0,1.0,95,8,9,5,9,6,4,2,0,0
18,64,71,35,11,72.0,1.0,105,9,4,2,4,3,-3,-2,-1,-1
19,67,71,35,11,76.0,1.0,95,9,4,2,4,3,4,2,0,-1
20,71,76,38,4,80.0,1.0,105,10,9,5,9,6,-3,-2,1,0
21,74,76,38,4,84.0,1.0,95,10,9,5,9,6,4,2,0,0
22,78,79,40,7,88.0,1.0,105,11,12,7,0,1,1,1,1,1
23,82,72,36,0,92.0,1.0,95,11,5,3,5,4,1,1,-1,0
24,86,81,41,9,96.0,1.0,105,12,14,8,2,2,2,1,1,1
25,91,79,40,7,100.0,1.0,95,12,12,7,0,1,-2,-1,-1,0
26,95,72,36,0,104.0,2.0,105,13,5,3,5,4,1,1,-1,-1
27,98,64,31,4,108.0,1.0,95,13,-3,-2,9,6,-3,-2,-1,-2
28,101,69,34,9,112.0,2.0,105,14,2,1,2,2,2,1,1,-1
29,103,71,35,11,116.0,0.67,95,14,4,2,4,3,2,1,1,0
30,108,79,40,7,120.0,2.0,105,15,12,7,0,1,1,1,1,1
31,111,79,40,7,124.0,1.0,95,15,12,7,0,1,0,0,0,1
