,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,1.0,105,0,12,7,0,1,0,0,0,0
1,5,74,37,2,5.0,1.0,95,0,12,7,0,1,10,6,0,0
2,9,74,37,2,9.0,1.0,105,1,12,7,0,1,1,1,0,0
3,13,66,32,6,13.0,1.0,95,1,4,2,4,3,2,1,-1,-1
4,17,74,37,2,17.0,1.0,105,2,12,7,0,1,1,1,1,0
5,21,67,33,7,21.0,1.0,95,2,5,3,5,4,3,2,-1,-1
6,25,73,36,1,25.0,0.67,105,3,11,6,11,7,2,1,1,0
7,30,66,32,6,29.0,1.0,95,3,4,2,4,3,-3,-2,-1,-1
8,34,74,37,2,33.0,1.0,105,4,12,7,0,1,1,1,1,0
9,38,71,35,11,37.0,0.5,95,4,9,5,9,6,7,4,-1,-1
10,42,74,37,2,41.0,1.0,105,5,12,7,0,1,1,1,1,0
11,46,66,32,6,45.0,1.0,95,5,4,2,4,3,-1,-1,-1,-1
12,50,74,37,2,49.0,1.0,105,6,12,7,0,1,1,1,1,0
13,54,67,33,7,53.0,1.0,95,6,5,3,5,4,3,2,-1,-1
14,58,73,36,1,57.0,1.0,105,7,11,6,11,7,2,1,1,0
15,62,66,32,6,61.0,1.0,95,7,4,2,4,3,-3,-2,-1,-1
16,66,79,40,7,65.0,1.0,105,8,17,10,5,4,1,1,1,0
17,70,79,40,7,69.0,1.0,95,8,17,10,5,4,3,2,0,0
18,74,79,40,7,73.0,0.67,105,9,17,10,5,4,1,1,0,0
19,79,78,39,6,77.0,1.0,95,9,16,9,4,3,2,1,-1,-1
20,83,79,40,7,81.0,0.67,105,10,17,10,5,4,1,1,1,0
21,88,79,40,7,85.0,1.0,95,10,17,10,5,4,3,2,0,0
22,92,73,36,1,89.0,0.67,105,11,11,6,11,7,-1,-1,-1,-1
23,97,66,32,6,93.0,1.0,95,11,4,2,4,3,-3,-2,-1,-2
24,101,79,40,7,97.0,1.0,105,12,17,10,5,4,1,1,1,-1
25,105,79,40,7,101.0,0.5,95,12,17,10,5,4,3,2,0,-1
26,109,79,40,7,105.0,1.0,105,13,17,10,5,4,1,1,0,-1
27,113,78,39,6,109.0,1.0,95,13,16,9,4,3,2,1,-1,-2
28,117,76,38,4,113.0,1.0,105,14,14,8,2,2,-2,-1,-1,-3
29,121,78,39,6,117.0,1.0,95,14,16,9,4,3,0,0,1,-2
30,125,78,39,6,121.0,1.0,105,15,16,9,4,3,-1,-1,0,-2
31,129,66,32,6,125.0,1.0,95,15,4,2,4,3,-3,-2,-1,-3
