,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,67,33,7,3.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,71,35,11,6.0,1.0,95,0,4,2,4,3,0,0,1,1
2,8,67,33,7,9.0,2.0,105,1,0,0,0,1,-4,-2,-1,0
3,10,71,35,11,12.0,1.0,95,1,4,2,4,3,0,0,1,1
4,13,66,32,6,15.0,2.0,105,2,-1,-1,11,7,-1,-1,-1,0
5,15,69,34,9,18.0,1.0,95,2,2,1,2,2,0,0,1,1
6,18,66,32,6,21.0,2.0,105,3,-1,-1,11,7,-3,-2,-1,0
7,20,62,30,2,24.0,1.0,95,3,-5,-3,7,5,-7,-4,-1,-1
8,23,67,33,7,27.0,2.0,105,4,0,0,0,1,1,1,1,0
9,25,71,35,11,30.0,1.0,95,4,4,2,4,3,0,0,1,1
10,28,67,33,7,33.0,1.0,105,5,0,0,0,1,-4,-2,-1,0
11,31,74,37,2,36.0,1.0,95,5,7,4,7,5,3,2,1,1
12,36,74,37,2,39.0,1.0,105,6,7,4,7,5,0,0,0,1
13,39,79,40,7,42.0,1.0,95,6,12,7,0,1,1,1,1,2
14,42,67,33,7,45.0,1.0,105,7,0,0,0,1,-4,-2,-1,1
15,45,67,33,7,48.0,3.0,95,7,0,0,0,1,0,0,0,1
16,46,67,33,7,51.0,2.0,105,8,0,0,0,1,0,0,0,1
17,48,71,35,11,54.0,1.0,95,8,4,2,4,3,0,0,1,2
18,51,67,33,7,57.0,2.0,105,9,0,0,0,1,-4,-2,-1,1
19,53,71,35,11,60.0,1.0,95,9,4,2,4,3,0,0,1,2
20,56,66,32,6,63.0,2.0,105,10,-1,-1,11,7,-1,-1,-1,1
21,58,69,34,9,66.0,1.0,95,10,2,1,2,2,0,0,1,2
22,61,66,32,6,69.0,2.0,105,11,-1,-1,11,7,-3,-2,-1,1
23,63,62,30,2,72.0,1.0,95,11,-5,-3,7,5,-7,-4,-1,0
24,66,67,33,7,75.0,2.0,105,12,0,0,0,1,1,1,1,1
25,68,71,35,11,78.0,1.0,95,12,4,2,4,3,0,0,1,2
26,71,67,33,7,81.0,1.0,105,13,0,0,0,1,-4,-2,-1,1
27,74,74,37,2,84.0,1.0,95,13,7,4,7,5,3,2,1,2
28,79,74,37,2,87.0,1.0,105,14,7,4,7,5,0,0,0,2
29,82,79,40,7,90.0,1.0,95,14,12,7,0,1,1,1,1,3
30,85,67,33,7,93.0,1.0,105,15,0,0,0,1,-4,-2,-1,2
31,88,67,33,7,96.0,3.0,95,15,0,0,0,1,0,0,0,2
32,89,81,41,9,99.0,1.0,105,16,14,8,2,2,14,8,1,3
33,92,81,41,9,102.0,1.0,95,16,14,8,2,2,0,0,0,3
34,95,79,40,7,105.0,1.0,105,17,12,7,0,1,3,2,-1,2
35,100,79,40,7,108.0,1.0,95,17,12,7,0,1,0,0,0,2
36,103,74,37,2,111.0,1.0,105,18,7,4,7,5,-2,-1,-1,1
37,106,79,40,7,114.0,1.0,95,18,12,7,0,1,5,3,1,2
38,109,69,34,9,117.0,1.0,105,19,2,1,2,2,-2,-1,-1,1
39,112,69,34,9,120.0,3.0,95,19,2,1,2,2,0,0,0,1
40,113,81,41,9,123.0,1.0,105,20,14,8,2,2,12,7,1,2
41,116,81,41,9,126.0,1.0,95,20,14,8,2,2,0,0,0,2
42,119,79,40,7,129.0,1.0,105,21,12,7,0,1,3,2,-1,1
43,124,79,40,7,132.0,1.0,95,21,12,7,0,1,0,0,0,1
44,127,74,37,2,135.0,1.0,105,22,7,4,7,5,-2,-1,-1,0
45,130,79,40,7,138.0,1.0,95,22,12,7,0,1,5,3,1,1
46,133,67,33,7,141.0,1.0,105,23,0,0,0,1,-4,-2,-1,0
47,136,67,33,7,144.0,3.0,95,23,0,0,0,1,0,0,0,0
48,137,81,41,9,147.0,1.0,105,24,14,8,2,2,14,8,1,1
49,140,81,41,9,150.0,1.0,95,24,14,8,2,2,0,0,0,1
50,143,79,40,7,153.0,1.0,105,25,12,7,0,1,3,2,-1,0
51,148,79,40,7,156.0,1.0,95,25,12,7,0,1,0,0,0,0
52,151,74,37,2,159.0,1.0,105,26,7,4,7,5,-2,-1,-1,-1
53,154,79,40,7,162.0,1.0,95,26,12,7,0,1,5,3,1,0
54,157,69,34,9,165.0,1.0,105,27,2,1,2,2,-2,-1,-1,-1
55,160,69,34,9,168.0,3.0,95,27,2,1,2,2,0,0,0,-1
56,161,81,41,9,171.0,1.0,105,28,14,8,2,2,12,7,1,0
57,164,81,41,9,174.0,1.0,95,28,14,8,2,2,0,0,0,0
58,167,79,40,7,177.0,1.0,105,29,12,7,0,1,3,2,-1,-1
59,172,79,40,7,180.0,1.0,95,29,12,7,0,1,0,0,0,-1
60,175,74,37,2,183.0,1.0,105,30,7,4,7,5,-2,-1,-1,-2
61,178,79,40,7,186.0,1.0,95,30,12,7,0,1,5,3,1,-1
62,181,67,33,7,189.0,1.0,105,31,0,0,0,1,-4,-2,-1,-2
63,184,67,33,7,192.0,3.0,95,31,0,0,0,1,0,0,0,-2
