,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,66,32,6,3.0,1.0,95,0,2,1,2,2,2,1,1,1
2,8,67,33,7,6.0,2.0,95,0,3,2,3,3,1,1,1,2
3,10,64,31,4,9.0,1.0,105,1,0,0,0,1,-2,-1,-1,1
4,15,71,35,11,12.0,1.0,95,1,7,4,7,5,7,4,1,2
5,18,71,35,11,15.0,1.0,95,1,7,4,7,5,2,1,0,2
6,21,64,31,4,18.0,1.0,105,2,0,0,0,1,2,1,-1,1
7,26,66,32,6,21.0,1.0,95,2,2,1,2,2,2,1,1,2
8,29,67,33,7,24.0,2.0,95,2,3,2,3,3,1,1,1,3
9,31,71,35,11,27.0,1.0,105,3,7,4,7,5,2,1,1,4
10,34,66,32,6,30.0,1.0,95,3,2,1,2,2,-1,-1,-1,3
11,37,66,32,6,33.0,1.0,95,3,2,1,2,2,-1,-1,0,3
12,40,64,31,4,36.0,1.0,105,4,0,0,0,1,2,1,-1,2
13,45,66,32,6,39.0,1.0,95,4,2,1,2,2,2,1,1,3
14,48,67,33,7,42.0,2.0,95,4,3,2,3,3,1,1,1,4
15,50,64,31,4,45.0,1.0,105,5,0,0,0,1,-2,-1,-1,3
16,55,71,35,11,48.0,1.0,95,5,7,4,7,5,7,4,1,4
17,58,71,35,11,51.0,1.0,95,5,7,4,7,5,2,1,0,4
18,61,64,31,4,54.0,1.0,105,6,0,0,0,1,2,1,-1,3
19,66,66,32,6,57.0,1.0,95,6,2,1,2,2,2,1,1,4
20,69,67,33,7,60.0,2.0,95,6,3,2,3,3,1,1,1,5
21,71,71,35,11,63.0,1.0,105,7,7,4,7,5,2,1,1,6
22,74,66,32,6,66.0,1.0,95,7,2,1,2,2,-1,-1,-1,5
23,77,66,32,6,69.0,1.0,95,7,2,1,2,2,-1,-1,0,5
24,80,71,35,11,72.0,1.0,105,8,7,4,7,5,9,5,1,6
25,83,69,34,9,75.0,1.0,95,8,5,3,5,4,-2,-1,-1,5
26,86,67,33,7,78.0,2.0,95,8,3,2,3,3,5,3,-1,4
27,88,67,33,7,81.0,1.0,105,9,3,2,3,3,5,3,0,4
28,91,74,37,2,84.0,1.0,95,9,10,6,10,7,3,2,1,5
29,94,74,37,2,87.0,1.0,95,9,10,6,10,7,-2,-1,0,5
30,97,71,35,11,90.0,1.0,105,10,7,4,7,5,2,1,-1,4
31,100,69,34,9,93.0,1.0,95,10,5,3,5,4,-2,-1,-1,3
32,103,67,33,7,96.0,2.0,95,10,3,2,3,3,-2,-1,-1,2
33,105,71,35,11,99.0,1.0,105,11,7,4,7,5,2,1,1,3
34,108,66,32,6,102.0,1.0,95,11,2,1,2,2,-1,-1,-1,2
35,111,66,32,6,105.0,1.0,95,11,2,1,2,2,-1,-1,0,2
36,114,71,35,11,108.0,1.0,105,12,7,4,7,5,9,5,1,3
37,117,69,34,9,111.0,1.0,95,12,5,3,5,4,-2,-1,-1,2
38,120,67,33,7,114.0,2.0,95,12,3,2,3,3,5,3,-1,1
39,122,67,33,7,117.0,1.0,105,13,3,2,3,3,5,3,0,1
40,125,74,37,2,120.0,1.0,95,13,10,6,10,7,3,2,1,2
41,128,74,37,2,123.0,1.0,95,13,10,6,10,7,-2,-1,0,2
